RCONFT04,RCONFT05,RCONHT81,RCONHT82,RCONHT86,RCONL191,RCONL192,RCONM288,RIADHT85,IDRSSD,RCON9999
,,,,,,,,,37,2019-03-31
,,,,,,,,,242,2019-03-31
,,,,,,,,,279,2019-03-31
,,,,,,,,,354,2019-03-31
,,,,,,,,,457,2019-03-31
,,,,,,,,,505,2019-03-31
,,,,,,,,,1155,2019-03-31
,,,,,,,,,1351,2019-03-31
,,,,,,,,,1454,2019-03-31
,,,,,,,,,1669,2019-03-31
,,,,,,,,,1856,2019-03-31
,,,,,,,,,2040,2019-03-31
0,0,0,0,0,,,0,0,2161,2019-03-31
0,0,0,0,0,,,0,2,2376,2019-03-31
,,,,,,,,,2554,2019-03-31
,,,,,,,,,2732,2019-03-31
,,,,,,,,,2750,2019-03-31
,,,,,,,,,3252,2019-03-31
,,,,,,,,,3458,2019-03-31
,,,,,,,,,3720,2019-03-31
13389,3450,,,,,,,,3971,2019-03-31
,,,,,,,,,4156,2019-03-31
,,,,,,,,,4231,2019-03-31
,,,,,,,,,5069,2019-03-31
,,,,,,,,,5135,2019-03-31
3812,300,3704,0,0,,,0,73,5210,2019-03-31
,,,,,,,,,5461,2019-03-31
,,,,,,,,,5751,2019-03-31
0,0,0,0,0,,,0,0,6039,2019-03-31
22088,1656,0,22647,0,,,0,663,6329,2019-03-31
,,,,,,,,,7009,2019-03-31
0,0,0,0,0,,,0,0,7045,2019-03-31
,,,,,,,,,7072,2019-03-31
,,,,,,,,,7456,2019-03-31
,,,,,,,,,7634,2019-03-31
,,,,,,,,,8033,2019-03-31
,,,,,,,,,8462,2019-03-31
,,,,,,,,,8631,2019-03-31
,,,,,,,,,9357,2019-03-31
,,,,,,,,,9553,2019-03-31
,,,,,,,,,9807,2019-03-31
,,,,,,,,,9955,2019-03-31
,,,,,,,,,10250,2019-03-31
,,,,,,,,,10849,2019-03-31
,,,,,,,,,11145,2019-03-31
,,,,,,,,,11640,2019-03-31
,,,,,,,,,11837,2019-03-31
,,,,,,,,,12030,2019-03-31
,,,,,,,,,12142,2019-03-31
,,,,,,,,,12179,2019-03-31
847206,700745,553566,202348,2340,,,4130,21144,12311,2019-03-31
0,0,0,0,0,,,0,0,12647,2019-03-31
,,,,,,,,,12656,2019-03-31
,,,,,,,,,12937,2019-03-31
10303,3866,12285,0,0,,,0,272,12946,2019-03-31
3905,200,3945,0,0,,,0,39,13103,2019-03-31
,,,,,,,,,13251,2019-03-31
,,,,,,,,,13457,2019-03-31
,,,,,,,,,14155,2019-03-31
,,,,,,,,,14650,2019-03-31
,,,,,,,,,14753,2019-03-31
,,,,,,,,,14865,2019-03-31
0,0,0,0,0,,,0,0,14977,2019-03-31
,,,,,,,,,16551,2019-03-31
,,,,,,,,,16748,2019-03-31
0,0,0,0,0,,,0,0,17110,2019-03-31
43746,2919,37169,0,0,,,0,971,17147,2019-03-31
,,,,,,,,,17259,2019-03-31
,,,,,,,,,17950,2019-03-31
,,,,,,,,,17978,2019-03-31
,,,,,,,,,18050,2019-03-31
,,,,,,,,,18135,2019-03-31
0,0,0,0,0,,,0,0,18827,2019-03-31
,,,,,,,,,18836,2019-03-31
,,,,,,,,,18854,2019-03-31
,,,,,,,,,19356,2019-03-31
,,,,,,,,,19936,2019-03-31
,,,,,,,,,19972,2019-03-31
,,,,,,,,,20053,2019-03-31
,,,,,,,,,20633,2019-03-31
,,,,,,,,,20857,2019-03-31
,,,,,,,,,21256,2019-03-31
,,,,,,,,,21359,2019-03-31
,,,,,,,,,21658,2019-03-31
,,,,,,,,,22048,2019-03-31
3459,1018,,,,,,,,22543,2019-03-31
,,,,,,,,,22552,2019-03-31
,,,,,,,,,22730,2019-03-31
,,,,,,,,,22936,2019-03-31
,,,,,,,,,23456,2019-03-31
0,0,0,0,0,,,0,0,23504,2019-03-31
,,,,,,,,,23643,2019-03-31
,,,,,,,,,23755,2019-03-31
,,,,,,,,,24006,2019-03-31
,,,,,,,,,24378,2019-03-31
,,,,,,,,,24453,2019-03-31
,,,,,,,,,24659,2019-03-31
2316,0,1944,0,0,,,0,52,24668,2019-03-31
,,,,,,,,,24949,2019-03-31
,,,,,,,,,25357,2019-03-31
,,,,,,,,,25647,2019-03-31
,,,,,,,,,26176,2019-03-31
,,,,,,,,,26242,2019-03-31
,,,,,,,,,26457,2019-03-31
,,,,,,,,,26765,2019-03-31
,,,,,,,,,27070,2019-03-31
19634,3347,19659,147,0,,,0,752,27548,2019-03-31
,,,,,,,,,27614,2019-03-31
,,,,,,,,,27847,2019-03-31
,,,,,,,,,28013,2019-03-31
,,,,,,,,,28152,2019-03-31
,,,,,,,,,28255,2019-03-31
301204,6279,51732,0,0,,,0,-9921,28406,2019-03-31
,,,,,,,,,28675,2019-03-31
,,,,,,,,,28732,2019-03-31
,,,,,,,,,29476,2019-03-31
1514,0,0,1514,0,,,0,0,29636,2019-03-31
,,,,,,,,,29878,2019-03-31
,,,,,,,,,30052,2019-03-31
0,0,0,0,0,,,0,0,30502,2019-03-31
,,,,,,,,,30650,2019-03-31
,,,,,,,,,30810,2019-03-31
,,,,,,,,,31134,2019-03-31
0,0,0,0,0,,,0,0,31255,2019-03-31
,,,,,,,,,31657,2019-03-31
,,,,,,,,,31826,2019-03-31
,,,,,,,,,31835,2019-03-31
,,,,,,,,,32234,2019-03-31
,,,,,,,,,32766,2019-03-31
,,,,,,,,,32971,2019-03-31
,,,,,,,,,33147,2019-03-31
,,,,,,,,,33259,2019-03-31
,,,,,,,,,33268,2019-03-31
,,,,,,,,,33370,2019-03-31
,,,,,,,,,33839,2019-03-31
,,,,,,,,,33857,2019-03-31
0,0,0,0,0,,,0,0,34425,2019-03-31
,,,,,,,,,34434,2019-03-31
,,,,,,,,,34452,2019-03-31
28350,10096,27954,0,0,,,0,1290,34537,2019-03-31
0,0,0,0,0,,,0,0,34555,2019-03-31
9665,2339,,,,,,,,34742,2019-03-31
0,0,0,0,0,,,0,0,35057,2019-03-31
0,0,0,0,0,,,0,0,35301,2019-03-31
24803,6827,27557,0,0,,,475,1049,35570,2019-03-31
,,,,,,,,,35646,2019-03-31
,,,,,,,,,35879,2019-03-31
,,,,,,,,,36456,2019-03-31
,,,,,,,,,36933,2019-03-31
,,,,,,,,,37051,2019-03-31
,,,,,,,,,37341,2019-03-31
13336,1028,12413,0,0,,,0,564,37435,2019-03-31
28720,8586,33043,0,144,,,0,887,37640,2019-03-31
0,0,0,0,0,,,0,0,37659,2019-03-31
,,,,,,,,,37949,2019-03-31
,,,,,,,,,38740,2019-03-31
,,,,,,,,,39327,2019-03-31
,,,,,,,,,39756,2019-03-31
,,,,,,,,,40033,2019-03-31
142886,32449,133518,0,0,,,0,3937,40499,2019-03-31
,,,,,,,,,40855,2019-03-31
,,,,,,,,,41245,2019-03-31
,,,,,,,,,41553,2019-03-31
,,,,,,,,,41629,2019-03-31
,,,,,,,,,41825,2019-03-31
,,,,,,,,,41937,2019-03-31
,,,,,,,,,41955,2019-03-31
,,,,,,,,,42037,2019-03-31
,,,,,,,,,42354,2019-03-31
,,,,,,,,,42372,2019-03-31
33892,8563,34984,0,0,,,0,1363,42420,2019-03-31
0,0,0,0,0,,,0,0,42448,2019-03-31
,,,,,,,,,42457,2019-03-31
,,,,,,,,,43052,2019-03-31
,,,,,,,,,43351,2019-03-31
,,,,,,,,,43856,2019-03-31
,,,,,,,,,43959,2019-03-31
,,,,,,,,,44040,2019-03-31
,,,,,,,,,44433,2019-03-31
,,,,,,,,,44741,2019-03-31
,,,,,,,,,44750,2019-03-31
,,,,,,,,,44929,2019-03-31
0,0,0,0,0,,,0,0,45038,2019-03-31
,,,,,,,,,45047,2019-03-31
,,,,,,,,,45056,2019-03-31
,,,,,,,,,45430,2019-03-31
,,,,,,,,,45458,2019-03-31
,,,,,,,,,45551,2019-03-31
18041,4771,18075,0,0,,,0,410,45560,2019-03-31
,,,,,,,,,45775,2019-03-31
,,,,,,,,,46053,2019-03-31
,,,,,,,,,46941,2019-03-31
47193,6918,46575,0,0,,,0,2112,47247,2019-03-31
,,,,,,,,,47256,2019-03-31
,,,,,,,,,47452,2019-03-31
,,,,,,,,,47500,2019-03-31
,,,,,,,,,48057,2019-03-31
,,,,,,,,,48150,2019-03-31
19487,4433,20830,0,5,,,0,629,48374,2019-03-31
,,,,,,,,,48440,2019-03-31
,,,,,,,,,49054,2019-03-31
,,,,,,,,,49148,2019-03-31
,,,,,,,,,49241,2019-03-31
,,,,,,,,,49652,2019-03-31
,,,,,,,,,49858,2019-03-31
,,,,,,,,,49951,2019-03-31
,,,,,,,,,50144,2019-03-31
,,,,,,,,,50461,2019-03-31
,,,,,,,,,50872,2019-03-31
0,0,0,0,0,,,0,0,51253,2019-03-31
