RCONFT04,RCONFT05,RCONHT81,RCONHT82,RCONHT86,RCONL191,RCONL192,RCONM288,RIADHT85,IDRSSD,RCON9999
,,,,,,,,,37,2018-09-30
,,,,,,,,,242,2018-09-30
,,,,,,,,,279,2018-09-30
,,,,,,,,,354,2018-09-30
,,,,,,,,,457,2018-09-30
,,,,,,,,,505,2018-09-30
,,,,,,,,,1155,2018-09-30
,,,,,,,,,1351,2018-09-30
,,,,,,,,,1454,2018-09-30
,,,,,,,,,1669,2018-09-30
,,,,,,,,,1856,2018-09-30
,,,,,,,,,2040,2018-09-30
,,0.0,0.0,0.0,,,0,0.0,2161,2018-09-30
,,0.0,0.0,0.0,,,0,2.0,2376,2018-09-30
,,,,,,,,,2554,2018-09-30
,,,,,,,,,2732,2018-09-30
,,,,,,,,,2750,2018-09-30
,,,,,,,,,3252,2018-09-30
,,,,,,,,,3458,2018-09-30
,,,,,,,,,3720,2018-09-30
26110,3889,,,,,,,,3971,2018-09-30
,,,,,,,,,4156,2018-09-30
,,,,,,,,,4231,2018-09-30
,,,,,,,,,5069,2018-09-30
,,,,,,,,,5135,2018-09-30
,,9269.0,0.0,0.0,,,0,132.0,5210,2018-09-30
,,,,,,,,,5461,2018-09-30
,,,,,,,,,5751,2018-09-30
,,0.0,0.0,0.0,,,0,0.0,6039,2018-09-30
,,0.0,20499.0,0.0,,,0,482.0,6329,2018-09-30
,,,,,,,,,7009,2018-09-30
,,0.0,0.0,0.0,,,0,0.0,7045,2018-09-30
,,,,,,,,,7072,2018-09-30
,,,,,,,,,7456,2018-09-30
,,,,,,,,,7634,2018-09-30
,,,,,,,,,8033,2018-09-30
,,,,,,,,,8462,2018-09-30
,,,,,,,,,8631,2018-09-30
,,,,,,,,,9357,2018-09-30
,,,,,,,,,9553,2018-09-30
,,,,,,,,,9807,2018-09-30
,,,,,,,,,9955,2018-09-30
,,,,,,,,,10250,2018-09-30
,,,,,,,,,10849,2018-09-30
,,,,,,,,,11145,2018-09-30
,,,,,,,,,11640,2018-09-30
,,,,,,,,,11837,2018-09-30
,,,,,,,,,12030,2018-09-30
,,,,,,,,,12142,2018-09-30
,,,,,,,,,12179,2018-09-30
,,851340.0,261751.0,3951.0,,,6024,31437.0,12311,2018-09-30
,,0.0,0.0,0.0,,,0,0.0,12647,2018-09-30
,,,,,,,,,12656,2018-09-30
,,,,,,,,,12937,2018-09-30
,,11729.0,0.0,0.0,,,0,339.0,12946,2018-09-30
,,12840.0,0.0,0.0,,,0,40.0,13103,2018-09-30
,,,,,,,,,13251,2018-09-30
,,,,,,,,,13457,2018-09-30
,,,,,,,,,14052,2018-09-30
,,,,,,,,,14155,2018-09-30
,,,,,,,,,14650,2018-09-30
,,,,,,,,,14753,2018-09-30
,,,,,,,,,14865,2018-09-30
,,0.0,0.0,0.0,,,0,0.0,14977,2018-09-30
,,,,,,,,,16551,2018-09-30
,,,,,,,,,16748,2018-09-30
,,0.0,0.0,0.0,,,0,0.0,17110,2018-09-30
,,56839.0,0.0,0.0,,,0,1454.0,17147,2018-09-30
,,,,,,,,,17259,2018-09-30
,,,,,,,,,17950,2018-09-30
,,,,,,,,,17978,2018-09-30
,,,,,,,,,18050,2018-09-30
,,,,,,,,,18135,2018-09-30
,,0.0,0.0,0.0,,,0,0.0,18827,2018-09-30
,,,,,,,,,18836,2018-09-30
,,,,,,,,,18854,2018-09-30
,,,,,,,,,19356,2018-09-30
,,,,,,,,,19936,2018-09-30
,,,,,,,,,19972,2018-09-30
,,,,,,,,,20053,2018-09-30
,,,,,,,,,20633,2018-09-30
,,,,,,,,,20857,2018-09-30
,,,,,,,,,21256,2018-09-30
,,,,,,,,,21359,2018-09-30
,,,,,,,,,21658,2018-09-30
,,,,,,,,,22048,2018-09-30
,,,,,,,,,22543,2018-09-30
,,,,,,,,,22552,2018-09-30
,,,,,,,,,22730,2018-09-30
,,,,,,,,,22936,2018-09-30
,,,,,,,,,23456,2018-09-30
,,0.0,0.0,0.0,,,0,0.0,23504,2018-09-30
,,,,,,,,,23643,2018-09-30
,,,,,,,,,23755,2018-09-30
,,,,,,,,,24006,2018-09-30
,,,,,,,,,24378,2018-09-30
,,,,,,,,,24453,2018-09-30
,,,,,,,,,24659,2018-09-30
,,6245.0,0.0,0.0,,,0,83.0,24668,2018-09-30
,,,,,,,,,24949,2018-09-30
,,,,,,,,,25357,2018-09-30
,,,,,,,,,25647,2018-09-30
