"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	RCONJ448	RCONJ449	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
6972																	CONF	0	4933	0	21838	0	7169	0	0	0	0	0	3492	6244	0	0	0	CONF				
7009																	CONF	0	0	161	12037	0	8492	6061	0	0	0	0	3384	0	0	0	0	CONF	RECEIVABLES			
7045																	CONF	9	261	0	2186	196	953	0	0	0	0	0	972	0	0	0	0	CONF				
7157																	CONF	0	23	0	775	0	258	49	0	0	0	0	494	0	0	0	0	CONF	lease financing contracts receivable			
7456																	CONF	0	303	0	1074	0	272	27	50	0	0	0	499	0	0	0	0	CONF	Computer Maintenance	Prepaid Health Insurance		
7634																	CONF	0	430	0	1113	159	321	98	0	0	0	0	362	0	0	0	0	CONF	LATE FEES RECEIVABLE			
8033																	CONF	0	1525	0	4149	147	639	69	0	0	0	0	1109	876	0	0	0	CONF	OTHER ASSETS			
8462																	CONF	0	21	0	1157	0	419	0	0	0	0	0	717	0	0	0	0	CONF				
8631																	CONF	0	158	71	2567	67	308	0	0	0	0	0	154	1876	0	0	0	CONF				
9357																	CONF	0	5347	0	7455	0	1132	0	0	0	0	0	976	0	0	0	0	CONF				
9553																	CONF	0	776	0	3607	144	409	0	0	0	0	0	1560	862	0	0	0	CONF				
9807																	CONF	0	20135	0	120928	299	18841	11914	1500	0	0	0	9066	72886	577	0	0	CONF	SETTLEMENT CLAIM	PERFORMANCE BOND (MADISON CROSSING)		
9955																	CONF	0	191	0	2209	0	1074	0	0	0	0	0	944	0	0	0	0	CONF				
10157																	CONF	0	279	1028	1699	90	94	0	0	0	0	0	298	0	0	0	0	CONF				
10250																	CONF	26	1750	3719	10944	610	3249	379	0	0	0	0	1976	250	0	0	0	CONF	Computer Software			
10849																	CONF	0	1538	1678	8089	155	2196	0	0	0	0	0	1724	953	416	0	0	CONF				
10858																	CONF	0	1444	0	7119	0	3019	0	0	0	0	0	2656	0	0	0	0	CONF				
11145																	CONF	30	1092	320	5856	84	892	0	0	0	0	0	470	3082	0	0	0	CONF				
11640																	CONF	0	2812	633	14536	1272	1639	0	0	0	0	0	2826	6626	0	0	0	CONF				
11837																	CONF	0	613	516	2616	0	505	0	0	0	0	0	982	0	0	0	0	CONF				
