"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	
639343																0	10217	787	517	2	119357	15085	13866	34	143957	0					0	0	0	0	0	0	0	0	0		
639549																0	10531	474	341	1	152174	11460	35310	47	198356	0			2792	6	0	0	0	0	0	0	0	0	0		
639567																0	0	0	0	0	3391	10538	0	0	3391	0			0	0	0	0	0	0	0	0	0	0	0		
639633																0	6326	300	0	0	98364	9265	27942	42	132632	0			3864	9	0	0	0	0	0	0	0	0	0		
639651																0	1443	68	0	0	40261	3811	10383	15	52087	0					0	0	0	0	0	0	0	0	0		
639857																0	1061	72	0	0	14529	1797	11741	9	27331	0					0	0	0	0	0	0	0	0	0		
640143																0	4356	274	0	0	53875	4984	10110	12	68341	0			7566	8	0	0	0	0	0	0	0	0	0		
640152																0	1796	67	0	0	32142	2831	9823	18	43761	0			3370	6	0	0	0	0	0	0	0	0	0		
640246																0	12689	705	280	1	202818	15704	33346	68	249134	0					0	0	0	0	0	0	0	0	26935		
640442																0	5392	247	582	2	83980	7310	7955	18	97909	0			1568	2	0	0	0	0	0	0	0	0	1288		
640554																0	225	21	253	1	30008	1617	5058	10	35544	0			358	1	0	0	0	0	0	0	0	0	0		
640956																0	6863	253	1139	3	67697	6757	25255	28	100954	0			10307	11	0	0	0	0	0	0	0	0	0		
641047																0	6066	274	256	1	48440	5067	3230	7	57992	0			539	2	0	0	0	0	0	0	0	0	0		
641252																0	5630	267	270	1	59644	6856	13112	30	78656	0			3546	9	0	0	0	0	0	0	0	0	0		
641355																0	4774	232	0	0	245464	16469	114526	179	364764	0			48758	86	0	0	0	0	0	0	0	0	0		
641364																0	0	0	0	0	31398	2643	6965	11	38363	0			2950	4	0	0	0	0	0	0	0	0	0		
641449																0	7198	326	293	1	64923	6371	18194	20	90608	0			282	1	0	0	0	0	0	0	0	0	0		
641476															71452	0	37646	1551	1044	3	911194	44789	235947	408	1185999	168	1200896	36	39001	66	0	0	0	0	0	0	0	0	0		
641579																0	9277	517	859	2	104491	9126	10097	34	124724	0					0	0	0	0	0	0	0	0	0		
641775																0	42511	2651	1422	4	384385	20628	39655	96	467973	0			2362	5	0	0	0	0	0	0	0	0	0		
642259																0	21399	1094	805	3	443535	46093	228248	299	693987	0			93379	125	0	0	0	0	0	0	0	0	0		
642437																0	11120	860	539	2	82265	7637	21345	34	115269	0			3671	9	0	0	0	0	0	0	0	0	0		
642549															182447	0	44261	3557	3220	6	378057	34695	361703	229	787241	0	804768	0	39831	46	0	0	0	0	0	0	0	0	5002		
642857																0	10568	499	637	1	147973	13206	34847	43	194025	0			3954	9	0	0	0	0	0	0	0	0	20442		
642866																0	1094	45	0	0	56598	2731	7497	23	65189	0			1236	3	0	0	0	0	0	0	0	0	0		
643274																0	2008	97	0	0	12188	955	0	0	14196	0					0	0	0	0	0	0	0	0	0		
643340																0	11973	1023	921	3	167800	18410	51514	65	232208	0			16133	26	0	0	0	0	0	0	0	0	0		
643368																0	2234	69	0	0	21494	2059	3955	7	27684	0			2210	4	0	0	0	0	0	0	0	0	0		
643452																0	4775	254	557	2	113545	10040	26219	48	145096	0			8619	11	0	0	0	0	0	0	0	0	0		
643546																0	5407	227	577	2	53773	5225	11954	23	71712	0	70437	0			0	0	0	0	0	0	0	0	0		
643658																0	1464	68	0	0	56438	4885	11168	25	69070	0			4316	9	0	0	0	0	0	0	0	0	0		
644057																0	2823	109	0	0	31103	2855	842	2	34769	1			774	2	0	0	0	0	0	0	0	0	0		
644132																0	15244	870	2011	6	176605	22272	31220	55	225080	0			5380	8	0	0	0	0	0	0	0	0	1800		
644141																0	4072	136	268	1	54080	6410	13317	19	71738	0			550	1	0	0	0	0	0	0	0	0	0		
