"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	4039	0	0	33117	0	581	62	1165	82922	65475	323	65798	0	964	0	0	0	17124	1200	82922	0	0	12000	0	0	3500	0	7074	58401			0	44922	43958	424	0	0	0	0	17124	
242																																							598	850	0	0	8800	0	220	0	534	33267	24569	37	28956	0	177	0	4350	0	4311	120	33267	0	0	3899	0	0	120	0	4486	20083			0	21181	21004	172	1261	0	0	0	4311	
279																																							4615	1837	50	45998	18688	263	6332	0	3149	158426	103121	502	135428	0	496	0	31805	0	22998	1	158426	0	0	22381	0	0	0	0	5667	97454			0	75590	75094	616	2400	0	0	0	22998	
354																																							99	290	0	0	4694	0	48	0	183	9433	8324	14	8446	0	211	0	0	0	987	25	9433	0	0	425	0	0	500	0	1997	6327			0	4330	4119	37	0	0	108	0	987	
457																																							622	2092	0	179	505	0	120	800	1317	36862	28919	164	33583	0	365	0	4500	0	3279	60	36862	0	0	774	0	0	2440	0	2680	26239			0	31358	30993	5	234	0	0	0	3279	
505																																							21647	2516	35	0	73251	0	4182	207	8181	356309	278220	3254	326974	58	4497	1595	45500	0	29277	6480	356309	0	0	12674	0	0	10653	0	43158	235062			0	246192	241695	-530	3000	0	0	0	29335	
1155																																							16618	5124	0	250	27962	0	4458	360	7213	206507	173137	1813	187643	0	2364	0	0	0	18864	1600	206507	0	0	11617	0	0	4900	1030	17817	155320			0	145856	143492	747	0	0	0	12693	18864	
1351																																							0	2815	0	57465	5333	0	1066	103	2043	145214	125060	620	125680	0	1482	0	0	0	19534	240	145214	0	0	18682	0	0	530	0	12874	112186			0	71856	70374	82	6015	0	0	0	19534	
1454																																							38683	11363	0	0	192627	0	4620	0	10536	470994	421367	977	422344	0	3185	0	0	0	48650	1000	470994	0	0	43505	0	0	1214	1621	107135	314232			0	214729	211544	2931	0	0	0	0	48650	
