"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH PARENT HOLDING CO	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	17124	16737	300	0	0	120	0	0	16737	0	0	207	
242	4311	4277	268	0	0	261	0	0	4277	0	0	27	
279	22998	22441	415	0	0	0	0	0	22441	1	0	141	
354	987	1008	-24	0	0	0	0	0	1008	0	0	3	
457	3279	3245	259	0	0	219	0	0	3245	0	0	-6	
505	29277	27985	1349	0	0	503	0	0	27985	0	0	446	
1155	18864	17043	1293	0	500	0	0	0	17043	0	0	28	
1351	19534	19343	802	0	0	699	0	0	19343	0	0	88	
1454	48650	45434	4577	0	0	1901	0	0	45434	0	0	540	
1557	5313	5063	264	0	0	203	0	0	5063	200	0	-11	
1669	44094	42004	1770	0	0	0	0	0	42004	0	0	320	
1829	42058	40570	1857	0	0	1077	0	0	40570	0	0	708	
1856	20397	15041	-416	0	0	0	0	-7	15034	0	0	5779	
2040	19385	18670	496	0	0	0	0	0	18670	0	0	219	
2161	13360	12665	1349	0	0	637	0	0	12665	0	0	-17	
2376	389452	194275	494	0	200816	0	0	0	194275	-7054	0	921	
2451	167	2805	-2101	0	0	0	0	-537	2268	0	0	0	
2554	1130	1129	66	0	0	65	0	0	1129	0	0	0	
2732	73196	72224	1568	0	0	463	0	0	72224	0	0	-133	
2750	5491	5206	330	0	0	161	0	0	5206	-30	0	146	
3252	18234	17434	1813	0	0	900	0	0	17434	0	0	-113	
3458	3097	2984	83	0	0	0	0	36	3020	0	0	-6	
3720	27107	25940	1188	0	0	240	0	0	25940	0	0	219	
3953	8069	9874	-1435	0	0	370	0	0	9874	0	0	0	
4138	15610	16197	-1046	0	0	0	0	0	16197	0	0	459	
4156	18596	18009	931	0	0	75	0	0	18009	0	0	-269	
4231	14713	14252	226	0	0	0	0	0	14252	0	0	235	
4437	24799	24093	482	0	0	167	0	0	24093	0	0	391	
4839	30287	26072	1238	0	2100	216	0	0	26072	0	0	1093	
5005	26996	27918	-950	0	0	0	0	0	27918	0	0	28	
5069	109226	102203	10977	0	0	3987	0	0	102203	0	0	33	
5135	36174	34844	1372	0	0	255	0	0	34844	0	0	213	
5210	79944	76086	4037	0	0	2253	0	0	76086	0	0	2074	
5331	32905	30130	875	0	0	258	0	0	30130	0	0	2158	
5461	45442	43633	2679	0	0	1061	0	0	43633	0	0	191	
5751	25024	23845	1150	0	0	696	0	0	23845	0	0	725	
6039	8796	8483	284	0	0	0	0	0	8483	0	0	29	
6141	4742	4552	190	0	0	0	0	0	4552	0	0	0	
6329	37211	35344	-2383	0	4000	0	0	0	35344	0	0	250	
6972	93660	86602	-16003	0	22674	0	0	0	86602	0	0	387	
7009	49261	49327	2493	0	0	900	0	0	49327	0	0	-1659	
7045	14588	14082	549	0	0	0	0	0	14082	0	0	-43	
7157	3973	4363	-304	0	0	72	0	0	4363	0	0	-14	
7456	4842	4691	243	0	0	314	0	0	4691	0	0	222	
7634	3675	3763	-99	0	0	0	0	0	3763	0	0	11	
8033	14003	13647	802	0	0	400	0	-65	13582	0	0	19	
8462	15702	14551	1078	0	0	172	0	0	14551	0	0	245	
8631	6447	6399	139	0	0	80	0	0	6399	0	0	-11	
9357	62256	59748	3264	0	0	778	0	0	59748	0	0	22	
9553	8925	8404	496	0	0	5	0	0	8404	0	0	30	
9807	197979	195878	696	0	0	0	0	0	195878	0	0	1405	
9955	12042	11496	594	0	0	160	0	0	11496	0	0	112	
10157	2823	3616	-838	0	0	0	0	0	3616	0	0	45	
