"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
249957	0	0	3	37	2	185	4	1488	15	247	3	255	1	298	0	0	20	781	12	1489	6	1230	114	2079	8	528	0	0	false	false	
250047	0	0	20	688	8	1511	8	4226	69	1598	13	1240	5	1628	0	0	38	1407	18	2471	14	4021	50	1015	25	2065	13	3142	false	false	
250113	0	0	27	1409	10	1242	16	6560	109	2792	12	1706	8	3109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
250430	29	35	0	0	0	0	0	0	0	0	0	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
250850	0	0	16	506	3	273	2	723	113	3582	12	1517	5	1110	0	0	13	484	7	591	1	241	53	1119	20	1982	9	2237	false	false	
251008	0	0	72	3161	40	4827	21	7645	74	1633	14	1423	2	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
251352	0	0	72	2594	39	5426	20	6990	199	7537	42	5067	20	7979	124	410	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
251558	51	693	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
251736	0	0	68	2675	70	8958	82	36824	625	11900	105	10748	81	22100	0	0	23	833	21	2588	8	1152	97	2477	23	2550	8	2121	false	false	
251745	919	27	0	0	0	0	0	0	0	0	0	0	0	0	75	241	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
251857	18	85	0	0	0	0	0	0	0	0	0	0	0	0	86	430	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
251969	0	0	1	96	19	2764	45	21774	23	662	13	1803	23	9248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
252041	0	0	28	1136	16	2170	23	9131	110	2320	22	2508	18	6598	0	0	28	1372	28	3615	8	2380	78	1449	18	2089	6	1426	false	false	
252256	6	17	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
252452	95	84	0	0	0	0	0	0	0	0	0	0	0	0	46	168	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
252658	0	0	27	2030	24	2502	27	11340	196	3988	30	2564	17	5257	0	0	0	0	1	94	1	107	0	0	0	0	0	0	false	false	
252706	0	0	219	10128	354	46701	347	136941	766	16165	197	18193	120	31345	0	0	2	128	1	92	1	474	0	0	2	254	0	0	false	false	
252836	0	0	87	4138	86	11264	70	27980	65	1345	19	1814	8	1797	3	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
253262			43	1714	9	932	3	525	282	3416	21	1254	17	3184	51	423													true	false	
253356	0	0	83	8150	92	14428	38	32978	170	4672	48	10122	23	9572	0	0	4	258	0	0	0	0	3	46	2	120	3	837	false	false	
253440	0	0	48	1974	23	3171	31	11209	150	2912	36	3924	18	5708	0	0	79	2647	36	3724	16	3595	184	3712	34	3196	9	2263	false	false	
253468	0	0	4	253	14	2351	52	26191	334	7100	104	7810	125	27455	0	0	0	0	0	0	0	0	25	774	17	1482	9	1884	false	false	
253646	152	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	3106	31	3615	10	2936	284	6051	2	110	0	0	false	true	
253730	0	0	82	392	38	5297	22	11835	138	3545	14	1135	13	3698	4	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
253776	0	0	11	483	0	0	0	0	0	0	0	0	0	0	0	0	1	17	2	201	0	0	0	0	0	0	0	0	false	false	
254148	34	97	0	0	0	0	0	0	0	0	0	0	0	0	19	88	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
254317	0	0	43	1458	32	3132	26	7866	168	3908	21	2694	9	6644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
254504	117	183	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
254652	41	51	0	0	0	0	0	0	0	0	0	0	0	0	70	166	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
254670	0	0	1	44	1	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
254849	0	0	17	1457	9	1148	18	7849	18	494	7	796	4	2676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
255136	0	0	128	5174	77	9632	51	14298	249	3782	40	3609	14	3790	0	0	6	98	2	398	1	371	10	135	3	421	3	792	false	false	
255350	0	0	60	1994	33	4022	20	8940	160	4502	49	5587	29	12043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
255462	0	0	1	82	14	2063	37	19523	5	44	1	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
255547	0	0	25	629	20	2979	5	1320	66	1113	5	655	2	820	0	0	16	644	7	982	3	936	27	668	0	0	1	318	false	false	
255556			31	3014	20	2957	17	7806	62	3957	16	1464	7	2266			4	130	2	281	3	1019	16	298	4	538	1	306	false	false	
255659			217	8725	240	32115	233	90841	799	13301	86	6974	73	19798			119	5363	140	18289	55	16428	361	7686	110	9881	48	11097	false	false	
255873	0	0	4	245	4	656	16	8173	2	23	3	179	1	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
255958	2	40	0	0	0	0	0	0	0	0	0	0	0	0	12	196	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
256049	0	13	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
256058	163	137	0	0	0	0	0	0	0	0	0	0	0	0	54	277	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
256179	0	0	23	583	6	638	8	2423	134	3905	24	2790	11	1758	0	0	25	784	10	1037	0	0	74	1102	7	504	6	892	false	false	
256272	0	0	19	461	7	468	2	372	320	5837	20	2264	7	2510	0	7	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
256450	1	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	369	7	991	0	0	157	2460	22	2191	15	3701	false	true	
256553			218	8442	112	19251	94	47317	1846	39192	185	28363	71	30838			577	24643	160	25139	48	19289	2873	63207	302	44925	107	44978	false	false	
256964	0	0	109	4553	76	9725	55	19880	483	9757	65	7148	35	9370	0	0	7	206	0	0	0	0	50	584	1	129	0	0	false	false	
257000	0	0	216	8188	127	15604	84	32187	289	6094	85	8937	37	8488	0	0	2	44	2	256	1	232	10	131	2	411	0	0	false	false	
