"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	
37	8440	0	1659	6203	0	13746	0	0	0	0	0	0	54262	0	794	12133		30745	2944	2944	11845	4147	0	0	3060	8785	6539	12361	1257	2890	1139	6847	12087	53468	0	0	
242	3028	0	1291	3199	0	7597	0	0	0	0	0	0	14773	0	932	2304		8021	1420	1271	5508	2103	0	0	1523	3985	1698	815	600	1503	0	201	6306	13841	0	0	
279	10443	0	0	2182	0	9519	0	0	0	0	0	0	68244	0	0	18166		37344	2291	8971	25145	8235	0	0	10511	14634	10655	1544	3129	5106	8219	1712	9519	68244	0	0	
354	1079	0	79	1056	0	1056	0	0	0	0	0	0	6220	0	1620	901		3036	1204	0	3023	901	0	0	1381	1642	13	0	500	401	0	0	977	4600	0	0	
439	16498	6	5157	34954	0	52667	0	0	0	4649	4649	0	92669	0	5305	26677		41023	8471	8881	39060	24911	0	1036	12462	26598	1893	70	9320	15591	1766	0	47504	87364	0	0	
457	2957	0	401	2463	0	4491	0	0	396	100	496	0	17928	0	1382	2405		8834	3732	709	6889	1901	297	100	1913	4976	1885	60	207	1694	504	0	4090	16050	0	496	
505	72357	3	9538	43420	0	74937	0	0	0	0	0	0	167636	0	23523	23134		43556	28589	8438	30526	13400	0	0	10510	20016	11817	1213	7213	6187	7606	2128	65396	143813	0	300	
1146	62578	0	403	60554	0	107627	0	0	0	0	0	0	204610	0	6592	39462		56767	45803	9978	43602	29025	0	0	11685	31933	11417	1732	7778	21247	9566	871	106626	197717	598	301	
1155	504	22	721	12189	0	44648	0	0	0	0	0	0	70994	0	10809	16961		40820	12709	8916	29809	12685	0	0	17536	12273	6171	4840	8838	3847	1439	2837	43894	60185	11	0	
1351	3518	4	4938	10152	0	19894	0	0	0	0	0	0	66371	0	2994	13169		36134	13550	5127	28343	9326	0	0	10264	18079	7791	0	3494	5832	3843	0	14952	63377	0	0	
1454	2028	117	2640	96126	0	135344	0	0	0	0	0	0	170832	5	10277	26448		44686	97670	13336	31384	10390	0	0	15807	17854	8642	2383	15909	6547	2543	1449	132471	160550	116	0	
1557	2043	0	1191	3263	0	6615	0	0	0	0	0	0	21342	0	1810	4406		12489	2404	2027	8935	3755	0	0	3319	5616	3070	484	1528	2227	422	229	5424	19482	0	50	
1632	69750	29	38511	28526	0	39246	0	0	0	18000	18000	0	173636	0	480	47012		35774	21100	9134	28068	30748	0	5000	10218	17850	6855	851	8206	22641	14844	1321	570	172999	136	157	
1669	14288	15	10395	36160	0	72146	0	0	0	0	0	0	112286	0	568	20950		61225	15823	10819	43721	14059	0	0	19154	25882	7145	9044	3966	10197	4119	2668	61624	111607	112	111	
1829	35211	4	133	55701	0	70604	0	0	0	0	0	0	193215	0	17940	38778		77788	41436	18491	41360	24998	0	0	13292	28068	26966	9462	2169	22829	7485	6295	69970	175275	497	0	
1856	453	0	764	1839	0	2977	0	0	0	24023	24023	0	50258	0	22409	45561		2327	1917	0	2206	26438	0	5000	700	1506	43	78	20200	6238	13049	6074	2213	27849	0	0	
2040	6565	8	2289	9457	0	27616	0	0	0	0	12259	0	88093	0	5146	22147		30186	29195	9773	21771	11817	0	3330	4756	17015	6569	1846	5124	6693	5296	5034	25319	82727	0	220	
2161	13020	0	2659	14700	0	34278	0	0	0	0	0	0	59134	0	14998	24724		16151	5239	6408	13467	19764	0	0	4925	8542	2293	391	14352	5412	4749	211	31619	44136	0	0	
2376	196882	0	88	31155	0	73852	0	0	0	0	0	0	662200	0	139	64939		336380	63999	49462	263936	49280	0	0	94496	169470	59649	12765	17458	31822	12410	3250	73764	662061	0	0	
2451	2002	0	561	1626	0	3975	0	0	0	0	0	0	12488	0	1627	2864		5525	2097	598	4080	1713	0	0	956	3124	1179	266	811	902	651	500	3414	10760	0	101	
2554	527	0	0	1251	0	2787	0	0	0	0	0	0	3343	0	0	508		2309	0	0	1898	408	0	0	662	1237	340	70	100	308	0	100	2557	2608	230	735	
2732	41943	12	6998	80658	0	109723	0	0	0	0	0	0	279934	0	43671	105416		67484	65091	11420	61311	100457	0	0	39904	21767	4816	997	68023	32434	3573	1386	102713	236263	0	0	
2750	3247	0	1408	1675	0	6359	0	0	594	306	900	0	30154	0	3795	8474		15909	2524	1565	12849	6699	495	100	6080	7040	2313	476	3084	3615	1669	106	4951	24984	0	1375	
