"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																0	267	240	1273	49	61	0	0	0	0	0	705	0	0	0				
242																0	152	0	350	0	23				0	0	175	0	0	0				
279																0	1866	59	2628	29	90	0	0	0	0	0	613	38	0	0				
354																0	4	54	151	0	1	0	0	0	0	0	92	0	0	0				
439																0	351	653	2441	162	187	0	0	0	0	0	1250	0	0	0				
457																0	40	0	787	0	448	0	0	0	0	0	299	421	0	0				
505																0	1933	922	7492	1955	3521	899	0	0	0	0	1116	0	0	0	Split dollar receivable                                                                                                                                                                          			
1146																0	1877	0	11405	0	8814	5405	0	0	0	0	714	0	0	0	LTC- Title Insurance                                                                                                                                                                             			
1155																0	524	523	5076	41	3104	37	0	0	0	0	925	2990	0	0	Computer Software                                                                                                                                                                                			
1351																0	0	36	1210	49	49	0	0	0	0	0	1125	0	0	0				
1454																0	1090	0	3636	525	669	0	0	0	0	0	1877	0	0	0				
1557																0	52	0	663	28	52	0	0	0	0	0	559	0	0	0				
1632																0	1450	2444	7470	1113	1844	0	0	0	0	0	1732	0	0	0				
1669																4	682	268	8368	181	5334	0	0	0	0	0	2084	5147	0	0				
1829																0	1347	0	3761	571	799	0	0	0	0	0	1615	0	0	0				
1856																2	3696	0	5131	176	178	0	0	0	0	0	1257	0	0	0				
2040																0	1070	257	3487	281	1454	73	95	0	0	0	706	1004	0	0	Petroleum cleanup receivables                                                                                                                                                                    	Computer software                                                                                                                                                                                		
2161																0	230	132	2886	0	2122	0	0	0	0	0	402	1783	0	0				
2376																0	7953	1610	13622	215	919	603	0	0	0	0	3140	0	0	0	Principal receivable on MBS                                                                                                                                                                      			
2451																0	256	0	573	0	142	47			0	0	175	0	0	0	DATA PROCESSING SYSTEMS                                                                                                                                                                          			
2554																0	0	0	127	12	12	0	0	0	0	0	115	0	0	0				
2732																0	181	442	3060	38	609	117	204	0	0	0	1828	228	0	0	leasehold purchase                                                                                                                                                                               	Fed Inc Tax- Receivable                                                                                                                                                                          		
2750																0	335	0	1536	0	652	0	0	0	0	0	549	601	0	0				
2938																243	2057	1075	5385	189	432	0	0	0	0	0	1821	0	0	0				
2956																0	25	627	1539	0	4	0	0	0	0	0	883	0	0	0				
3252																0	271	199	2500	0	535	266	0	0	0	0	1495	0	0	0	Leases                                                                                                                                                                                           			
3458																0	75	36	285	0	12	0	0	0	0	0	162	0	0	0				
3506																0	4258	3246	42657	0	28838	0	0	0	0	0	6315	22340	0	0				
3579																0	2923	0	5957	0	1515	699	0	0	0	0	1519	0	0	0	Prepaid pension contribution                                                                                                                                                                     			
3720																0	547	789	4898	0	3005	0	0	0	0	0	557	1695	0	0				
3953																0	288	0	2426	149	606	0	0	0	0	0	1532	457	0	0				
4138																0	833	489	2446	123	157	0	0	0	0	0	967	0	0	0				
4147																0	3172	0	7547	0	3960	0	0	0	0	0	415	3519	0	0				
4156																36	925	0	4971	0	2753	0	0	0	0	0	1293	2624	0	0				
4231																0	0	951	1893	0	48	0	0	0	0	0	894	0	0	0				
4437																0	930	680	3185	222	800	383	0	0	0	0	775	0	0	0	DUE FROM PARENT COMPANY                                                                                                                                                                          			
4745																0	0	0	58	2	2	0	0	0	0	0	56	0	0	0				
4839																0	1357	0	2724	141	311	0	0	0	0	0	1056	0	0	0				
5005																0	2174	0	10950	0	7631	0	0	0	0	0	1145	6198	0	0				
5050																6	395	5	1090	86	95	0	0	0	0	0	595	0	0	0				
5069																0	0	162	3026	313	1108	571	0	0	0	0	1756	0	0	0	Deferred Costs                                                                                                                                                                                   			
5135																4	630	458	5400	126	2463	5	166	72	0	0	1849	2074	0	0	FHLB Dividends                                                                                                                                                                                   	Omnivest Receivable                                                                                                                                                                              	Late Charges Assessed                                                                                                                                                                            	
5210																0	8502	4365	37571	0	19939	0	0	0	0	0	4765	14436	0	0				
5247																0	0	0	5753	266	2384	2118	0	0	0	0	3369	0	0	0	Accounts Receivable                                                                                                                                                                              			
5274																0	3795	354	4933	120	277	0	0	0	0	0	507	0	0	0				
