"IDRSSD"	RCFD3561	RCFD3562	RCFD7701	RCFD7702	RCON3561	RCON3562	RCON7701	RCON7702	
	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	
37					0	0	0.0000	0.0000	
242					2	329	0.0800	0.0850	
279					2	27	0.0745	0.0800	
354					2	4	0.1050	0.1050	
439					1	14	0.0850	0.0850	
457					1	3	0.0675	0.0675	
505					0	0	0.0000	0.0000	
1146					0	0	0.0000	0.0000	
1155					0	0	0.0000	0.0000	
1351					4	60	0.0900	0.0900	
1454					0	0	0.0000	0.0000	
1557					1	6	0.0745	0.0745	
1632					2	409	0.0900	0.1050	
1669					1	3	0.1175	0.1175	
1829					1	15	0.0875	0.0875	
1856					2	6	0.1025	0.1075	
1959					0	0	0.0000	0.0000	
2040					5	48	0.0750	0.1025	
2161					1	9	0.0881	0.0881	
2376					0	0	0.0000	0.0000	
2451					2	77	0.0900	0.0900	
2554					0	0	0.0000	0.0000	
2732					0	0	0.0000	0.0000	
2750					3	153	0.0900	0.0950	
2938					0	0	0.0000	0.0000	
2956					0	0	0.0000	0.0000	
3252					1	100	0.0990	0.0990	
3458					0	0	0.0000	0.0000	
3506					0	0	0.0000	0.0000	
3579					2	153	0.0750	0.0800	
3720					0	0	0.0000	0.0000	
3953					0	0	0.0000	0.0000	
4138					2	21	0.1050	0.1200	
4147					0	0	0.0000	0.0000	
4156					0	0	0.0000	0.0000	
4231					0	0	0.0000	0.0000	
4437					2	400	0.0900	0.0900	
4745					0	0	0.0000	0.0000	
4839					0	0	0.0000	0.0000	
5005					0	0	0.0000	0.0000	
5050					0	0	0.0000	0.0000	
5069					3	400	0.1050	0.1050	
5135					0	0	0.0000	0.0000	
5210					0	0	0.0000	0.0000	
5247					0	0	0.0000	0.0000	
5274					0	0	0.0000	0.0000	
5331					0	0	0.0000	0.0000	
5452					0	0	0.0000	0.0000	
5461					0	0	0.0000	0.0000	
5751					0	0	0.0000	0.0000	
5939					0	0	0.0000	0.0000	
6039					3	20	0.0790	0.1000	
6057					0	0	0.0000	0.0000	
6141					1	20	0.0750	0.0750	
6329					0	0	0.0000	0.0000	
6842					2	6	0.0900	0.1350	
6972					1	390	0.0900	0.0900	
7009					0	0	0.0000	0.0000	
7045					0	0	0.0000	0.0000	
7157					1	4	0.0750	0.0750	
7166					0	0	0.0000	0.0000	
7456					0	0	0.0000	0.0000	
7634					0	0	0.0000	0.0000	
8033					0	0	0.0000	0.0000	
8154					0	0	0.0000	0.0000	
8417					0	0	0.0000	0.0000	
8462					2	12	0.0950	0.0950	
8547					0	0	0.0000	0.0000	
8631					0	0	0.0000	0.0000	
8855					1	80	0.0800	0.0875	
9115					0	0	0.0000	0.0000	
9160					1	75	0.1050	0.1050	
9339					1	38	0.0901	0.0901	
9357					0	0	0.0000	0.0000	
9553					6	495	0.0850	0.0950	
9807					1	50	0.0825	0.0825	
9955					0	0	0.0000	0.0000	
10157					2	153	0.1045	0.1045	
10250					0	0	0.0000	0.0000	
10577					0	0	0.0000	0.0000	
10849					6	399	0.0850	0.0950	
10858					0	0	0.0000	0.0000	
11145					0	0	0.0000	0.0000	
11350					1	4	0.1050	0.1050	
11640					0	0	0.0000	0.0000	
11837					0	0	0	0	
12030					0	0	0.0000	0.0000	
12058					3	71	0.0800	0.1050	
12142					3	69	0.0950	0.1100	
12245					4	237	0.0705	0.0875	
12311	1	385	0.0613	0.0613					
12357					0	0	0.0000	0.0000	
12405					0	0	0.0000	0.0000	
12647					5	611	0.0850	0.0900	
12656					0	0	0.0000	0.0000	
12937					0	0	0.0000	0.0000	
12946					4	342	0.0850	0.0875	
12955					0	0	0.0000	0.0000	
13037					0	0	0.0000	0.0000	
13103					0	0	0.0000	0.0000	
13251					0	0	0.0000	0.0000	
13309					2	50	0.0521	0.0800	
13457					0	0	0.0000	0.0000	
14052					0	0	0.0000	0.0000	
14155					0	0	0.0000	0.0000	
14258					4	3216	0.0838	0.0850	
14409	0	0	0.0000	0.0000					
14454					0	0	0.0000	0.0000	
14650					0	0	0.0000	0.0000	
14753					1	5	0.1350	0.1350	
14865					1	20	0.1050	0.1050	
14931					0	0	0.0000	0.0000	
14940					0	0	0.0000	0.0000	
15536					0	0	0.0000	0.0000	
15732					0	0	0.0000	0.0000	
16337					0	0	0.0000	0.0000	
16355					1	10	0.0850	0.0850	
16458					0	0	0.0000	0.0000	
16551					2	22	0.0775	0.0950	
16748					0	0	0.0000	0.0000	
16766					0	0	0.0000	0.0000	
16944					0	0	0.0000	0.0000	
16953					10	57	0.0900	0.0900	
17110					0	0	0.0000	0.0000	
17147					3	82	0.0670	0.0900	
17259					1	203	0.0875	0.0875	
17464					1	100	0.0850	0.0850	
17549					0	0	0.0000	0.0000	
17642					1	2	0.1100	0.1100	
17839					2	5	0.1000	0.1000	
17950					0	0	0.0000	0.0000	
18050					0	0	0.0000	0.0000	
18126					0	0	0.0000	0.0000	
18135					0	0	0.0000	0.0000	
18368					0	0	0.0000	0.0000	
18377					0	0	0.0000	0.0000	
18827					0	0	0.0000	0.0000	
18836					0	0	0.0000	0.0000	
18854					0	0	0.0000	0.0000	
18863					0	0	0.0000	0.0000	
18957					2	53	0.0800	0.0825	
19356					0	0	0.0000	0.0000	
19730					0	0	0.0000	0.0000	
19936					0	0	0.0000	0.0000	
19972					0	0	0.0000	0.0000	
20053					0	0	0.0000	0.0000	
20147					5	79	0.0765	0.0950	
20259					0	0	0.0000	0.0000	
20370					0	0	0.0000	0.0000	
20512					0	0	0.0000	0.0000	
20633					0	0	0.0000	0.0000	
20754					0	0	0.0000	0.0000	
20839					1	25	0.0850	0.0850	
20857					0	0	0.0000	0.0000	
20866					1	18	0.0799	0.0799	
21256					1	1	0.1050	0.1050	
21359					0	0	0.0000	0.0000	
21630					0	0	0.0000	0.0000	
21658					2	77	0.0640	0.0910	
22048					7	571	0.0675	0.0975	
22235					2	95	0.0750	0.0900	
22356					0	0	0.0000	0.0000	
22459					0	0	0.0000	0.0000	
22543					0	0	0.0000	0.0000	
22552					0	0	0.0000	0.0000	
22730					1	50	0.0850	0.0850	
22860					0	0	0.0000	0.0000	
22936					2	250	0.0850	0.0850	
22954					0	0	0.0000	0.0000	
23036					0	0	0.0000	0.0000	
23045					0	0	0.0000	0.0000	
23241					1	5	0.1400	0.1400	
23344					1	50	0.0800	0.0800	
23456					2	13	0.1275	0.1275	
23504					0	0	0.0000	0.0000	
23540					0	0	0.0000	0.0000	
23643					0	0	0.0000	0.0000	
23755					0	0	0.0000	0.0000	
23812					0	0	0.0000	0.0000	
24006					0	0	0.0000	0.0000	
24266					0	0	0.0000	0.0000	
24453					1	211	0.0675	0.0675	
24659					1	95	0.0900	0.0900	
24668					3	40	0.0779	0.0900	
24855					0	0	0.0000	0.0000	
24949					0	0	0.0000	0.0000	
25357					3	13	0.0900	0.1000	
25450					1	2	0.1000	0.1000	
25647					1	6	0.0923	0.0923	
25852					0	0	0.0000	0.0000	
26149					1	18	0.0850	0.0850	
26233					0	0	0.0000	0.0000	
26242					4	81	0.0750	0.0950	
26457					0	0	0.0000	0.0000	
26756					0	0	0.0000	0.0000	
26765					1	3	0.0950	0.0950	
26859					0	0	0.0000	0.0000	
26916					1	14	0.0959	0.0959	
27548					2	265	0.0700	0.0800	
27614					0	0	0.0000	0.0000	
27838					1	360	0.0795	0.0795	
27847					0	0	0.0000	0.0000	
28013					0	0	0.0000	0.0000	
28152					0	0	0.0000	0.0000	
28255					0	0	0.0000	0.0000	
28349					0	0	0.0000	0.0000	
28406					0	0	0.0000	0.0000	
28572					0	0	0.0000	0.0000	
28732					0	0	0.0000	0.0000	
29104					0	0	0.0000	0.0000	
29159					0	0	0.0000	0.0000	
29252					0	0	0.0000	0.0000	
29636					0	0	0.0000	0.0000	
29850					1	30	0.0900	0.0900	
29944					0	0	0.0000	0.0000	
29953					0	0	0.0000	0.0000	
30025					0	0	0.0000	0.0000	
30052					2	19	0.0900	0.0975	
30146					0	0	0.0000	0.0000	
30155					0	0	0.0000	0.0000	
30258					0	0	0.0000	0.0000	
30418					0	0	0.0000	0.0000	
30436					0	0	0.0000	0.0000	
30502					1	20	0.0690	0.0690	
30650					0	0	0.0000	0.0000	
30810					0	0	0.0000	0.0000	
30856					2	252	0.0775	0.0800	
31134					0	0	0.0000	0.0000	
31152					3	165	0.0900	0.1800	
31255					0	0	0.0000	0.0000	
31303					0	0	0.0000	0.0000	
31657					6	131	0.0825	0.1200	
31826					0	0	0.0000	0.0000	
31835					1	33	0.0810	0.0810	
32159					0	0	0.0000	0.0000	
32234					0	0	0.0000	0.0000	
32766					0	0	0.0000	0.0000	
33147					0	0	0.0000	0.0000	
33259					0	0	0.0000	0.0000	
33268					0	0	0.0000	0.0000	
33549					0	0	0.0000	0.0000	
33727					2	395	0.0750	0.0850	
33754					1	76	0.0700	0.0700	
33772					0	0	0.0000	0.0000	
33839					0	0	0.0000	0.0000	
33857					3	22	0.0900	0.0950	
34032					2	300	0.0800	0.0800	
34153					0	0	0.0000	0.0000	
34359					0	0	0.0000	0.0000	
34425					0	0	0.0000	0.0000	
34434					3	41	0.0800	0.0900	
34452					0	0	0.0000	0.0000	
34537					0	0	0.0000	0.0000	
34555					2	8	0.0845	0.0845	
34742					0	0	0.0000	0.0000	
34836					0	0	0.0000	0.0000	
34863					1	6	0.0700	0.0700	
35057					0	0	0.0000	0.0000	
35244					0	0	0.0000	0.0000	
35301	0	0	0.0000	0.0000					
35570					0	0	0.0000	0.0000	
35646					0	0	0.0000	0.0000	
35842					0	0	0.0000	0.0000	
35851					0	0	0.0000	0.0000	
35936					0	0	0.0000	0.0000	
36054					4	405	0.0675	0.0900	
36344					1	5	0.0950	0.0950	
36456					7	87	0.0700	0.0850	
36830					1	20	0.0825	0.0825	
36858					0	0	0.0000	0.0000	
36933					0	0	0.0000	0.0000	
37051					0	0	0.0000	0.0000	
37341					1	12	0.1050	0.1050	
37350					0	0	0.0000	0.0000	
37378					0	0	0.0000	0.0000	
37435					2	221	0.0850	0.0950	
37640					0	0	0.0000	0.0000	
37659					0	0	0.0000	0.0000	
37743					0	0	0.0000	0.0000	
37949					1	26	0.0800	0.0800	
38441					0	0	0.0000	0.0000	
38478					3	428	0.0850	0.0975	
38526					0	0	0.0000	0.0000	
38535					0	0	0.0000	0.0000	
38740					2	60	0.0600	0.0875	
39327					0	0	0.0000	0.0000	
39420					0	0	0.0000	0.0000	
39475					1	600	0.0900	0.0900	
39756					0	0	0.0000	0.0000	
39934					1	26	0.0850	0.0850	
40033					0	0	0.0000	0.0000	
40051					0	0	0.0000	0.0000	
40305					0	0	0.0000	0.0000	
40350					3	325	0.0825	0.0975	
40707					0	0	0.0000	0.0000	
40855					0	0	0.0000	0.0000	
41245					1	12	0.0800	0.0800	
41553					0	0	0.0000	0.0000	
41629					0	0	0.0000	0.0000	
41647					2	37	0.0825	0.0900	
41759					0	0	0.0000	0.0000	
41825					0	0	0.0000	0.0000	
41937					0	0	0.0000	0.0000	
41955					0	0	0.0000	0.0000	
42037					2	28	0.0690	0.0875	
42055					0	0	0.0000	0.0000	
42354					0	0	0.0000	0.0000	
42420					2	77	0.0750	0.0900	
42448					1	20	0.0795	0.0795	
42457					0	0	0.0000	0.0000	
42541	2	576	0.0687	0.0712					
43052					0	0	0.0000	0.0000	
43155					0	0	0.0000	0.0000	
43173					0	0	0.0000	0.0000	
43324					4	44	0.0765	0.1050	
43351					0	0	0.0000	0.0000	
43454					0	0	0.0000	0.0000	
43511					0	0	0.0000	0.0000	
43641					0	0	0.0000	0.0000	
43669					0	0	0.0000	0.0000	
43744					0	0	0.0000	0.0000	
43856					0	0	0.0000	0.0000	
43959					1	25	0.0800	0.0800	
44040					1	40	0.0760	0.0760	
44134	0	0	0.0000	0.0000					
44433					0	0	0.0000	0.0000	
