"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5596	RCON5597	RCON6861	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	DEPOSITS IN LIFELINE ACCOUNTS	ESTIMATE OF UNINSURED DEPOSITS	EST AMT OF UNINSURD DEPS METHD INDCT	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	0	0	0	0		0	0	0		40270	13445	84	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
242	0	0	0	0		0	0	0		16283	2570	16	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
279	0	0	0	0		0	0	0		58167	13257	121	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		6264	648	2	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		108980	31589	164	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		14050	2976	14	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		131920	83018	331	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	1016		0	0	9		176722	82067	428	0	0	0	0		0		0	0			false	0	0	0	0	0	0						
1155	0	0	0	0		0	0	0		78018	27164	97	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
1351	0	22	0	0		0	0	0		36846	30052	153	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
1454	0	0	0	0		0	0	0		160279	87523	270	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
1557	0	0	0	0		0	0	0		23183	4583	29	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
1632	2	0	0	0		0	0	0		94215	75279	149	3	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
1669	0	0	0	0		0	0	0		144692	73767	192	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
1829	0	0	0	0		0	0	0		169540	43587	227	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
1856	1	0	0	0		0	0	0		6924	1700	5	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
1959	0	0	0	0		0	0	0		10774	2618	10	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
2040	21	0	0	0		0	0	0		63338	28438	114	32	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
2161	0	0	0	0		0	0	0		57565	27327	151	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
2376	0	0	0	166		0	0	0		498571	57375	449	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
2451	0	0	0	166		0	0	0		8135	1072	7	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
2554	0	0	0	0		0	0	0		4659	400	3	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
2732	0	0	0	0		0	0	0		187694	149408	393	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
2750	0	0	0	0		0	0	0		30185	11325	74	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
2938	0	0	0	0		0	0	0		94642	96318	298	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
2956	0	0	0	0		0	0	0		72502	30715	125	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
3252	0	0	0	0		0	0	0		43901	30010	116	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
3458	0	0	0	0		0	0	0		11675	5281	29	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
3506	0	0	0	899		0	0	7297		467092	234530	880	0	0	0	0		0		0	0			false	0	0	0	0	0	0						
3579	0	0	0	0		0	0	0		92215	53318	263	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	68166	68166	0	0		
3720	0	0	0	0		0	0	0		72097	22831	120	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
3953	0	180	32	0		0	0	0		35394	10973	64	0	0	0	0		0		0	0	0	12489	true	0	0	0	0	0	0	0	0	0	0		
4138	15	0	0	0		0	0	0		89555	47682	253	9	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
4147	0	0	0	0		0	0	0		67448	4946	30	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
4156	0	0	0	0		0	0	0		34541	14816	58	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
4231	0	0	0	0		0	0	0		49842	21002	85	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
4437	0	0	0	0		0	0	0		75610	25797	177	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
4745	0	0	0	0		0	0	0		5515	2288	12	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
4839	0	0	0	0		0	0	0		99077	55200	237	0	0	0	0		0		2	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5005	0	0	0	53		0	0	294		144637	51685	289	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5050	0	0	0	0		0	0	0		45047	28231	81	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5069	0	37	0	1664		0	0	0		105022	116918	815	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5135	0	0	0	0		0	0	0		46103	25915	160	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5210	0	0	0	0		0	0	0		404457	53392	292	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5247	0	0	0	0		0	0	0		541960	166868	777	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5274	0	0	0	10		0	0	116		63450	14051	64	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5331	0	0	0	1477		0	0	60		133934	52278	291	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5452	0			0		0	0	0		41341	26577	51	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
5461	0	0	0	0		0	0	0		76105	96750	332	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5751	0	1	0	0		0	0	0		34843	39375	144	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
5939	0	0	0	0		0	0	0		1838468	375523	2549	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
6039	0	0	0	0		0	0	0		59465	12221	78	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
6057	0	0	0	0		0	0	0		8301	3949	23	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
6141	0	0	0	0		0	0	0		20015	6906	26	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
6329	0	0	0	0		0	0	0		112750	71750	316	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
6842	0	0	0	0		0	0	0		17390	3687	29	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
6972	0	0	0	0		0	0	0		360869	188393	692	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
7009	0	0	0	0		0	0	2059		50598	405307	561	0	0	0	0		7		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
7045	0	0	0	0		0	0	0		50342	25282	92	0	0	0	0		0		0	0	0	0	false	0	0	0	0	0	0	0	0	0	0		
7157	0	0	0	0		0	0	0		21933	3496	22	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
