"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1350	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2800	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	FED. FUNDS SOLD & SECURITIES RS.	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	
37										3766		213	0			0	0			0	0	
242										930		127	0			0	0			1000	77	
279										1780		8	0			0	0			6000	1100	
354										219		5	0			0	0			0	0	
439										11611		0	0			0	0			0	0	
457										900		0	0			0	0			0	0	
505										10000		1642	0			0	0			4000	0	
1146										3000		1301	0			0	0			2705	607	
1155										3000		463	0			10270	0			0	0	
1351										5491		0	0			0	0			0	0	
1454										25800		1014	0			0	0			0	5	
1557										4168		23	0			0	0			19	0	
1632										0		459	0			9364	0			0	0	
1669										10313		682	0			0	0			960	0	
1829										0		939	0			0	0			0	728	
1856										1098		0	0			0	0			0	0	
1959										900		0	0			0	0			0	0	
2040										0		882	0			2683	0			14638	73	
2161										8265		198	0			0	0			0	0	
2376										24675		4056	0			12882	0			0	40000	
2451										130		66	0			0	0			1050	0	
2554										150		0	0			0	0			0	0	
2732										3100		181	0			0	0			84	0	
2750										3005		187	0			15	0			2500	0	
2938										0		750	0			21782	0			15000	32	
2956										10535		0	0			0	0			0	0	
3252										4575		145	0			0	0			101	0	
3458										1756		47	0			2300	0			0	0	
3506										26850		3977	0			14000	0			13000	0	
3579										50		1394	0			3179	0			17617	0	
3720										1034		625	0			1628	0			11345	0	
3953										1215		7	0			0	0			0	0	
4138										2447		711	0			0	0			4923	2497	
4147										3730		564	0			0	0			8000	0	
4156										0		491	0			0	0			9827	0	
4231										3381		0	0			0	0			0	0	
4437										4596		713	0			17956	0			3454	0	
4745										0		0	0			150	0			0	0	
4839										5800		709	0			356	0			13900	0	
