"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								1729										
242								618										
279								1507										
354								224										
439								8430										
457								666										
505								6257										
1146								11553										
1155								4355										
1351								1881										
1454								27977										
1557								880										
1632								6559										
1669								24470										
1829								7735										
1856								1394										
1959								1450										
2040								2961										
2161								10277										
2376								2325	0	0	0	0	1729	591	0	591	5	
2451								205										
2554								364										
2732								16303	3772	0	0	0	3623	6836	0	6836	2072	
2750								719										
2938								8961										
2956								3176										
3252								3646										
3458								3514										
3506								18682	11237	9	0	9	5461	52	11	41	1923	
3579								5482										
3720								3281										
3953								2836										
4138								5936										
4147								1912										
4156								2348										
4231								337										
4437								2036										
4745								335										
4839								5664										
5005								4066										
5050								7220										
5069								1916										
5135								3298										
5210								20616	8787	0	0	0	6130	2905	0	2905	2794	
5247								43393	36	0	0	0	6193	30948	0	30948	6216	
5274								6556										
5331								5500										
5452								2256										
5461								10934										
5751								1283										
5939								58995	31989	29	0	29	13596	6680	0	6680	6701	
6039								6863										
6057								278										
6141								2374										
6329								8447										
6842								1059										
6972								30455	4132	0	0	0	5678	15014	0	15014	5631	
7009								7530	1961	5000	5000	0	10	534	0	534	25	
7045								2870										
7157								1144										
7166								18723	10074	0	0	0	2569	3215	0	3215	2865	
7456								2046										
7634								2338										
8033								1340										
8154								967										
