"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1350	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2800	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1350	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2800	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	
293437																																							128	1688	0	450	0	90876	0	1356	14	0	3811	130519	91152	0	0	1899	110061	0	187	0	17010	0	20458	3	130519	0	0	18886	0	597	0	6366	84786	4	0	32383	32196	972	
293558																																							11	4480	0	19575	0	38180	0	2147	0	0	1835	144357	121615	4258	0	978	131851	0	1000	0	5000	0	12506	1500	144357	0	0	8909	0	1615	250	17321	104294	4	0	78879	77879	482	
293651																																							0	2899	0	3200	0	8820	0	349	0	0	1818	48677	32531	0	0	501	43032	0	385	0	10000	0	5645	100	48677	0	0	4506	0	1000	0	3708	28823	5	0	31976	31591	39	
293736																																							5115	11180	336	0	0	74192	0	11333	90	0	5113	403253	322036	9062	0	4079	365325	0	4288	4873	30148	0	37928	1359	403253	0	0	13725	0	22194	0	30697	291339	2	0	295309	291021	650	
293754																																							0	2736	0	0	0	5910	0	881	0	0	880	72133	56337	5774	0	333	67669	0	334	0	5225	0	4464	650	72133	0	0	2964	0	850	1268	8125	48212	9	0	60792	60458	0	
294023																																							0	4501	0	3063	0	20554	0	1897	0	0	2134	98657	88922	1293	0	586	90801	0	626	0	0	0	7856	1800	98657	0	0	4000	0	1800	0	8828	80094	2	0	67134	66508	256	
294153																																							0	522	0	950	515	9840	0	200	0	0	1446	27376	23500	0	0	397	23897	0	377	125	0	0	3479	125	27376	0	0	1435	0	1875	0	2185	21315	4	0	14155	13778	44	
294256																																							10031	10286	0	0	0	24225	0	3106	450	0	5482	267173	207745	7093	0	1848	241162	0	2496	6566	24476	0	26011	2456	267173	0	0	6629	0	16714	1310	25270	182475	4	0	208213	205717	212	
294331																																							6273	7492	0	6618	24892	2431	0	3973	230	0	2442	176293	159274	0	0	1852	161126	0	1040	1668	0	0	15167	400	176293	0	0	13162	0	1600	0	30564	128710	4	0	121314	120274	5	
294359																																							22	631	0	324	0	2100	0	240	0	0	298	17118	15203	0	0	87	15790	0	247	0	500	0	1328	100	17118	0	0	1066	0	150	0	2947	12256	4	0	13750	13503	12	
294564																																							4	6015	6012	4790	0	12553	0	6686	681	0	3638	111905	103301	0	0	1594	104895	0	553	586	0	0	7010	150	111905	0	0	1991	0	4850	6166	29984	73317	4	0	65327	64774	19	
