"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37															0	213	245	1270	0	27	0	0	0	0	0	785	0	0				
242															0	127	0	374	0	6	0	0	0	0	0	241	0	0				
279															0	8	0	891	27	754	673	0	0	0	0	129	22	0	INCOME EARNED NOT COLLECTED INVESTMENT                                                                                                                                                           			
354															0	5	1	134	0	6	0	0	0	0	0	122	0	0				
439															0	0	349	2286	322	641	0	0	0	0	0	1296	0	0				
457															0	0	83	747	0	464	0	0	0	0	0	200	363	0				
505															0	1642	91	5542	1214	2317	754	0	0	0	0	1492	0	0	SPLIT DOLLAR RECEIVABLE                                                                                                                                                                          			
1146															0	1301	0	10732	0	8328	5405	0	0	0	0	1103	0	0	Title Co. Subsidary title Plant Invt                                                                                                                                                             			
1155															0	463	86	1979	71	215	0	0	0	0	0	1215	0	0				
1351															0	0	176	1360	0	320	297	0	0	0	0	864	0	0	ACCRUED INTEREST ON SECURITIES                                                                                                                                                                   			
1454															0	1014	0	3824	535	771	0	0	0	0	0	2039	0	0				
1557															0	23	0	793	43	71	0	0	0	0	0	699	0	0				
1632															17	459	751	4828	199	1239	0	0	0	0	0	2379	878	0				
1669															0	682	0	3371	260	278	0	0	0	0	0	2411	0	0				
1829															0	939	0	3201	592	1776	1167	0	0	0	0	486	0	0	AIR Investments                                                                                                                                                                                  			
1856															0	0	0	249	0	49	0	0	0	0	0	200	0	0				
1959															0	0	0	346	0	17	0	0	0	0	0	329	0	0				
2040															0	882	141	2613	317	636	278	41	0	0	0	954	0	0	Petroleum cleanup receivables                                                                                                                                                                    	Computer software                                                                                                                                                                                		
2161															0	198	0	1087	145	467	288	0	0	0	0	422	0	0	Accr Government Agency                                                                                                                                                                           			
2376															0	4056	809	10372	242	1203	0	0	0	0	0	4304	0	0				
2451															0	66	1	373	0	88	0	0	0	0	0	218	44	0				
2554															0	0	0	152	16	26	8	0	0	0	0	126	0	0	software                                                                                                                                                                                         			
2732															0	181	0	3562	0	430	149	0	0	0	0	2951	174	0	leashold purchase                                                                                                                                                                                			
2750															0	187	65	2197	0	573	537	0	0	0	0	1372	0	0	Deferred Comp.                                                                                                                                                                                   			
2938															52	750	350	4242	85	137	0	0	0	0	0	3005	0	0				
2956															72	0	0	1489	0	72	0	0	0	0	0	1417	0	0				
3252															0	145	0	2726	0	289	0	0	0	0	0	2292	0	0				
3458															0	47	0	306	0	29	0	0	0	0	0	230	0	0				
3506															0	3977	1673	12430	0	2297	0	0	0	0	0	4483	669	0				
3579															0	1394	0	3743	167	1169	777	42	0	0	0	1180	73	0	Prepaid Pension Contribution                                                                                                                                                                     	Purchased Computer Software                                                                                                                                                                      		
3720															0	625	303	3974	0	2393	949	0	0	0	0	653	0	0	INS. ASSET ACCT.-ESI                                                                                                                                                                             			
3953															0	7	0	2037	132	452	0	0	0	0	0	1578	320	0				
4138															34	711	119	2112	101	138	0	0	0	0	0	1144	0	0				
4147															0	564	132	4812	0	3340	0	0	0	0	0	776	3023	0				
4156															0	491	0	1632	30	30	0	0	0	0	0	1111	0	0				
4231															0	0	339	1381	57	155	0	0	0	0	0	887	0	0				
4437															0	713	328	2098	177	300	0	0	0	0	0	757	102	0				
4745															0	0	0	122	2	3	1	0	0	0	0	119	0	0	"EE" BONDS PAID                                                                                                                                                                                  			
4839															0	709	0	2354	140	386	0	0	0	0	0	1259	0	0				
5005															0	1909	0	8690	0	5494	0	0	0	0	0	1287	4249	0				
5050															36	388	11	1163	97	147	0	0	0	0	0	617	0	0				
5069															0	0	0	3172	58	1224	176	940	0	0	0	1948	0	0	RECEIVABLES                                                                                                                                                                                      	DEFERRED COSTS                                                                                                                                                                                   		
5135															18	333	219	2182	35	100	0	0	0	0	0	1530	0	0				
5210															0	3456	564	16061	0	8447	0	0	0	0	0	3594	7330	0				
5247															0	0	0	5974	167	303	132	0	0	0	0	5671	0	0	Receivable from paying agent                                                                                                                                                                     			
5274															0	469	306	1557	79	264	123	0	0	0	0	518	0	0	Investment in Subsidary                                                                                                                                                                          			
5331															0	1417	0	4213	1087	1264	159	0	0	0	0	1532	0	0	ACCOUNTS RECEIVABLE                                                                                                                                                                              			
5452															0	125	211	2573	0	1749	0	0	0	0	0	488	1713	0				
5461															0	0	669	4722	294	2773	1635	0	0	0	0	1280	798	0	QZAB                                                                                                                                                                                             			
5751															0	0	0	3033	0	1561	0	0	0	0	0	1472	1540	0				
5939															0	13816	12313	45449	2381	7101	0	0	0	0	0	12219	0	0				
6039															0	299	258	2083	0	624	423	0	0	0	0	902	0	0	SPLIT DOLLAR LIFE INSURANCE                                                                                                                                                                      			
6057															0	64	0	388	29	29	0	0	0	0	0	295	0	0				
6141															0	0	98	537	78	78	0	0	0	0	0	361	0	0				
6329															52	725	0	3574	137	1303	402	293	0	0	0	1546	119	0	FEDERAL TAX YEARLY ACCRUAL                                                                                                                                                                       	IENC AGENCIES                                                                                                                                                                                    		
6842															0	63	0	694	27	246	217	0	0	0	0	385	0	0	Unearned ESOP Shares                                                                                                                                                                             			
6972															0	0	0	16356	0	11550	0	0	0	0	0	4806	10255	0				
7009															0	0	197	11269	0	7908	7755	0	0	0	0	3164	0	0	Other Receivables                                                                                                                                                                                			
7045															0	0	33	1111	178	289	0	0	0	0	0	789	0	0				
7157															0	0	0	328	0	32	0	0	0	0	0	296	0	0				
7166															0	725	1431	6825	0	2513	0	0	0	0	0	2156	1983	0				
7456															0	86	0	816	0	53	53	0	0	0	0	677	0	0	RESERVE FOR TAXES                                                                                                                                                                                			
7634															0	87	37	750	39	87	25	0	0	0	0	539	0	0	Loan Late Fees Receivable                                                                                                                                                                        			
8033															40	415	40	1335	41	165	3	3	0	0	0	715	78	0	Due from holding company                                                                                                                                                                         	Accrued late charges loans                                                                                                                                                                       		
8154															0	132	147	881	20	85	61	0	0	0	0	517	0	0	Investments in Consolidated Subsidiaries                                                                                                                                                         			
8417															0	1379	0	317034	0	315334	104480	159874	0	0	0	321	0	0	A/R - Trust Fees                                                                                                                                                                                 	A/R - Other                                                                                                                                                                                      		
8462															0	21	0	731	0	29	29	0	0	0	0	681	0	0	INTEREST PURCHASED                                                                                                                                                                               			
8547															0	932	0	2035	123	351	42	0	0	0	0	752	186	0	ACCOUNTS RECEIVABLE FROM THE HOLDING COMPANY                                                                                                                                                     			
8631															0	168	1	594	0	279	181	0	0	0	0	146	0	0	Accrued Interest Government Agencies                                                                                                                                                             			
8855															0	0	0	968	163	535	224	0	0	0	0	433	0	0	Accounts Receivable                                                                                                                                                                              			
9115															0	901	2084	10725	302	1513	361	0	0	0	0	6227	0	0	Alliance Mazzanine Investors                                                                                                                                                                     			
9160															0	532	268	1814	92	209	62	0	0	0	0	805	0	0	Branch clearings                                                                                                                                                                                 			
9339															0	3331	954	9992	0	3338	0	0	0	0	0	2369	1601	0				
9357															0	2475	200	4973	0	496	419	0	0	0	0	1802	0	0	CASH SYSTEMS ATMS                                                                                                                                                                                			
9553															0	302	0	1752	77	655	106	0	0	0	0	795	472	0	Tax Receivable-Overpayment Fed Tax                                                                                                                                                               			
9807															0	8158	0	16926	0	169	142	0	0	0	0	8599	0	0	Security principal receivable                                                                                                                                                                    			
9955															0	401	0	1496	45	52	0	0	0	0	0	1043	0	0				
10157															0	533	0	2112	64	64	0	0	0	0	0	1515	0	0				
10250															0	483	34	2228	139	682	325	0	0	0	0	1029	178	0	Accr Interest on Securities                                                                                                                                                                      			
10577															0	337	0	820	51	63	0	0	0	0	0	420	0	0				
10849															0	1172	0	3004	0	521	339	0	0	0	0	1311	0	0	Corporate Owned Life Insurance                                                                                                                                                                   			
10858															0	1462	1605	7049	0	484	153	0	0	0	0	3498	0	0	PPD Other                                                                                                                                                                                        			
11145															8	370	120	1197	82	149	0	0	0	0	0	558	45	0				
11350															10	26	0	845	49	90	20	10	0	0	0	729	0	0	DATA PROCESSING RECEIVABLE                                                                                                                                                                       	GOLD COINS                                                                                                                                                                                       		
11640															0	1022	191	7069	0	3673	0	0	0	0	0	2183	3397	0				
11837															0	703	0	1882	0	826	425	0	0	0	0	353	0	0	INCOME TAX RECEIVABLE STATE			
12030															0	1	1049	3648	0	365	0	0	0	0	0	2233	330	0				
12058															0	278	0	1477	77	162	84	0	0	0	0	1037	0	0	OTHER ASSETS                                                                                                                                                                                     			
12142															0	436	0	2672	184	312	128	0	0	0	0	1924	0	0	Deferred loan origination costs                                                                                                                                                                  			
12245															21	387	0	1199	432	527	0	0	0	0	0	285	74	0				
12311	0	16738	0	1361766	0	1204755	814502	0	0	0	0	140273	0	0		16738													Bank owned life insurance                                                                                                                                                                        			
12357															0	4	0	386	18	18	0	0	0	0	0	368	0	0				
12405															0	4551	0	15272	0	4486	2032	0	0	0	0	6235	0	0	SERP Cash Value                                                                                                                                                                                  			
12647															0	136	0	574	68	69	0	0	0	0	0	369	0	0				
12656															4	23	0	175	17	27	6	0	0	0	0	125	0	0	PREPAID INCOME TAXES                                                                                                                                                                             			
12937															0	568	80	1670	176	372	0	111	0	0	0	650	0	0		ACCOUNTS RECEIVABLE                                                                                                                                                                              		
12946															0	1249	0	12171	0	7646	6250	0	0	0	0	3276	0	0	BOLI-Policy Cash Value                                                                                                                                                                           			
12955															0	324	0	925	40	70	0	0	0	0	0	531	0	0				
13037															0	51	215	2025	0	790	348	313	0	0	0	969	0	0	TRUST INVESTMENTS ASSET                                                                                                                                                                          	EMPLOYEE REC. CARVED OUT LIFE                                                                                                                                                                    		
13103															0	2367	0	7979	805	1988	0	0	0	0	0	3624	0	0				
13251															0	102	23	975	0	536	0	0	0	0	0	314	536	0				
13309															0	20824	21020	70199	0	13174	0	0	0	0	0	15181	0	0				
13457															0	3	57	1520	0	1023	1000	0	0	0	0	443	0	0	LIFE INSURNACE                                                                                                                                                                                   			
14052															0	127	83	563	62	62	0	0	0	0	0	291	0	0				
14155															0	189	0	1830	0	863	0	0	0	0	0	778	837	0				
14258															0	3091	0	6969	0	928	501	0	0	0	0	2950	0	0	Fine Arts                                                                                                                                                                                        			
14409	0	80821	0	568274	0	409503	0	0	0	0	0	77950	211985	0		80821																
14454															0	209	189	740	0	15	0	0	0	0	0	327	0	0				
14650															0	53	25	1080	40	646	0	0	0	0	0	356	465	0				
14753															0	9	0	486	0	12	0	0	0	0	0	465	0	0				
14865															0	195	0	2159	208	1323	23	70	160	0	0	641	843	0	unposted DDA                                                                                                                                                                                     	Software net Cost                                                                                                                                                                                	Accrued int on Securitiesd                                                                                                                                                                       	
14931															0	93	73	340	53	115	56	0	0	0	0	59	0	0	Software                                                                                                                                                                                         			
14940															0	0	51	1274	140	146	0	0	0	0	0	1077	0	0				
15536															50	4032	0	13168	140	1458	940	0	0	0	0	7678	0	0	Chicago Equity fund                                                                                                                                                                              			
15732															0	548	239	2544	249	457	0	0	0	0	0	1300	176	0				
16337															0	903	0	2732	211	460	214	0	0	0	0	1369	0	0	late fees receivable                                                                                                                                                                             			
16355															0	186	45	576	35	46	0	0	0	0	0	299	0	0				
16458															0	633	0	2296	0	166	85	0	0	0	0	1497	0	0	Accrued Income Taxes Not Paid                                                                                                                                                                    			
16551															0	472	75	1241	4	254	16	0	0	0	0	440	234	0				
16748															0	283	2	730	64	73	0	0	0	0	0	372	0	0				
16766															0	227	2708	9348	0	4323	0	0	0	0	0	2090	3922	0				
16944															0	0	27	468	45	45	0	0	0	0	0	396	0	0				
16953															0	0	0	431	15	37	22	0	0	0	0	394	0	0				
17110															0	219	0	3894	0	3452	3055	0	0	0	0	223	0	0	ADVISORY/TRUSTEE FEES RECEIVABLE                                                                                                                                                                 			
17147															74	3608	995	12026	618	2072	0	0	0	0	0	5351	0	0				
17259															0	233	0	1568	78	925	0	0	4	0	0	410	843	0				
17464															0	1817	0	13317	0	9298	0	0	0	0	0	2202	6718	0				
17549															527	466	0	5638	1734	4250	1962	0	0	0	0	922	0	0	Due from affiliated banks                                                                                                                                                                        			
17642															0	0	0	987	0	617	0	0	0	0	0	370	565	0				
17839															0	4	445	2682	0	149	36	0	0	0	0	2084	0	0	OTHER STATE  TAX                                                                                                                                                                                 			
17950															0	612	0	1220	30	101	66	0	0	0	0	507	0	0	KEY MAN INSURANCE                                                                                                                                                                                			
18050															0	864	417	2956	150	236	0	0	0	0	0	1439	0	0				
18126															0	11744	863	33650	834	14583	0	0	0	0	0	6460	13091	0				
18135															0	550	0	1469	178	209	40	0	0	0	0	710	0	0	EXCESS SERVICING FEE                                                                                                                                                                             			
18368															0	504	2752	7869	526	1653	481	0	0	0	0	2960	0	0	Visa in Process                                                                                                                                                                                  			
18377															0	90	16	168	0	17	0	0	0	0	0	45	0	0				
18827															0	489	159	1770	60	211	87	0	0	0	0	911	0	0	Prepaid Taxes                                                                                                                                                                                    			
18836															0	348	137	3913	0	2643	0	0	0	0	0	785	2263	0				
18854															0	48	0	683	68	153	48	0	0	0	0	482	0	0	Payable Warrants                                                                                                                                                                                 			
18863															0	1621	26	6001	0	2251	0	0	0	0	7	2096	1485	0				
18957															0	213	0	1555	0	868	0	0	0	0	0	474	784	0				
19356															0	0	0	1185	0	468	0	0	0	0	0	717	246	0				
19730															0	3300	4274	17167	0	3490	2000	0	0	0	0	6103	0	0	A/R - Proceeds on US T-Note which matured 3/31                                                                                                                                                   			
19936															0	933	329	3210	162	911	0	0	0	0	0	1037	749	0				
19972															0	0	35	1825	0	1623	0	0	0	0	0	167	1499	0				
20053															0	73	21	314	0	9	0	0	0	0	0	211	0	0				
20147															0	112	0	706	91	248	0	0	0	0	0	346	0	0				
20259															0	38	0	304	13	29	0	0	0	0	0	237	0	0				
20370															0	438	127	1349	42	297	130	0	0	0	0	487	0	0	Interest Accrued Investments                                                                                                                                                                     			
20512															453	784	0	2248	413	875	0	0	0	0	0	589	0	0				
