"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1257	RCFD1258	RCFD1259	RCFD1271	RCFD1272	RCFD1583	RCFD1594	RCFD1597	RCFD1658	RCFD1659	RCFD1661	RCFD1791	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD5612	RCFD5613	RCFD5614	RCFD5615	RCFD5616	RCFD5617	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDB578	RCFDB579	RCFDB580	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1271	RCON1272	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON1658	RCON1659	RCON1661	RCON1791	RCON2759	RCON2769	RCON3492	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3502	RCON3503	RCON3504	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5401	RCON5402	RCON5403	RCON5459	RCON5460	RCON5461	RCON5612	RCON5613	RCON5614	RCON5615	RCON5616	RCON5617	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB578	RCONB579	RCONB580	RCONB834	RCONB835	RCONB836	
1436884																																																									0	0	0									0	0	0	0	0	0	0	0	0		115	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	57	0	20	0	0	0	25	0	0	14	0	0	0	0	0	0	0	0	123	0	0	0	0	0	
1437199																																																									0	0	0									0	0	0	88	0	439	0	0	85		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	10	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	35	0	0	0	0	
1438217																																																									0	0	0									0	0	0	227	0	0	0	0	0		1094	0	1424	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	115	0	0	0	
1438589																																																									0	0	0									0	0	0	351	0	349	0	0	174		0	0	0	0	0	0	0	0	0	639	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	136	0	0	0	0	0	0	0	0	32	5	32	0	0	0	
1439054																																																									0	0	0									0	0	0	421	0	509	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1439308																																																									0	0	0									0	0	0	6	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	340	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	25	0	0	0	
1439456																																																									0	0	0									0	0	0	553	0	0	0	0	0		400	0	178	0	0	0	0	0	0	127	0	244	0	0	0						0	0	0	0	0	0	214	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	35	0	0	0	0	
1440117																																																									0	0	0									0	0	0	0	0	200	0	0	0		0	0	0	0	0	0	0	0	0	0	0	76	0	0	0						0	0	0	0	0	0	127	0	146	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	375	0	13	0	0	0	
1441600																																																									0	0	0												226	25	18	0	0	0		0	0	0	0	0	0	0	0	0	318	0	0	0	0	0						0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	13	0	0	0	0	0	
1442380																																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211158	131828	0	0	0	0	0	0	0	
1442540																																																									9	8	0	0	0	0	0	0	0	0	0	0	0	0	76	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0	394	38	1404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	1	0	0	0	0	
1442661																																																									0	0	0									0	0	0	640	50	0	0	0	0		183	0	0	0	0	0	0	0	0	0	80	0	0	0	0						0	0	0	0	10	0	220	0	0	0	0	0	22	0	0	18	0	0	0	0	0	9	4	0	17	33	0	0	0	0	
1443266																																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1443912																																																									0	0	0									0	0	0	21	0	30	0	0	0		0	0	0	0	0	0	0	0	0	230	0	12	0	0	0						0	0	0	41	0	0	105	16	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	1	63	0	0	0	
1444003																																																									0	0	0									0	0	0	287	0	20	0	0	75		2138	0	928	0	0	0	0	0	0	867	0	0	0	0	0						0	0	0	50	0	179	37	0	384	0	0	0	0	0	20	0	0	20	0	0	0	0	0	0	298	68	77	0	0	0	
1444021																																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23686	17869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1444580																																																									0	0	0									0	0	0	0	0	151	0	0	0		0	0	546	0	0	0	0	0	0	135	2663	1008	0	0	0						0	0	0	0	0	0	214	382	0	0	0	0	214	3045	0	214	3045	0	0	0	0	0	0	0	0	0	0	0	0	0	
1445037																																																									0	0	0									0	0	0	120	0	442	0	0	0		7	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	358	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	93	0	0	0	0	0	
1445121																																																									0	0	0									0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1445943																																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	3	54	0	0	0	0	473	0	0	29	0	10	182	0	0	374	0	111	0	0	0	0	0	0	0	0	0	0	0	21	0	0	718	0	11	0	0	0	15	0	54	14	0	54	0	0	0	8	12	0	150	12	20	0	0	0	
1447639																																																									3	14	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	42	8	0	0	0	
1447853																																																									0	0	0									0	0	0	101	0	150	0	0	0		90	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	79	0	0	217	0	0	194	18	13	0	0	0	0	0	0	0	0	0	0	0	0	97	3	0	0	0	0	
1448636																																																									0	0	0									0	506	124	758	132	322	0	0	0		0	0	0	0	0	0	0	0	0	0	0	175	0	0	0						0	0	0	22	0	0	527	112	23	506	124	0	0	0	0	0	0	0	0	0	0	9	0	0	308	11	2	0	0	0	
1450620																																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	76	500	0	0	0	0	858	1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	
1451636																																																									0	0	0												0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1455063																																																									0	0	0									0	0	0	0	103	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	
1456501																																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	965	1040	1442	0	0	0	0	0	0	
1457003																																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	161	258	0	0	0	0	179	0	996	0	0	0	0	0	0	1446	351	2023	0	0	0	0	0	0	0	0	0	0	0	0	0	549	53	14	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	16	90	0	0	0	
1458608																																																									0	0	0									0	0	0	162	0	3428	0	0	0		0	0	10	0	0	271	795	0	0	430	0	2804	0	0	0						0	0	0	178	0	1370	42	0	47	0	0	1123	0	0	0	0	0	0	0	0	0	44	0	0	462	0	216	0	0	0	
1458989																																																									0	0	0									0	0	0	545	510	1943	0	369	1943		0	134	0	0	0	21	0	0	0	405	0	179	0	0	0						0	0	0	1076	216	284	0	149	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	61	69	0	0	0	
1459034																																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	328	185	0	0	0	0	34	0	0	0	0	0	0	0	346	966	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4490	1382	223	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	200	230	122	0	0	0	
1459191																																																									0	0	0									0	0	0	0	0	16	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	
1459575																																																									0	0	0									0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1459717																																																									0	0	0									0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	639	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	38	0	0	0	
1459735																																																									0	0	0									0	0	0	116	1	179	0	0	0		128	0	0	0	0	0	0	0	0	0	0	269	0	0	0						0	0	0	5	0	0	91	0	764	0	0	0	0	0	0	0	0	0	0	0	0	29	4	0	124	0	0	0	0	0	
1459799																																																									0	0	0									0	0	0	143	8	52	0	0	0		154	0	0	0	0	0	0	0	0	25	0	0	0	0	0						0	0	0	0	0	0	524	37	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	57	73	0	0	0	
1460290																																																									0	0	0									0	0	0	8	0	0	0	0	0		0	0	0	0	0	0	155	0	0	21	0	1245	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	2	0	0	0	0	0	
1460302																																																									0	0	0									0	0	0	0	0	4	0	0	0		0	0	199	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	122	9	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	28	1	0	0	0	
1462986																																																									0	0	0									0	0	0	10	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	155	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
