"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4658	RIAD4659	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD4668	RIAD4669	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIAD5413	RIAD5414	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	CHRG-OFF LEASE FNC RCVBL US ADDR	CHRG-OFF LEASE FNC RCVBL NON US ADDR	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	RECOV ON LEASE FIN RECEIVABLE-US ADD	RCVRY LEASE FNC RCVBL NON US ADD	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHG-OFFS OF ALL OTHR LNS SECD BY 1-4	RECOVERS OF ALL OTHR LNS SECD BY 1-4	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	
37	0	0	0	0	0	0	0	0	0	0	0	0	20	0			0	0	28	0	0	0						0						0			0	0	0	0	10	1			0	0	18	19	
242	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	2	
279	0	0	0	0	0	0	0	0	0	0	0	0	8	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	8	
354	0	0	0	0	0	0	0	1	0	0	0	0	3	1			0	0	2	0	0	0						0						0			0	0	0	0	2	0			0	0	0	1	
439	0	0	0	0	0	0	0	0	0	0	0	0	19	0			0	0	64	20	0	0						0						0			0	0	0	0	19	0			0	0	25	19	
457	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
505	0	0	0	0	0	0	0	0	0	0	0	0	103	92			0	0	293	194	0	0						0						0			0	0	0	0	2	0			5	0	92	11	
1146	119	5	0	0	0	0	0	0	0	0	0	0	30	6			0	1	224	0	0	0															0	0	23	15	0	0			80	1	2	2	
1155	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	64	60	0	4						0						0			0	0	0	0	0	0			0	0	0	0	
1351	0	0	0	0	0	0	0	0	0	0	0	0	3	2			0	0	24	0	0	0						0						0			0	0	0	0	0	0			0	0	24	1	
1454	0	0	0	0	0	0	0	0	0	0	0	0	4	1			0	1	17	0	0	2						0						0			0	0	0	0	0	0			10	1	5	1	
1557	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	1	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
1632	0	0	0	0	0	0	0	0	0	0	0	0	13	2			0	5	117	90	0	7						0						0			0	0	0	1	0	0			0	0	20	5	
1669	0	0	0	0	0	0	0	0	0	0	0	0	24	2			0	0	78	15	0	16						0						0			0	0	0	0	0	0			0	0	47	22	
1829	0	0	0	0	0	0	0	0	63	0	0	0	5	0			0	0	159	0	0	0						0						0			0	0	0	0	0	0			1	0	95	5	
1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
1959	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	1	0	0	0						0						0			0	0	0	0	0	0			0	0	1	1	
2040	0	0	0	0	0	0	0	0	0	0	0	0	5	2			0	0	32	0	0	0						0						0			0	0	0	0	19	0			0	0	13	3	
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	16	0	0	0						0						0			0	0	0	0	0	0			3	0	13	0	
2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			0	0	0	0	
2451	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	2	0	0	0	0						0						2			0	0	0	0	0	0			0	0	0	0	
2554	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	9	9	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
2732	0	0	0	0	0	0	0	0	0	0	0	0	7	2		0	0	0	59	43	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			0	0	16	5	
2750	0	0	0	3	0	0	0	0	0	0	0	0	29	0			0	0	202	0	0	0						0						0			0	3	0	0	0	0			0	0	202	26	
2938	0	0	0	0	0	0	0	0	0	0	0	0	5	2			0	0	289	245	0	0						0						0			0	0	0	0	0	0			0	0	44	3	
2956	0	0	0	0	0	0	0	0	0	0	0	0	4	0			0	0	18	0	0	0						0						0			0	0	0	0	8	0			0	0	10	4	
3252	0	0	0	0	0	0	0	1	0	0	0	0	81	39			0	0	93	3	0	0						0						0			0	0	0	0	0	0			0	0	90	41	
3458	0	0	0	0	0	0	0	1	0	0	0	0	3	0			0	0	1	0	0	0						0						0			0	0	0	0	0	1			0	0	1	1	
3506	0	0	0	0	0	0	0	0	160	5	0	0	202	189		0	0	0	162	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	2			0	5	2	1	
3579	0	0	0	0	0	0	0	0	0	0	0	0	19	0			0	0	26	0	0	0						0						0			0	0	0	0	8	6			0	0	18	13	
3720	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	1	0	0	0						0						0			0	0	0	0	0	0			0	0	1	0	
3953	0	0	0	0	0	0	0	0	0	0	0	0	8	1			0	5	38	5	0	17						17						5			0	0	0	0	0	0			0	0	16	2	
4138	0	0	0	0	0	0	0	0	0	0	0	0	29	15			0	0	28	0	0	0						0						0			0	0	0	0	0	0			0	0	28	14	
4147	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	1	0	0	0						0						0			0	0	0	0	0	0			1	1	0	0	
4156	0	0	0	3	0	0	0	0	0	0	0	0	12	0			0	0	8	0	0	0						0						0			0	0	0	0	6	8			0	0	2	1	
4231	0	0	0	0	0	0	0	0	0	0	0	0	5	0			0	0	5	0	0	0						0						0			0	0	0	0	0	1			0	0	5	4	
4437	0	0	0	0	0	0	0	0	0	0	0	0	5	0			0	0	3	0	0	0						0						0			0	0	0	0	0	0			0	0	3	5	
4745	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
4839	0	0	0	0	0	0	0	0	0	0	0	0	16	0			0	0	89	30	0	0						0						0			0	0	0	0	0	0			0	0	59	16	
5005	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
5050	0	0	0	0	0	0	0	0	0	0	0	0	25	0			0	0	59	0	0	0						0						0			0	0	0	0	0	0			5	0	54	25	
5069	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
5135	0	0	0	0	0	0	0	0	0	0	0	0	54	0			0	51	11	0	0	0						0						51			0	0	0	0	0	0			4	0	7	3	
5210	0	0	0	0	0	0	0	0	0	0	0	0	19	0		0	0	0	62	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	12	2			0	0	50	17	
5247	0	0	0	0	0	0	0	0	0	0	0	0	11	0		0	0	1	12	0	0	8		0	0		0	0		0	0		0	0		0	0	0	0	0	0	5			0	1	4	4	
5274	0	0	0	0	0	0	0	0	0	0	0	0	14	0			0	0	21	4	0	0						0						0			0	0	0	0	0	0			0	0	17	14	
5331	0	0	0	0	0	0	0	0	0	0	0	0	1	1			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
5452	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	0	4	0	0	0															0	0	0	0	0	0			1	1	3	1	
5461	0	0	0	0	0	0	0	0	0	0	0	0	2	1			0	0	4	0	0	0						0						0			0	0	0	0	0	0			0	0	4	1	
5751	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	1	
5939	2034	190	0	0	0	0	0	0	0	1	0	0	240	19		0	0	17	2319	0	0	149		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			34	8	102	5	
6039	0	0	0	0	0	0	0	0	0	0	0	0	20	4			0	0	117	52	0	0						0						0			0	0	0	0	0	0			4	0	61	16	
6057	0	0	0	0	0	0	0	0	0	0	0	0	3	0			0	0	22	0	0	0						0						0			0	0	0	0	0	0			0	0	22	3	
6141	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	69	45	0	0						0						0			0	0	0	0	9	0			0	0	15	0	
6329	0	0	0	0	0	0	10	1	0	0	0	0	51	3			0	2	109	25	0	56						0						2			0	0	11	0	0	8			1	1	6	36	
6842	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	6	0	0	0						0						0			0	0	0	0	0	0			0	0	6	0	
6972	0	0	0	0	0	0	0	0	0	0	0	0	3	0		0	0	0	17	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			15	2	2	1	
7009	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0	0	0			0	0	0	0	
7045	0	0	0	0	0	0	0	0	0	0	0	0	9	0			0	0	31	0	0	0						0						0			0	0	0	0	15	0			2	0	14	9	
