"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4635	RIAD4815	RIADB522	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	LOSSES CHARGED TO RESERVE	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	
21256	65	0	0	1	0	66	
21359	121	0	0	0	-1	122	
21630	277	10	1	4	0	270	
21658	612	6	1	0	0	605	
22048	934	79	7	44	0	892	
22235	2024	130	80	34	0	1848	
22356	1309	90	62	40	0	1197	
22459	825	22	8	12	0	807	
22543	322	3	0	1	0	320	
22552	572	50	4	36	0	554	
22730	758	52	15	93	0	784	
22860	21043	18746	724	5946	-15992	23511	
22936	909	75	41	0	0	793	
22954	559	24	20	16	0	531	
23036	2193	210	7	169	0	2145	
23045	222	0	1	0	0	221	
23241	25805	1695	428	2401	4018	22065	
23344	882	31	0	6	0	857	
23456	396	3	1	0	0	392	
23504	2212	85	39	12	0	2100	
23540	392	3	1	9	0	397	
23643	682	75	9	30	0	628	
23755	371	24	0	24	0	371	
23812	6612	235	37	269	0	6609	
24006	1349	60	2	0	0	1287	
24266	13550	300	223	253	0	13280	
24453	280	0	0	6	0	286	
24659	219	-3	0	0	0	222	
24668	583	23	16	1	0	545	
24855	29	0	2	0	0	27	
24949	2463	215	11	105	0	2342	
25357	191	6	0	0	0	185	
25450	37437	6980	2051	7136	0	35542	
25647	428	11	0	0	0	417	
25852	1829	53	0	6	0	1782	
26149	576	320	6	168	0	418	
26233	2297	280	63	173	0	2127	
26242	1108	75	36	87	0	1084	
26457	196	0	8	5	0	193	
26756	304	20	5	5	0	284	
26765	105	0	1	5	0	109	
26859	2685	150	13	561	0	3083	
26916	1659	165	51	163	0	1606	
27548	3912	104	6	92	1900	1994	
27614	1627	37	2	0	0	1588	
27838	1351	1	0	1	0	1351	
27847	916	75	3	33	0	871	
28013	2205	0	0	0	0	2205	
28152	237	15	0	0	0	222	
28255	656	34	11	22	0	633	
28349	284	6	1	0	0	277	
28406	1431	119	1	4	0	1315	
28572	304	157	0	0	0	147	
28732	291	6	3	0	0	282	
29104	1707	75	1	24	0	1655	
29159	254	0	34	0	0	220	
29252	786	40	4	0	0	742	
29636	3325	120	65	185	0	3325	
29850	236	9	1	6	0	232	
29944	149	3	1	15	0	160	
29953	741	50	17	29	0	703	
30025	4053	45	12	7	0	4003	
30052	252	50	36	147	0	313	
30146	280	26	1	0	0	253	
30155	1225	60	10	0	0	1155	
30258	1324	66	0	17	0	1275	
30418	0	0	0	0	0	0	
30436	2741	79	14	11	0	2659	
30502	3032	150	27	70	0	2925	
30650	730	50	4	19	0	695	
30810	761556	207446	26536	233964	0	761538	
30856	852	-15	15	15	0	867	
31134	471	168	12	87	0	378	
31152	602	53	1	0	0	548	
31255	1127	75	54	30	0	1028	
31303	8694	300	357	480	0	8517	
31657	275	0	38	10	0	247	
31826	1182	45	91	129	0	1175	
31835	2741	0	22	62	0	2781	
32159	732	350	11	273	0	644	
32234	270	0	0	0	0	270	
32766	157	10	6	12	0	153	
33147	1630	64	0	58	0	1624	
33259	1866	69	0	32	0	1829	
33268	342	30	11	37	0	338	
33549	243	0	0	0	0	243	
33727	2183	30	446	281	0	1988	
