"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	TEXT4087	
	MICR9999REPORT DATE	LEGAL NAME	CERTIFICATE NUMBER	CITY NAME	STATE ABBREVIATION	ZIP CODE	PRIMARY INTERNET WEB ADDRESS	
37	20010331							
242	20010331							
279	20010331							
354	20010331							
439	20010331							
457	20010331							
505	20010331							
1146	20010331							
1155	20010331							
1351	20010331							
1454	20010331							
1557	20010331							
1632	20010331							
1669	20010331							
1829	20010331							
1856	20010331							
1959	20010331							
2040	20010331							
2161	20010331							
2376	20010331							
2451	20010331							
2554	20010331							
2732	20010331							
2750	20010331							
2938	20010331							
2956	20010331							
3252	20010331							
3458	20010331							
3506	20010331							
3579	20010331							
3720	20010331							
3953	20010331							
4138	20010331							
4147	20010331							
4156	20010331							
4231	20010331							
4437	20010331							
4745	20010331							
4839	20010331							
5005	20010331							
5050	20010331							
5069	20010331							
5135	20010331							
5210	20010331							
5247	20010331							
5274	20010331							
5331	20010331							
5452	20010331							
5461	20010331							
5751	20010331							
5939	20010331							
6039	20010331							
6057	20010331							
6141	20010331							
6329	20010331							
6842	20010331							
6972	20010331							
7009	20010331							
7045	20010331							
7157	20010331							
7166	20010331							
7456	20010331							
7634	20010331							
8033	20010331							
8154	20010331							
8417	20010331							
8462	20010331							
8547	20010331							
8631	20010331							
8855	20010331							
9115	20010331							
9160	20010331							
9339	20010331							
9357	20010331							
9553	20010331							
9807	20010331							
9955	20010331							
10157	20010331							
10250	20010331							
10577	20010331							
10849	20010331							
10858	20010331							
11145	20010331							
11350	20010331							
11640	20010331							
11837	20010331							
12030	20010331							
12058	20010331							
12142	20010331							
12245	20010331							
12311	20010331							
12357	20010331							
12405	20010331							
12647	20010331							
12656	20010331							
12937	20010331							
12946	20010331							
12955	20010331							
13037	20010331							
13103	20010331							
13251	20010331							
13309	20010331							
13457	20010331							
14052	20010331							
14155	20010331							
14258	20010331							
14409	20010331							
14454	20010331							
14650	20010331							
14753	20010331							
14865	20010331							
14931	20010331							
14940	20010331							
15536	20010331							
15732	20010331							
16337	20010331							
16355	20010331							
16458	20010331							
16551	20010331							
16748	20010331							
16766	20010331							
16944	20010331							
16953	20010331							
17110	20010331							
17147	20010331							
17259	20010331							
17464	20010331							
17549	20010331							
17642	20010331							
17839	20010331							
17950	20010331							
18050	20010331							
18126	20010331							
18135	20010331							
18368	20010331							
18377	20010331							
18827	20010331							
18836	20010331							
18854	20010331							
18863	20010331							
18957	20010331							
19356	20010331							
19730	20010331							
19936	20010331							
19972	20010331							
20053	20010331							
20147	20010331							
20259	20010331							
20370	20010331							
20512	20010331							
20633	20010331							
20754	20010331							
20839	20010331							
20857	20010331							
20866	20010331							
21256	20010331							
21359	20010331							
21630	20010331							
21658	20010331							
22048	20010331							
22235	20010331							
22356	20010331							
22459	20010331							
22543	20010331							
22552	20010331							
22730	20010331							
22860	20010331							
22936	20010331							
22954	20010331							
23036	20010331							
23045	20010331							
23241	20010331							
23344	20010331							
23456	20010331							
23504	20010331							
23540	20010331							
23643	20010331							
23755	20010331							
23812	20010331							
24006	20010331							
24266	20010331							
24453	20010331							
24659	20010331							
24668	20010331							
24855	20010331							
24949	20010331							
