"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	
37																							0	0	200	0	0	0	0	0	0	0	0	0	0	0	200	136	0	0	0	0	0	0	0	false	0	0	
242																							0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	506	1	0	0	0	1000	0	0	true	0	0	
279																							0	223	158	2000	0	6000	0	0	223	0	0	0	0	0	158	161	0	0	0	2000	2000	0	0	false	0	0	
354																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	false	0	0	
439																							3760	0	50	0	0	0	0	0	0	3760	0	0	50	0	0	1927	1	0	0	0	0	0	0	false	0	0	
457																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	false	0	0	
505																							96	21	91	0	0	4000	0	0	21	96	0	0	91	0	0	3522	3	0	0	0	4000	0	0	true	0	0	
1146																							512	0	762	1500	0	2705	0	0	0	512	113	0	508	0	141	949	1	0	0	1205	0	0	0	true	1102	0	
1155																							0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	4831	3	0	0	0	0	0	0	false	0	0	
1351																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	false	0	0	
1454																							172	0	0	0	0	0	0	0	0	172	0	0	0	0	0	17655	5	0	0	0	0	0	0	true	0	0	
1557																							0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	false	0	19	
1632																							0	0	14	0	0	0	0	0	0	0	0	0	14	0	0	9111	5	0	0	0	0	0	0	true	0	0	
1669																							0	0	11	0	0	960	0	0	0	0	0	0	11	0	0	243	0	0	0	0	0	0	0	false	0	960	
1829																							0	0	59	0	0	0	0	0	0	0	0	0	11	0	48	381	0	0	0	0	0	0	0	false	0	0	
1856																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	1	0	0	0	0	0	0	false	0	0	
1959																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	
2040																							0	0	166	5000	0	14638	0	0	0	0	0	0	55	0	111	617	0	0	0	9360	0	0	0	false	0	278	
2161																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	0	0	0	0	0	false	0	0	
2376																							0	2061	1502	0	0	0	0	2061	0	0	0	0	75	1216	211	2660	1	0	0	0	0	0	0	false	0	0	
2451																							0	0	0	1050	0	1050	0	0	0	0	0	0	0	0	0	160	1	0	0	0	0	0	0	false	0	0	
2554																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	1	0	0	0	0	0	0	false	0	0	
2732																							0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	8681	3	0	0	0	0	0	0	false	0	84	
2750																							0	0	455	500	0	2500	0	0	0	0	0	455	0	0	0	1171	2	0	0	0	2000	0	0	false	0	0	
2938																							0	0	47	0	0	15000	0	0	0	0	0	0	47	0	0	16084	6	0	0	15000	0	0	0	false	2500	0	
2956																							0	0	158	0	0	0	0	0	0	0	0	22	93	0	43	24	0	0	0	0	0	0	0	false	0	0	
3252																							0	0	459	0	0	101	0	0	0	0	0	0	0	0	459	457	0	0	0	0	0	0	0	false	0	101	
3458																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	
3506																							24	0	250	13000	0	13000	0	0	0	24	0	0	0	0	250	6237	3	0	0	0	0	0	0	true	0	0	
3579																							0	0	211	15844	0	17617	0	0	0	0	0	0	17	0	194	3859	3	0	0	382	410	73	640	false	0	268	
3720																							0	0	200	0	0	11345	0	0	0	0	0	0	158	0	42	41	0	0	0	1000	10000	45	14	false	0	286	
3953																							0	0	1591	0	0	0	0	0	0	0	0	270	67	0	1254	1265	3	0	0	0	0	0	0	false	0	0	
4138																							0	24	422	0	0	4923	0	0	24	0	0	0	422	0	0	4076	3	0	0	0	4923	0	0	true	0	0	
4147																							0	0	0	2000	0	8000	0	0	0	0	0	0	0	0	0	2234	2	0	0	4500	1500	0	0	false	0	0	
4156																							0	0	0	5020	0	9827	0	0	0	0	0	0	0	0	0	1099	1	0	0	3807	1000	0	0	true	0	0	
4231																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	980	1	0	0	0	0	0	0	false	0	0	
4437																							0	0	1006	3000	0	3454	0	0	0	0	0	0	200	0	806	5045	2	0	0	454	0	0	0	false	0	0	
4745																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	1	0	0	0	0	0	0	false	0	0	
4839																							0	266	0	7800	0	13900	0	0	266	0	0	0	0	0	0	5323	3	0	0	2000	4100	0	0	false	0	0	
5005																							0	0	0	3000	0	26159	0	0	0	0	0	0	0	0	0	320	0	0	0	5248	17911	0	0	true	0	0	
5050																							0	0	444	0	0	0	0	0	0	0	164	280	0	0	0	2496	2	0	0	0	0	0	0	false	0	0	
5069																							0	0	327	0	0	0	73	0	0	0	254	0	0	0	0	400	0	0	0	0	0	0	0	false	0	0	
5135																							0	0	304	0	0	0	0	0	0	0	0	0	59	225	20	5369	3	0	0	0	0	0	0	false	0	0	
5210																							0	0	1077	16965	0	17415	0	0	0	0	772	0	305	0	0	3897	2	0	0	0	0	0	0	false	0	450	
5247																							0	0	692	0	0	2280	0	0	0	0	0	692	0	0	0	293	0	0	0	0	0	0	2000	false	0	280	
5274																							0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	2289	2	0	0	1000	500	0	0	false	0	0	
5331																							0	0	398	44	0	44	398	0	0	0	0	0	0	0	0	2300	1	0	0	0	0	0	0	false	0	0	
5452																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	true	0	0	
5461																							0	836	187	0	0	227	0	830	6	0	0	0	0	0	187	4561	1	0	0	0	0	0	0	false	0	227	
5751																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	true	0	0	
5939																							40264	0	4496	0	15344	758	0	0	0	24920	0	0	2352	222	1922	4172	1	19276	0	0	758	0	0	false	0	0	
6039																							0	0	199	0	0	14	0	0	0	0	0	0	60	0	139	379	0	0	0	0	0	6	0	true	0	8	
6057																							0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	108	0	0	0	1000	0	0	0	false	0	0	
6141																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	false	0	0	
6329																							0	0	373	0	0	0	0	0	0	0	0	0	0	0	373	2110	1	0	0	0	0	0	0	false	0	0	
6842																							0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	706	3	0	0	0	0	0	279	false	0	0	
6972																							0	304	0	0	0	2474	0	0	304	0	0	0	0	0	0	1795	2	0	0	0	0	0	2474	true	0	0	
7009																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5200	1	0	0	0	0	0	0	false	0	0	
7045																							0	0	86	0	0	0	0	0	0	0	0	0	86	0	0	726	0	0	0	0	0	0	0	false	0	0	
7157																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	false	0	0	
7166																							359	0	0	0	0	0	0	0	0	359	0	0	0	0	0	2695	4	0	0	0	0	0	0	false	0	0	
7456																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	false	0	0	
7634																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	1	0	0	0	0	0	0	false	0	0	
8033																							0	0	122	500	0	1832	0	0	0	0	0	0	0	0	122	1238	1	0	0	250	1082	0	0	true	0	0	
