RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDA519,RCFDA520,RCFDB556,RCFDC009,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,0,260,266,1390,21,56,0,0,0,808,0,,,,,,,,37,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,136,0,356,0,5,,,,215,0,,,,,,,,242,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,1866,0,2717,63,115,0,0,0,736,0,,,,,,,,279,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,5,0,130,0,2,0,0,0,123,0,,,,,,,,354,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,0,151,1529,44,135,0,0,0,1243,0,,,,,,,,439,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,40,87,882,0,403,0,0,0,352,0,,,,,,,,457,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,1419,0,5094,1085,2417,904,0,0,1258,0,,,,,,,,505,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,2315,0,12212,1107,9064,5405,0,0,833,0,,,,,,,,1146,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,462,144,1625,29,29,0,0,0,990,0,,,,,,,,1155,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,0,404,1496,37,37,0,0,0,1055,0,,,,,,,,1351,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,1093,0,3934,799,971,0,0,0,1870,0,,,,,,,,1454,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,23,0,712,39,43,0,0,0,646,0,,,,,,,,1557,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,800,453,4447,0,1469,0,0,0,1725,0,,,,,,,,1632,2002-09-30
,,,,,,,,,,,,,,,,,,,,,10,682,0,3252,297,307,0,0,0,2263,0,,,,,,,,1669,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,1041,0,3276,431,606,0,0,0,1629,0,,,,,,,,1829,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,20,0,264,0,38,0,0,0,206,0,,,,,,,,1856,2002-09-30
,,,,,,,,,,,,,,,,,,,,,2,953,20,2136,242,347,80,20,0,816,0,,,,,,,,2040,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,198,0,1064,0,448,275,0,0,418,0,,,,,,,,2161,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,5458,0,10226,234,802,0,0,0,3966,0,,,,,,,,2376,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,100,1,411,6,73,18,0,0,237,0,,,,,,,,2451,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,0,0,154,7,24,0,0,0,130,0,,,,,,,,2554,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,181,0,3495,35,747,434,0,0,2567,0,,,,,,,,2732,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,196,0,2185,0,788,0,0,0,1201,0,,,,,,,,2750,2002-09-30
,,,,,,,,,,,,,,,,,,,,,11,1775,0,4331,70,81,0,0,0,2475,0,,,,,,,,2938,2002-09-30
,,,,,,,,,,,,,,,,,,,,,26,0,30,1146,17,78,35,0,0,1038,0,,,,,,,,2956,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,267,0,3384,0,793,381,341,0,2324,0,,,,,,,,3252,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,47,7,344,0,23,0,0,0,267,0,,,,,,,,3458,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,3937,717,27979,0,18591,16044,0,0,4734,0,,,,,,,,3506,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,1908,0,4301,0,1255,777,0,0,1138,0,,,,,,,,3579,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,625,105,3643,0,2259,0,0,0,654,0,,,,,,,,3720,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,53,0,1832,125,495,0,0,0,1284,0,,,,,,,,3953,2002-09-30
,,,,,,,,,,,,,,,,,,,,,88,776,0,2009,124,217,0,0,0,1016,0,,,,,,,,4138,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,2777,0,6985,0,3510,0,0,0,698,0,,,,,,,,4147,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,617,0,1873,0,49,0,0,0,1207,0,,,,,,,,4156,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,0,0,1005,68,68,0,0,0,937,0,,,,,,,,4231,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,525,269,2071,114,466,237,0,0,811,0,,,,,,,,4437,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,0,0,128,4,4,0,0,0,124,0,,,,,,,,4745,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,1082,0,2640,89,260,103,0,0,1298,0,,,,,,,,4839,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,1909,0,11045,0,7544,0,0,0,1592,0,,,,,,,,5005,2002-09-30
,,,,,,,,,,,,,,,,,,,,,49,388,14,1148,79,128,0,0,0,618,0,,,,,,,,5050,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,0,0,2213,227,920,296,397,0,1293,0,,,,,,,,5069,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,334,140,1864,52,92,29,10,0,1298,0,,,,,,,,5135,2002-09-30
,,,,,,,,,,,,,,,,,,,,,0,3682,0,19553,0,11581,0,0,0,4290,0,,,,,,,,5210,2002-09-30
