RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDA519,RCFDA520,RCFDB556,RCFDC009,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,34,255,239,1269,51,85,0,0,0,690,0,,,,,,,,37,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,141,0,317,0,4,,,,172,0,,,,,,,,242,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,1866,0,2664,36,94,0,0,0,704,0,,,,,,,,279,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,4,0,119,0,17,0,0,0,98,0,,,,,,,,354,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,317,229,2085,27,306,0,0,0,1233,0,,,,,,,,439,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,40,40,776,0,415,0,0,0,281,0,,,,,,,,457,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,1419,0,5702,1804,3166,901,0,0,1117,0,,,,,,,,505,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,2345,0,11304,1054,8168,0,0,0,791,0,,,,,,,,1146,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,463,181,1862,75,155,48,0,0,1063,0,,,,,,,,1155,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,0,271,1330,35,35,0,0,0,1024,0,,,,,,,,1351,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,1120,0,3453,627,723,0,0,0,1610,0,,,,,,,,1454,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,23,0,725,27,78,0,0,0,624,0,,,,,,,,1557,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,1200,650,5027,0,1660,0,0,0,1517,0,,,,,,,,1632,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,682,0,3220,286,299,0,0,0,2239,0,,,,,,,,1669,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,1133,0,3596,635,843,0,0,0,1620,0,,,,,,,,1829,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,371,0,767,66,209,127,0,0,187,0,,,,,,,,1856,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,996,0,2368,338,530,108,84,0,842,0,,,,,,,,2040,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,198,0,2741,0,2150,0,0,0,393,0,,,,,,,,2161,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,5750,0,11569,300,2410,0,0,0,3409,0,,,,,,,,2376,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,120,1,418,0,84,0,0,0,213,0,,,,,,,,2451,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,0,0,101,10,23,0,0,0,78,0,,,,,,,,2554,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,181,0,2925,65,423,129,0,0,2321,0,,,,,,,,2732,2003-03-31
,,,,,,,,,,,,,,,,,,,,,0,196,0,1927,88,764,0,0,0,967,0,,,,,,,,2750,2003-03-31
,,,,,,,,,,,,,,,,,,,,,377,2307,400,4854,134,511,0,0,0,1636,0,,,,,,,,2938,2003-03-31
