RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDA519,RCFDA520,RCFDB556,RCFDC009,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,0,68,200,2678,72,72,0,0,0,137,0,,,,,2201,0,0,8631,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,971,0,2346,107,201,0,0,0,1174,0,,,,,0,0,0,9357,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2142,0,7303,361,671,310,0,0,2066,0,,,,,1576,0,848,9553,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,15573,0,133252,0,3698,1857,1500,0,7018,0,,,,,10893,96070,0,9807,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,748,23,1789,60,62,0,0,0,956,0,,,,,0,0,0,9955,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,868,4237,7159,490,721,229,0,0,1039,0,,,,,294,0,0,10250,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,550,1568,4276,160,231,0,0,0,789,0,,,,,1138,0,0,10849,2015-12-31
,,,,,,,,,,,,,,,,,,,,,8,644,349,6400,352,1228,17,851,0,512,0,,,,,1257,0,2410,11145,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,13251,7816,69762,0,10723,4280,0,0,3181,3294,,,,,20653,14138,0,11275,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,4384,736,18148,731,1054,0,0,0,2845,0,,,,,9129,0,0,11640,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,394,1307,2398,0,289,119,87,0,408,0,,,,,0,0,0,11837,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,7286,1504,13720,193,2078,1882,0,0,2288,0,,,,,564,0,0,12030,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,861,1110,8661,160,700,0,0,0,1149,0,,,,,4841,0,0,12142,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,725,28,2811,45,45,0,0,0,94,0,,,,,1278,0,641,12179,2015-12-31
