RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDA519,RCFDA520,RCFDB556,RCFDC009,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,0,255,239,1247,45,46,0,0,0,707,0,,,,,,,,37,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,143,0,308,0,4,,,,161,0,,,,,,,,242,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,1866,0,2691,26,81,0,0,0,744,0,,,,,,,,279,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,5,0,116,0,1,0,0,0,110,0,,,,,,,,354,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,317,142,1912,88,255,0,0,0,1198,0,,,,,,,,439,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,40,0,787,0,426,0,0,0,321,0,,,,,,,,457,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,1491,208,5222,1145,2475,901,0,0,1048,0,,,,,,,,505,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,2358,0,11819,1259,8669,5405,0,0,792,0,,,,,,,,1146,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,463,94,1570,51,127,48,0,0,886,0,,,,,,,,1155,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,426,1522,37,37,0,0,0,1059,0,,,,,,,,1351,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,1087,0,3610,624,808,0,0,0,1715,0,,,,,,,,1454,2003-06-30
,,,,,,,,,,,,,,,,,,,,,7,23,0,797,90,108,0,0,0,666,0,,,,,,,,1557,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,1200,650,5229,0,1759,0,0,0,1620,0,,,,,,,,1632,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,682,0,3205,189,272,0,0,0,2251,0,,,,,,,,1669,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,1140,0,3612,475,803,0,0,0,1669,0,,,,,,,,1829,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,764,0,1154,64,64,0,0,0,326,0,,,,,,,,1856,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,996,0,2262,343,415,38,34,0,851,0,,,,,,,,2040,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,198,0,2696,0,2084,0,0,0,414,0,,,,,,,,2161,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,6250,0,12022,240,2402,0,0,0,3370,0,,,,,,,,2376,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,125,1,439,0,78,0,0,0,235,0,,,,,,,,2451,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,0,106,5,25,0,0,0,81,0,,,,,,,,2554,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,181,0,2943,30,827,127,436,0,1935,0,,,,,,,,2732,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,196,0,1551,55,632,0,0,0,723,0,,,,,,,,2750,2003-06-30
,,,,,,,,,,,,,,,,,,,,,92,2307,334,4682,136,228,0,0,0,1813,0,,,,,,,,2938,2003-06-30
,,,,,,,,,,,,,,,,,,,,,30,0,35,859,0,112,78,0,0,712,0,,,,,,,,2956,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,267,0,3048,0,1103,529,379,48,1678,0,,,,,,,,3252,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,74,0,295,20,22,0,0,0,199,0,,,,,,,,3458,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,3627,2662,39705,0,27595,0,0,0,5821,0,,,,,,,,3506,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,2809,0,6000,0,1600,777,0,0,1591,0,,,,,,,,3579,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,554,201,3698,0,2380,0,0,0,563,0,,,,,,,,3720,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,288,0,2232,115,520,0,0,0,1424,0,,,,,,,,3953,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,801,0,1879,102,172,0,0,0,906,0,,,,,,,,4138,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,2928,0,7076,0,3732,0,0,0,416,0,,,,,,,,4147,2003-06-30
,,,,,,,,,,,,,,,,,,,,,48,617,0,4693,0,2670,0,0,0,1406,0,,,,,,,,4156,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,0,875,0,92,0,0,0,783,0,,,,,,,,4231,2003-06-30
,,,,,,,,,,,,,,,,,,,,,0,601,302,1880,152,295,0,0,0,682,0,,,,,,,,4437,2003-06-30
