RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDA519,RCFDA520,RCFDB556,RCFDC009,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,0,144,442,2284,92,869,0,0,0,829,0,,,,,,,,37,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,153,0,479,14,19,0,0,0,307,0,,,,,,,,242,2007-06-30
,,,,,,,,,,,,,,,,,,,,,5,1475,278,2626,59,64,0,0,0,753,0,,,,,,,,279,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,70,169,0,4,0,0,0,95,0,,,,,,,,354,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,338,0,3066,0,496,377,0,0,2232,0,,,,,,,,439,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,124,0,1029,32,32,0,0,0,398,0,,,,,,,,457,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,2548,934,6963,1724,2232,0,0,0,1249,0,,,,,,,,505,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,767,0,5739,63,117,34,0,0,1504,0,,,,,,,,1155,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,0,1624,39,135,96,0,0,1489,0,,,,,,,,1351,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,1092,0,8803,605,1231,0,0,0,2339,0,,,,,,,,1454,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,137,0,924,25,38,0,0,0,749,0,,,,,,,,1557,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,1404,3005,11274,0,862,684,0,0,5345,0,,,,,,,,1632,2007-06-30
,,,,,,,,,,,,,,,,,,,,,50,426,751,9016,77,127,0,0,0,1760,0,,,,,,,,1669,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,2251,2160,9976,0,3506,1860,0,0,2059,0,,,,,,,,1829,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,4620,0,6276,191,191,0,0,0,1465,0,,,,,,,,1856,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,1194,471,5350,475,559,64,0,0,985,0,,,,,,,,2040,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,259,184,3661,140,2382,2242,0,0,508,0,,,,,,,,2161,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,10619,14348,56192,295,984,0,0,0,4876,0,,,,,,,,2376,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,915,0,1678,70,155,0,0,0,608,0,,,,,,,,2451,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,0,123,12,19,7,0,0,104,0,,,,,,,,2554,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,174,948,4688,38,473,279,50,0,2813,0,,,,,,,,2732,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,482,0,2151,124,124,0,0,0,890,0,,,,,,,,2750,2007-06-30
,,,,,,,,,,,,,,,,,,,,,11,1381,2153,9490,0,1629,0,0,0,4327,0,,,,,,,,2938,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,305,0,3335,222,679,0,0,0,2351,0,,,,,,,,3252,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,177,0,420,13,14,0,0,0,229,0,,,,,,,,3458,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,557,965,5321,371,429,0,0,0,1501,0,,,,,,,,3720,2007-06-30
,,,,,,,,,,,,,,,,,,,,,5,990,0,3495,168,173,0,0,0,1681,0,,,,,,,,3953,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,953,0,2938,0,764,0,0,0,1221,0,,,,,,,,4138,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,1750,32,7060,15,16,0,0,0,2330,0,,,,,,,,4156,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,655,2364,0,203,0,0,0,1506,0,,,,,,,,4231,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,832,930,4697,0,1426,1000,0,0,1509,0,,,,,,,,4437,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,1595,0,3234,126,146,0,0,0,1493,0,,,,,,,,4839,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,3256,0,13845,0,1871,456,0,0,1769,0,,,,,,,,5005,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,444,3896,875,2016,1140,0,0,1436,0,,,,,,,,5069,2007-06-30
,,,,,,,,,,,,,,,,,,,,,108,934,853,10335,190,551,0,0,0,5041,0,,,,,,,,5135,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,10587,3928,43228,998,1355,0,0,0,5040,0,,,,,,,,5210,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,3602,1008,9794,1926,4242,2154,0,0,692,0,,,,,,,,5331,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,0,6976,0,3908,1635,1815,0,2463,0,,,,,,,,5461,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,268,44,3676,56,60,0,0,0,1142,0,,,,,,,,5751,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,424,125,2012,134,188,0,0,0,940,0,,,,,,,,6039,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,189,0,537,62,79,0,0,0,269,0,,,,,,,,6057,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,150,50,668,100,100,0,0,0,368,0,,,,,,,,6141,2007-06-30
,,,,,,,,,,,,,,,,,,,,,289,892,1567,12090,1896,3029,0,0,0,2876,0,,,,,,,,6329,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,718,0,16226,0,3003,0,0,0,5880,0,,,,,,,,6972,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,264,10299,0,7816,6806,0,0,2219,0,,,,,,,,7009,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,0,172,1624,0,301,0,0,0,1151,0,,,,,,,,7045,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,23,41,494,0,55,0,0,0,375,0,,,,,,,,7157,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,201,0,778,0,59,44,0,0,518,0,,,,,,,,7456,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,738,145,1623,80,160,0,0,0,580,0,,,,,,,,7634,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,1113,165,3454,0,89,0,0,0,1408,0,,,,,,,,8033,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,21,0,941,0,14,0,0,0,906,0,,,,,,,,8462,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,124,101,2174,63,63,0,0,0,216,0,,,,,,,,8631,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,4626,0,48991,0,42562,12686,0,0,1803,0,,,,,,,,9357,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,718,0,3493,105,105,0,0,0,1812,0,,,,,,,,9553,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,23352,0,74837,0,5527,4118,0,0,13394,0,,,,,,,,9807,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,442,0,1583,50,154,97,0,0,987,0,,,,,,,,9955,2007-06-30
,,,,,,,,,,,,,,,,,,,,,0,579,168,1518,82,93,0,0,0,678,0,,,,,,,,10157,2007-06-30
