"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	
138350	1307	0	400	2904	0	3973	0	0	0	0	0	0	10787	0	2417	2132		6611	737	305	4191	2032	0	0	1990	2201	1089	1331	985	1047	100	0	3573	8370	0	0	0	
138556	3202	0	257	12339	0	16630	0	0	0	0	0	0	37422	0	2685	12820		19022	2378	3995	18233	12276	0	0	4748	13485	690	99	5682	6594	164	380	16373	34737	0	0	1010	
138725	7850	8	386	5275	0	5275	0	0	0	0	0	0	13781	0	225	2244		3687	0	0	2691	1925	0	0	524	2167	996	0	1072	853	319	0	4773	13556	108	0	0	
138752	2620	0	2575	1759	0	6663	0	0	0	0	0	0	10247	0	650	1150		6476	1	467	5673	1050	0	0	1453	4220	800	3	0	1050	100	0	4088	9597	0	0	0	
139133	6278	37	2042	20476	0	34921	0	0	0	5049	5049	0	125687	0	14508	61574		42964	14871	6964	33716	51332	0	5049	14471	19245	6929	2319	27153	24179	5987	4255	32842	111179	0	0	2411	
139432	2745	1	172	6687	0	13774	0	0	0	12072	12072	0	125668	0	8838	60841		40363	21719	5404	34541	48835	0	12072	8008	26533	5634	188	8714	40121	11606	400	13601	99594	0	17236	3286	
139478	9009	13	5	12256	0	58112	0	0	0	0	0	0	388342	0	652	59212		270514	49607	57307	210829	49190	0	0	74916	135913	43555	16130	17687	31503	6635	3387	58056	385015	38	2675	8216	
139553	150741	25	6778	20233	0	26849	0	0	4206	0	4206	0	422389	0	82342	126159		87207	58282	14327	78806	119175	4206	0	34650	45317	6670	570	65290	53885	6360	624	19491	338484	555	1563	3186	
139656	13033	0	11071	10480	0	18600	0	0	7740	0	7740	0	200793	0	9947	44823		56185	86752	6895	45659	40221	5580	0	29355	16304	7935	2591	25280	14941	3074	1528	7529	190096	0	750	1947	
139740	229677	47	3228	67003	0	91720	0	0	94509	0	155138	0	849221	0	188405	262702		168496	188346	18761	122624	246738	66220	56932	80230	42394	32727	13145	115656	131082	15418	546	87018	653816	1427	7000	4311	
139834	4614	11	351	5461	0	8969	0	0	0	23979	23979	0	54455	0	2618	33395		14533	1912	3407	13405	32278	0	23979	5523	7882	939	189	1460	30818	500	617	8607	51837	0	0	381	
