"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	15662	15759	345	0	0	120	0	0	15759	0	0	-322	
242	3796	3987	316	0	0	360	0	0	3987	0	0	-147	
279	20887	20917	401	0	-101	0	0	0	20917	0	0	-330	
354	942	942	26	0	0	0	0	0	942	0	0	-26	
457	3068	2920	355	0	0	196	0	0	2920	0	0	-11	
505	26285	25982	1501	0	0	591	0	-19	25963	0	0	-588	
1155	15345	15876	1774	0	0	1993	0	0	15876	0	0	-312	
1351	17133	16359	1414	0	0	630	0	0	16359	0	0	-10	
1454	35638	35843	4115	0	0	2100	0	0	35843	0	0	-2220	
1557	4847	4797	234	0	0	182	0	0	4797	0	0	-2	
1632	61942	59402	1190	0	2340	1034	0	0	59402	78	0	-34	
1669	40849	39643	1513	0	0	0	0	-184	39459	0	0	-123	
1829	36094	36496	1665	0	0	1063	0	0	36496	0	0	-1004	
1856	16940	15986	1907	0	0	1006	0	0	15986	0	0	53	
2040	15369	16785	-137	0	0	1151	0	0	16785	0	0	-128	
2161	11752	11318	667	0	0	0	0	0	11318	0	0	-233	
2376	189628	185761	2885	0	1164	0	0	0	185761	0	0	-182	
2451	4298	4108	190	0	0	0	0	0	4108	0	0	0	
2554	1074	591	62	331	100	20	0	0	591	0	0	10	
2732	68851	66584	2757	0	0	463	0	0	66584	0	0	-27	
2750	5088	5239	190	0	0	154	0	0	5239	-45	0	-142	
2938	31226	31606	684	0	1180	1919	0	0	31606	51	0	-376	
3252	13232	13714	1778	0	0	1000	0	0	13714	0	0	-1260	
3458	2980	2907	118	0	0	40	0	13	2920	0	0	-18	
