"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											143					0	0	0	0	
242											201					3500	116	0	110	
279											1466					29473	0	0	0	
354											0					0	0	0	0	
457											163					2000	0	0	0	
505											4156					67750	0	0	0	
1155											817					3000	0	0	26739	
1351											0					0	0	0	0	
1454											1092					0	9	0	0	
1557											143					2136	0	0	0	
1632											4058					57000	0	0	3766	
1669											427					889	0	0	0	
1829											2908					42045	2043	0	4836	
1856											4620					54000	0	0	0	
2040											1368					22892	0	0	2853	
2161											267					0	0	0	0	
2376											21547					448773	7783	0	0	
2451											976					8125	0	0	0	
2554											0					0	0	0	0	
2732											174					363	0	0	0	
2750											501					7000	0	0	0	
2938											2034					29000	0	0	2276	
3252											317					2600	0	0	0	
3458											181					0	0	0	4760	
3720											702					6112	0	0	3770	
3953											1036					3997	4	0	0	
4138											966					2022	1935	0	2624	
4156											2044					35250	0	0	0	
4231											0					0	0	0	0	
4437											888					9767	0	0	4173	
4839											2045					40900	0	0	9887	
5005											4295					64673	12126	0	0	
5069											0					0	11749	0	0	
5135											1584					21500	0	0	0	
5210											7401					101037	0	0	38322	
5331											3614					100	0	10000	93500	
5461											1924					34614	0	0	0	
5751											277					0	0	0	0	
6039											585					0	51	0	0	
6141											0					0	0	0	0	
6329											1094					0	0	0	0	
6972											4598					88500	0	0	8551	
7009											0					0	68813	0	0	
7045											0					0	0	0	0	
7157											23					0	0	0	0	
7456											296					0	0	0	0	
7634											946					2000	0	0	0	
8033											1411					19898	0	0	0	
8462											21					0	0	0	0	
8631											154					0	0	0	0	
9357											1473					16500	970	0	6162	
9553											748					3290	0	0	0	
9807											18995					282377	0	0	96790	
9955											451					2191	0	0	0	
10157											577					2175	0	0	0	
10250											1969					23000	0	0	0	
10849											2223					33385	0	0	0	
10858											1461					14641	0	0	20849	
11145											1086					13213	0	0	0	
11640											2979					46017	0	0	0	
11837											919					7000	0	0	0	
12030											1038					0	0	0	0	
12058											483					5123	0	0	0	
12142											582					2000	0	0	7566	
12245											395					7900	395	0	0	
12311	0	352425	713399	1380107	0	527668	725896	847442	5900	4557188	424271	0	54842484	1746432	46828953	6231424	4351	191575	1679567	
12647											310					6200	0	0	0	
12656											29					0	0	0	0	
12937											776					3	0	0	0	
12946											2892					54509	625	0	0	
12955											756					3775	0	0	0	
13037											258					0	0	0	0	
13103											12036					189227	70652	0	11413	
13251											141					0	0	0	0	
13457											3					0	34	0	0	
14052											247					1000	0	0	0	
14155											830					13590	0	0	0	
14258											4022					25000	0	0	0	
14454											95					900	0	0	0	
14650											112					0	0	0	0	
14753											9					0	0	0	0	
14865											594					19333	0	0	0	
14977											184					271	0	0	0	
15536											33103					710521	115849	0	0	
16337											2295					29000	0	0	1171	
16458											780					1387	0	0	0	
16551											2896					27778	0	0	0	
16748											344					2000	0	0	0	
16944											0					0	0	0	0	
16953											0					0	0	0	0	
17110											219					0	5234	1839	0	
17147											11303					127176	0	0	60965	
17259											416					4250	0	0	0	
17464											12087					395986	414	0	11864	
17839											526					0	0	0	4533	
17950											962					12269	0	0	0	
18050											594					752	0	0	0	
18135											1622					24370	0	0	9644	
18377											107					0	0	0	0	
18827											521					757	0	0	0	
18836											724					4414	28	0	0	
18854											347					4000	0	0	0	
18957											446					4559	0	0	0	
19356											158					0	0	0	0	
19730											18195					109967	5532	0	40074	
19936											1759					10000	0	0	3895	
19972											215					0	0	0	0	
20053											503					6947	948	0	481	
20147											495					1719	0	0	0	
20259											350					9	0	0	0	
20370											590					11700	0	0	0	
20512											1192					21649	0	0	0	
20633											549					7000	1000	0	0	
20839											783					9000	0	0	0	
20857											299					831	0	0	40750	
20866											1384					30156	0	0	0	
21256											87					500	0	0	0	
21359											114					368	0	0	0	
21630											515					5115	0	0	0	
21658											442					1702	0	0	0	
22048											596					4126	0	0	3904	
