"IDRSSD"	RCFD0211	RCFD0213	RCFD0416	RCFD1286	RCFD1287	RCFD1289	RCFD1290	RCFD1291	RCFD1293	RCFD1294	RCFD1295	RCFD1297	RCFD1298	RCFD1698	RCFD1699	RCFD1701	RCFD1702	RCFD1703	RCFD1705	RCFD1706	RCFD1707	RCFD1709	RCFD1710	RCFD1711	RCFD1713	RCFD1714	RCFD1715	RCFD1716	RCFD1717	RCFD1718	RCFD1719	RCFD1731	RCFD1732	RCFD1733	RCFD1734	RCFD1735	RCFD1736	RCFD1737	RCFD1738	RCFD1739	RCFD1741	RCFD1742	RCFD1743	RCFD1744	RCFD1746	RCFD1754	RCFD1771	RCFD1772	RCFD1773	RCFD1778	RCFD8496	RCFD8497	RCFD8498	RCFD8499	RCFD8782	RCFD8783	RCFDA248	RCFDA510	RCFDA511	RCFDA549	RCFDA550	RCFDA551	RCFDA552	RCFDA553	RCFDA554	RCFDA555	RCFDA556	RCFDA557	RCFDA558	RCFDA559	RCFDA560	RCFDA561	RCFDA562	RCFDB838	RCFDB839	RCFDB840	RCFDB841	RCFDB842	RCFDB843	RCFDB844	RCFDB845	RCFDB846	RCFDB847	RCFDB848	RCFDB849	RCFDB850	RCFDB851	RCFDB852	RCFDB853	RCFDB854	RCFDB855	RCFDB856	RCFDB857	RCFDB858	RCFDB859	RCFDB860	RCFDB861	RCFDC026	RCFDC027	RCFDC988	RCFDC989	RCON0211	RCON0213	RCON0416	RCON1286	RCON1287	RCON1289	RCON1290	RCON1291	RCON1293	RCON1294	RCON1295	RCON1297	RCON1298	RCON1698	RCON1699	RCON1701	RCON1702	RCON1703	RCON1705	RCON1706	RCON1707	RCON1709	RCON1710	RCON1711	RCON1713	RCON1714	RCON1715	RCON1716	RCON1717	RCON1718	RCON1719	RCON1731	RCON1732	RCON1733	RCON1734	RCON1735	RCON1736	RCON1737	RCON1738	RCON1739	RCON1741	RCON1742	RCON1743	RCON1744	RCON1746	RCON1754	RCON1771	RCON1772	RCON1773	RCON1778	RCON8496	RCON8497	RCON8498	RCON8499	RCON8782	RCON8783	RCONA248	RCONA510	RCONA511	RCONA549	RCONA550	RCONA551	RCONA552	RCONA553	RCONA554	RCONA555	RCONA556	RCONA557	RCONA558	RCONA559	RCONA560	RCONA561	RCONA562	RCONB838	RCONB839	RCONB840	RCONB841	RCONB842	RCONB843	RCONB844	RCONB845	RCONB846	RCONB847	RCONB848	RCONB849	RCONB850	RCONB851	RCONB852	RCONB853	RCONB854	RCONB855	RCONB856	RCONB857	RCONB858	RCONB859	RCONB860	RCONB861	RCONC026	RCONC027	RCONC988	RCONC989	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-HLD-TO-MAT-FAIR VALUE	PLEDGED SECURITIES-BOOK VLAUE	US TREAS SECS-AVL-FOR-SLE-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	US OBLGS ISSD BY US GOVT AGCS-AMRTZ	US OBLGS ISSD BY US GOVT AGCS-FAIR	US OBLGS ISSD BY US GOVT AGCS-AMRTZ	US OBLGS ISSD BY US GOVT AGCS-FAIR	US OBLGS ISSD BY US GOV SPON AGC-AMR	US OBLGS ISSD BY US GOV SPON AGC-FAI	US OBLGS ISSD BY US GOV SPON AGC-AMR	US OBLGS ISSD BY US GOV SPON AGC-FAI	MBS-PASS THRU-GNMA-HLD-TO-MAT-AMRTZ	MBS-PASS THRU-GNMA-HLD-TO-MAT-FAIR	MBS-PASS THRU-GNMA-AVL-FR-SALE-AMRTZ	MBS-PASS THRU-GNMA-AVL-FR-SALE-FAIR	MBS-PASS THRU-FNMA&FHLMC-HLD-AMRTZ	MBS-PASS THRU-FNMA&FHLMC-HLD-FAIR VL	MBS-PASS THRU-FNMA&FHLMC-AVL-AMRTZ	MBS-PASS THRU-FNMA&FHLMC-AVL-FAIR VL	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-HLD-FAIR VALUE	OTHR PASS-THRU SECS-AVL-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-FNMA&FHLMC-HLD-AMRTZ	MBS-CMOS&REMICS-FNMA&FHLMC-HLD-FAIR	MBS-CMOS&REMICS-FNMA&FHLMC-AVL-AMRTZ	MBS-CMOS&REMICS-FNMA&FHLMC-AVL-FAIR	OTHR MBS COLLATERLZ-HLD-AMORTZD COST	OTHR MBS COLLATERLZ-HLD-FAIR VALUE	OTHR MBS COLLATERLZ-AVL AMORTZD COST	OTHR MBS COLLATERLZ-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-HLD-FAIR	MBS-CMOS&REMICS-ALL OTHER-AVL-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-AMR	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-FAI	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-AMR	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-FAI	FGN DEBT SECS-HELD-TO-MATR-AMRTZ COS	FGN DEBT SECS-HELD-TO-MATR-FAIR VALU	FGN DEBT SECS-AVL-FOR-SALE-AMRTZ COS	FGN DEBT SECS-AVL-FOR-SALE-FAIR VALU	HELD-TO-MATURITY SECURITIES	TOTL SECS-HELD-TO-MATRTY-FAIR VALUE	TOTL SECS-AVL-FOR-SALE-AMRTZ COST	AVAILABLE-FOR-SALE SECURITIES	AMRTZ COST OF HLD-TO-MAT SECS SOLD	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	AMORTIZED COST OF STRUCTURED NOTES	FAIR VALUE OF STRUCTURED NOTES	FXD&FLTG RT DEBT SECS MAT 1 YR OR LE	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECS ISD BY US TREAS,ETC 3 MOS LESS	SECS ISD BY US TREAS,ETC OV 3-12 MOS	SECS ISD BY US TREAS,ETC OV 1-3 YRS	SECS ISD BY US TREAS,ETC OV 3-5 YRS	SECS ISD BY US TREAS,ETC OV 5-15 YRS	SECS ISD BY US TREAS,ETC OVER 15 YRS	MTGE PASS-THRU SECS MAT 3 MONTHS LES	MTGE PASS-THRU SECS MAT OV 3-12 MTHS	MTGE PASS-THRU SECS MAT OV 1 - 3 YRS	MTGE PASS-THRU SECS MAT OV 3 - 5 YRS	MTGE PASS-THRU SECS MAT OV 5 - 15 YR	MTGE PASS-THRU SECS MAT OVER 15 YEAR	OTHER MTG-BCKD SECS 3 YEARS OR LESS	OTHER MTG-BCKD SECS OVER 3 YEARS	HTM(COST): ABS - CREDIT CARD RECEIV	HTM(FAIR): ABS - CREDIT CARD RECEIV	AFS(COST): ABS - CREDIT CARD RECEIV	AFS(FAIR): ABS - CREDIT CARD RECEIV	HTM(COST): ABS - HOME EQUITY LINES	HTM(FAIR): ABS - HOME EQUITY LINES	AFS(COST): ABS - HOME EQUITY LINES	AFS(FAIR): ABS - HOME EQUITY LINES	HTM(COST): ABS - AUTOMOBILE LOANS	HTM(FAIR): ABS - AUTOMOBILE LOANS	AFS(COST): ABS - AUTOMOBILE LOANS	AFS(FAIR): ABS - AUTOMOBILE LOANS	HTM(COST): ABS- OTHER CONSUMER LOANS	HTM(FAIR): ABS- OTHER CONSUMER LOANS	AFS(COST): ABS- OTHER CONSUMER LOANS	AFS(FAIR): ABS- OTHER CONSUMER LOANS	HTM(COST): ABS- COMMRCIAL &IND LOANS	HTM(FAIR): ABS- COMMRCIAL &IND LOANS	AFS(COST): ABS- COMMRCIAL &IND LOANS	AFS(FAIR): ABS- COMMRCIAL &IND LOANS	HTM(COST): ASSET BACKED SEC - OTHER	HTM(FAIR): ASSET BACKED SEC - OTHER	AFS(COST): ASSET BACKED SEC - OTHER	AFS(FAIR): ASSET BACKED SEC - OTHER	HTM(COST):TOTL ASSET-BACK SEC - DERV	AFS(FAIR):TOTL ASSET-BACK SEC -DERV	ASSET-BACKED SECURITIES: HTM-FAIR VA	ASSET-BACKED SECURITIES:AFS-AMTZD CO	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-HLD-TO-MAT-FAIR VALUE	PLEDGED SECURITIES-BOOK VLAUE	US TREAS SECS-AVL-FOR-SLE-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	US OBLGS ISSD BY US GOVT AGCS-AMRTZ	US OBLGS ISSD BY US GOVT AGCS-FAIR	US OBLGS ISSD BY US GOVT AGCS-AMRTZ	US OBLGS ISSD BY US GOVT AGCS-FAIR	US OBLGS ISSD BY US GOV SPON AGC-AMR	US OBLGS ISSD BY US GOV SPON AGC-FAI	US OBLGS ISSD BY US GOV SPON AGC-AMR	US OBLGS ISSD BY US GOV SPON AGC-FAI	MBS-PASS THRU-GNMA-HLD-TO-MAT-AMRTZ	MBS-PASS THRU-GNMA-HLD-TO-MAT-FAIR	MBS-PASS THRU-GNMA-AVL-FR-SALE-AMRTZ	MBS-PASS THRU-GNMA-AVL-FR-SALE-FAIR	MBS-PASS THRU-FNMA&FHLMC-HLD-AMRTZ	MBS-PASS THRU-FNMA&FHLMC-HLD-FAIR VL	MBS-PASS THRU-FNMA&FHLMC-AVL-AMRTZ	MBS-PASS THRU-FNMA&FHLMC-AVL-FAIR VL	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-HLD-FAIR VALUE	OTHR PASS-THRU SECS-AVL-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-FNMA&FHLMC-HLD-AMRTZ	MBS-CMOS&REMICS-FNMA&FHLMC-HLD-FAIR	MBS-CMOS&REMICS-FNMA&FHLMC-AVL-AMRTZ	MBS-CMOS&REMICS-FNMA&FHLMC-AVL-FAIR	OTHR MBS COLLATERLZ-HLD-AMORTZD COST	OTHR MBS COLLATERLZ-HLD-FAIR VALUE	OTHR MBS COLLATERLZ-AVL AMORTZD COST	OTHR MBS COLLATERLZ-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-HLD-FAIR	MBS-CMOS&REMICS-ALL OTHER-AVL-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-AMR	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-FAI	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-AMR	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-FAI	FGN DEBT SECS-HELD-TO-MATR-AMRTZ COS	FGN DEBT SECS-HELD-TO-MATR-FAIR VALU	FGN DEBT SECS-AVL-FOR-SALE-AMRTZ COS	FGN DEBT SECS-AVL-FOR-SALE-FAIR VALU	HELD-TO-MATURITY SECURITIES	TOTL SECS-HELD-TO-MATRTY-FAIR VALUE	TOTL SECS-AVL-FOR-SALE-AMRTZ COST	AVAILABLE-FOR-SALE SECURITIES	AMRTZ COST OF HLD-TO-MAT SECS SOLD	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	AMORTIZED COST OF STRUCTURED NOTES	FAIR VALUE OF STRUCTURED NOTES	FXD&FLTG RT DEBT SECS MAT 1 YR OR LE	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECS ISD BY US TREAS,ETC 3 MOS LESS	SECS ISD BY US TREAS,ETC OV 3-12 MOS	SECS ISD BY US TREAS,ETC OV 1-3 YRS	SECS ISD BY US TREAS,ETC OV 3-5 YRS	SECS ISD BY US TREAS,ETC OV 5-15 YRS	SECS ISD BY US TREAS,ETC OVER 15 YRS	MTGE PASS-THRU SECS MAT 3 MONTHS LES	MTGE PASS-THRU SECS MAT OV 3-12 MTHS	MTGE PASS-THRU SECS MAT OV 1 - 3 YRS	MTGE PASS-THRU SECS MAT OV 3 - 5 YRS	MTGE PASS-THRU SECS MAT OV 5 - 15 YR	MTGE PASS-THRU SECS MAT OVER 15 YEAR	OTHER MTG-BCKD SECS 3 YEARS OR LESS	OTHER MTG-BCKD SECS OVER 3 YEARS	HTM(COST): ABS - CREDIT CARD RECEIV	HTM(FAIR): ABS - CREDIT CARD RECEIV	AFS(COST): ABS - CREDIT CARD RECEIV	AFS(FAIR): ABS - CREDIT CARD RECEIV	HTM(COST): ABS - HOME EQUITY LINES	HTM(FAIR): ABS - HOME EQUITY LINES	AFS(COST): ABS - HOME EQUITY LINES	AFS(FAIR): ABS - HOME EQUITY LINES	HTM(COST): ABS - AUTOMOBILE LOANS	HTM(FAIR): ABS - AUTOMOBILE LOANS	AFS(COST): ABS - AUTOMOBILE LOANS	AFS(FAIR): ABS - AUTOMOBILE LOANS	HTM(COST): ABS- OTHER CONSUMER LOANS	HTM(FAIR): ABS- OTHER CONSUMER LOANS	AFS(COST): ABS- OTHER CONSUMER LOANS	AFS(FAIR): ABS- OTHER CONSUMER LOANS	HTM(COST): ABS- COMMRCIAL &IND LOANS	HTM(FAIR): ABS- COMMRCIAL &IND LOANS	AFS(COST): ABS- COMMRCIAL &IND LOANS	AFS(FAIR): ABS- COMMRCIAL &IND LOANS	HTM(COST): ASSET BACKED SEC - OTHER	HTM(FAIR): ASSET BACKED SEC - OTHER	AFS(COST): ASSET BACKED SEC - OTHER	AFS(FAIR): ASSET BACKED SEC - OTHER	HTM(COST):TOTL ASSET-BACK SEC - DERV	AFS(FAIR):TOTL ASSET-BACK SEC -DERV	ASSET-BACKED SECURITIES: HTM-FAIR VA	ASSET-BACKED SECURITIES:AFS-AMTZD CO	
37																																																																																																						0	0	7756	0	0	0	0	0	0	0	0	13529	13403	0	0	96	96	0	0	8350	8062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26838	26456	0	0	0	4863	4895	250	248	567	0	0	0	151	1438	1365	14749	595	245	449	1041	630	4389	1405	0	0																									0	0	0	0	
242																																																																																																						0	0	2098	0	0	0	0	0	0	0	0	4938	4955	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	89	0	0	0	0	0	0	8463	8386	0	0	0	3308	3270	1691	1681	835	116	71	0	833	1650	726	5105	0	0	1	0	0	0	0	0	0																									0	0	0	0	
279																																																																																																						0	0	0	0	0	34	34	0	0	0	0	0	0	349	351	232	234	32319	32059	29885	29328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	1315	200	124	0	0	0	0	38069	37602	33109	32437	0	3867	3843	2792	2751	0	0	706	0	0	54	0	320	596	4524	2783	336	998	448	1240	48419	10789	0	0																									0	0	0	0	
354																																																																																																						0	0	1462	0	0	0	0	0	0	0	0	3381	3341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3381	3341	0	0	0	0	0	0	0	834	0	0	526	408	703	194	1510	0	0	0	0	0	0	0	0	0																									0	0	0	0	
457																																																																																																						0	0	1189	0	0	0	0	0	0	0	0	903	896	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	327	1168	1163	0	321	322	265	267	0	0	365	0	0	0	363	929	102	90	0	3	2	0	0	0	0	0	0																									0	0	0	0	
505																																																																																																						0	0	58678	0	0	0	0	0	0	0	0	8575	8875	0	0	77	77	0	0	35340	34757	0	0	0	0	0	0	153	153	0	0	0	0	0	0	2263	2143	0	0	7440	7250	0	0	0	0	0	0	59195	58678	0	0	0	5347	5423	0	0	1793	0	0	2001	1709	802	12646	4389	0	13	73	48	4781	28124	1796	941	1355																									0	0	0	0	
1155																																																																																																						0	0	33535	1484	1513	0	0	0	0	0	0	18438	18745	94	95	0	0	87	87	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1892	1892	34658	34818	0	1705	1704	14736	14560	0	0	2812	0	0	2324	1511	9015	8982	14400	291	81	100	0	0	0	0	0	6																									0	0	0	0	
1351																																																																																																						0	0	19696	0	0	0	0	0	0	34954	34981	3000	3017	0	0	0	0	792	797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53682	53426	3000	3017	0	17936	17648	0	0	990	987	3460	0	0	1000	2460	9261	23213	19774	200	0	0	792	0	0	0	0	0																									0	0	0	0	
1454																																																																																																						0	0	21236	1995	2037	0	0	0	0	0	0	64006	63364	0	0	7061	6950	0	0	12101	11995	0	0	0	0	0	0	10743	10308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145043	143023	0	0	0	49128	48302	22179	21845	3100	9	67	1007	5902	12848	21688	65808	6450	1417	3869	113	391	5162	7993	1497	8811																									0	0	0	0	
