"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	127	46															5	126	2	213	0	0	3	41	0	0	0	0	false	true	
242	71	33													42	34													true	true	
279			34	1530	26	3645	10	3812	93	1721	4	394	4	864	3	42													true	false	
354			2	42	0	0	0	0	5	72	0	0	1	277			9	242	6	701	0	0	125	446	2	210	0	0	false	false	
457			14	593	4	651	7	2310	53	1267	7	773	7	2228			28	899	8	1428	3	982	51	1328	16	1853	7	2123	false	false	
505			23	1485	35	4771	39	15319	121	3303	39	4756	16	4860															false	false	
1155			52	1674	34	4311	40	12918	193	3900	47	4898	39	9384			7	323	6	687	1	450	54	1249	5	553	12	2873	false	false	
1351	0	0	170	5508	18	2954	8	3378	626	10382	24	2709	9	3364	0	0	102	4326	35	4062	2	539	332	4167	4	482	1	66	false	false	
1454			90	3218	69	8780	30	10822	445	7962	65	5248	29	8356			19	963	7	908	4	613	61	1546	10	917	3	435	false	false	
1557	0	0	16	493	6	902	1	490	53	703	4	548	0	0	50	340	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
1632			140	5259	115	16951	131	59787	983	19143	99	12585	56	21752			29	1008	17	2541	10	3093	88	2252	15	1913	4	1222	false	false	
1669	69	244													9	146													true	true	
1829			70	2634	46	5366	78	41769	136	3245	39	3656	42	21460															false	false	
1856			15	369	1	182	0	0	67	1646	9	830	2	512			11	473	5	598	0	0	37	516	5	424	0	0	false	false	
2040			46	2247	36	5450	47	23248	152	3502	14	1637	15	3637			7	113	5	743	3	985	25	320	1	150	0	0	false	false	
2161			86	1946	7	1160	0	0	704	5183	20	3178	8	2926			10	141	0	0	0	0	163	1259	5	825	0	0	false	false	
2376			4	208	41	6575	164	82166	22	1435	1	146	6	2905															false	false	
2451			19	518	9	978	4	1356	44	1128	8	1257	6	2521			62	1922	14	2047	4	1251	111	1910	7	808	3	827	false	false	
2554	0	32													16	47													true	true	
