"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37																																					0	1597	0	0	26456	0	636	0	1576	79182	63070	450	63520	0	1202	0	0	0	15662	1200	79182	0	0	11213	0	3500	0	6611	56459		0	46233	45031	-251	3886	0	0	0	
242																																					675	1109	0	0	8386	0	247	0	480	34167	26694	67	30371	0	171	0	3500	0	3796	120	34167	0	0	3633	0	120	0	5339	21355		0	20056	19885	-77	3385	0	0	110	
279																																					105	2403	72	38069	32437	258	4999	79	2821	142937	92076	501	122050	0	350	0	29473	0	20887	1	142937	0	0	21329	0	0	0	6653	85424		0	61559	61209	-443	485	0	0	0	
354																																					0	526	0	0	3341	0	81	0	196	8409	7063	37	7467	0	201	0	0	0	942	25	8409	0	0	444	0	500	0	1755	5308		0	4466	4265	-27	0	0	367	0	
457																																					11	970	0	326	1163	0	132	123	1140	31675	25483	224	28607	0	165	0	2000	0	3068	60	31675	0	0	573	0	2440	0	3382	22101		0	27975	27810	-5	0	0	900	0	
505																																					654	5249	20	0	58678	0	4112	157	7734	341976	245402	2486	315638	53	3183	1595	67750	0	26285	6480	341976	0	0	9771	0	10653	0	45403	199999		0	266960	263777	-619	0	0	0	0	
1155																																					1812	5753	0	1892	34818	0	4870	0	6063	183663	136747	1832	168318	0	1833	0	3000	0	15345	1600	183663	0	0	9185	0	4400	188	13109	123638		0	130100	128267	160	0	0	0	26739	
1351																																					0	2139	0	53682	3017	0	989	180	1682	127772	109808	831	110639	0	1147	0	0	0	17133	240	127772	0	0	16346	0	530	0	11731	98077		0	65156	64009	17	2074	0	0	0	
1454																																					25636	33303	27	0	143023	0	4664	0	8844	427016	390240	1138	391378	0	2118	0	0	0	35638	1000	427016	0	0	35444	0	1214	1651	113542	276698		0	211986	209868	-2020	0	0	0	0	
1557																																					50	1656	0	3644	8492	0	157	0	968	39220	31733	504	34373	0	381	0	2136	0	4847	200	39220	0	0	3765	0	800	0	6409	25324		0	21552	21171	82	3082	0	0	0	
1632																																					78	13204	0	0	57051	0	14458	575	16348	745695	552262	6460	683753	0	12384	0	57000	0	61942	1900	745695	0	0	27235	0	32444	417	19778	532484		0	655948	643564	363	0	0	64265	3766	
1669																																					2830	10440	1305	81875	45042	0	1624	5	8839	244472	201372	1362	203623	0	1811	0	889	0	40849	800	244472	0	0	39288	0	800	0	39229	162143		0	75369	73558	-39	18954	0	0	0	
1829																																					922	5990	832	0	87585	0	2982	0	8877	371856	286968	1913	335762	0	4002	8144	42045	0	36094	390	371856	0	0	33398	0	3100	0	55248	231720		0	260526	256524	-794	0	0	0	4836	
1856																																					116	638	0	109898	97641	0	461	0	7088	240031	167664	327	223091	0	189	98	54000	0	16940	500	240031	0	0	1116	0	17782	0	2578	165086		0	10058	9869	-2458	14222	0	1100	0	
2040																																					96	2661	0	0	41670	0	3784	0	5942	204107	160042	1598	188738	0	3618	0	22892	0	15369	480	204107	0	0	10610	0	4270	508	12088	147953		0	152745	149127	9	319	0	1353	2853	
2161																																					2000	4254	0	4	36738	0	1701	0	3607	107289	94027	1510	95537	0	567	0	0	0	11752	1000	107289	0	0	9618	0	1253	0	16861	77166		0	58652	58085	-119	900	0	0	0	
2376																																					263	7291	0	163951	169040	3817	9287	1280	72730	1416075	710673	20024	1226381	66	13533	0	448773	0	189628	500	1416075	0	0	203069	0	1157	0	42421	668252		-14704	1001949	988416	-394	0	0	46911	0	
2451																																					51	726	378	0	0	0	401	149	1656	39926	27110	393	35628	0	379	750	8125	0	4298	50	39926	0	0	1344	0	2904	150	2765	24345		0	35521	35142	0	523	0	0	0	
2554																																					1092	296	0	0	2437	0	114	0	109	9026	7898	54	7952	0	20	290	0	0	1074	50	9026	0	0	42	0	972	0	1522	6376		0	4058	4038	10	650	0	0	0	
2732																																					0	18233	1112	0	49016	0	6006	0	4535	517906	442245	6447	449055	0	3907	0	363	0	68851	0	517906	0	0	62799	0	5789	0	81621	360624		0	427411	423504	263	15500	0	0	0	
2750																																					694	1500	0	0	12060	0	533	0	2158	51879	39367	424	46791	0	347	0	7000	0	5088	87	51879	0	0	5120	0	93	0	2160	37207		0	35212	34865	-212	69	0	0	0	
2938																																					169	9911	0	0	47958	0	7766	3116	9984	421175	321232	3517	389949	0	7331	0	29000	0	31226	1250	421175	0	0	14162	0	15922	0	14110	307122		0	349602	342271	-108	0	0	33924	2276	
3252																																					990	5278	0	515	60382	0	517	0	3469	131929	112499	398	118697	0	996	0	2600	0	13232	200	131929	0	0	13888	0	300	0	11112	101387		0	61774	60778	-1156	0	0	3200	0	
3458																																					3432	1691	0	2120	9564	0	409	0	457	31111	23188	183	28131	0	289	0	0	0	2980	100	31111	0	0	2398	0	450	0	2482	20706		0	12706	12417	32	1021	0	0	4760	
3720																																					0	5292	0	11852	47013	0	3473	23	4758	180052	142793	1560	156901	0	1421	0	6112	0	23151	2400	180052	0	0	10443	0	10800	225	17496	125297		0	108837	107416	-492	0	0	2666	3770	
3953																																					21	4227	0	0	4	0	3972	0	3456	120771	106273	825	111095	0	1483	0	3997	0	9676	500	120771	0	0	5496	0	3680	10420	26725	79548		0	100154	98671	0	0	0	0	0	
4138																																					0	5279	0	0	32308	23	7868	714	2624	198880	176250	547	181443	0	1377	0	2022	0	17437	300	198880	0	0	17145	0	300	0	21864	154386		0	143301	141924	-308	8140	0	0	2624	
4156																																					269	4971	0	0	56368	0	4815	0	7227	187961	134748	1222	171220	0	1399	1783	35250	0	16741	1200	187961	0	0	8992	0	5981	651	20380	114368		0	111461	110062	568	1815	0	0	0	
4231																																					0	3080	0	0	32354	0	1084	174	1869	121717	104788	958	107746	0	787	0	0	0	13971	500	121717	0	0	2139	0	12100	0	15693	89094		0	83881	83094	-768	62	0	2000	0	
4437																																					110	5597	0	2384	42624	0	3731	0	4417	229599	191436	1284	206660	0	2098	0	9767	0	22939	963	229599	0	0	18345	0	3750	0	19059	172377		0	172765	170667	-119	69	0	0	4173	
4839																																					205	7812	0	0	66535	90	6339	177	3531	296263	215441	1311	273039	0	2483	0	40900	0	23224	1875	296263	0	0	13386	0	8429	0	37460	177981		0	214057	211574	-466	0	0	5500	9887	
5005																																					1051	3827	769	434	61698	0	7365	5350	15300	429505	323236	4083	391992	0	2774	2052	64673	0	37513	0	429505	0	0	799	0	37922	0	29230	294006		0	328206	325432	-1208	6227	0	0	0	
5069																																					400	1711	0	0	20743	0	18869	0	4374	358768	257163	6082	263245	0	8204	0	0	0	95523	4500	358768	0	0	87874	0	4129	0	14206	242957		0	304575	296371	-980	16300	0	0	0	
5135																																					94	8364	0	0	40554	0	3850	13	11176	324620	269096	1286	291882	0	3477	1042	21500	0	32738	651	324620	0	0	12758	0	19349	0	42666	226430		0	238989	235512	-20	24015	0	0	0	
