"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	PB/PSA FDIC CERTIFICATE NUMBER	
37								0	4048	398	0	0	46527	5496	12722	80	63297	0				
242								0	1404	136	0	0	17258	3498	8099	42	26761	0				
279								0	10679	363	420	1	62393	6411	18759	131	92251	0				
354								0	0	0	0	0	5712	793	1388	7	7100	0				
457								0	887	83	0	0	18334	2717	6337	30	25558	0				
505								0	6750	424	303	1	141431	20368	97403	378	245887	0				
1155								0	10674	575	326	1	85405	12120	40801	154	137206	0	137837	0		
1351								0	6806	580	593	1	38761	4994	64303	278	110463	0				
1454								0	18051	1447	283	1	201160	32676	171135	546	390629	0				
1557								0	1919	376	0	0	20471	2379	9429	47	31819	0				
1632								0	24339	1003	5778	13	317478	23766	208907	845	556502	0	551453	0		
1669								0	11166	543	0	0	114209	12800	77325	203	202700	0				
1829								0	18309	2348	4098	7	177700	32868	87934	371	288041	0				
1856								0	19	3	0	0	144823	7503	23149	26	167991	0				
2040								0	8724	686	0	0	102073	9533	50120	160	160917	0	161251	0		
2161								0	6855	317	332	1	45528	6825	41703	216	94418	0				
2376							63300	0	48514	3381	0	0	492882	48801	169489	1062	710885	0	714643	0		
2451								0	549	80	0	0	20904	1583	5657	32	27216	106				
2554								0	85	1	0	0	6084	796	1815	11	7984	0				
2732								0	9794	535	551	2	148982	20862	284392	636	443719	0				
2750								0	1922	115	0	0	22194	2196	15378	77	39494	0				
2938								0	6623	493	1382	4	170484	13826	145134	417	323623	0	324284	0		
3252								0	5375	252	0	0	36301	6391	71146	131	112822	0				
3458								0	479	25	0	0	13983	1735	8779	42	23241	0				
3720								0	4841	345	594	2	91458	10678	46122	227	143015	0				
3953								0	336	19	0	0	53854	6326	52151	222	106341	0				
4138								0	10055	616	1297	3	100548	16379	64659	343	176559	0				
4156								0	5735	292	257	1	68781	9863	59975	172	135120	372				
4231								0	10674	286	5317	14	58220	7082	31293	119	105504	0				
4437								0	8442	468	894	3	116319	13323	66013	349	191668	0				
4839								0	12209	455	2727	3	109894	10669	91312	374	216195	53				
5005								0	18446	1284	298	1	191727	20104	112767	607	323238	0				
5069								0	530	21	0	0	122766	1719	136279	417	259575	0				
5135								0	10796	485	326	1	97732	10872	160843	330	269697	0				
5210								0	53481	7766	1163	4	490111	59707	156459	790	701214	0				
5331								0	7924	872	0	0	127119	11731	83910	383	218953	0				
