RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
3,0,10,4,2,4,1,5,12,15,3,0,0,0,0,0,0,0,0,0,false,9,0,0,2,0,4,0,33,25,,,,,,,,,,,,,,,,37,2004-03-31
4,0,13,0,0,,,,5,,,0,,0,,0,,,,,false,0,,,0,0,5,0,0,0,,,,,,,,,,,,,,,,242,2004-03-31
12,0,19,0,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,false,13,0,0,5,0,0,0,47,17,,,,,,,,,,,,,,,,279,2004-03-31
3,0,2,7,2,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,false,1,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,354,2004-03-31
0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,39,0,,,,,,,,,,,,,,,,439,2004-03-31
5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,false,6,0,0,0,5,0,0,0,4,,,,,,,,,,,,,,,,457,2004-03-31
48,0,43,0,58,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,false,39,0,0,0,0,0,0,197,42,,,,,,,,,,,,,,,,505,2004-03-31
244,0,0,0,0,147,262,3089,164,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,123,0,282,168,,,,,,,,,,,,,,,,1146,2004-03-31
85,0,33,4,4,18,0,0,29,21,0,0,0,0,0,0,0,0,0,0,false,19,0,0,5,0,5,22,78,14,,,,,,,,,,,,,,,,1155,2004-03-31
3,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,13,0,0,0,0,5,3,0,6,,,,,,,,,,,,,,,,1351,2004-03-31
124,0,41,41,0,50,0,0,71,0,0,0,0,0,0,0,0,0,0,0,false,84,0,0,0,0,0,0,71,134,,,,,,,,,,,,,,,,1454,2004-03-31
0,0,5,0,0,0,0,0,7,13,6,0,0,0,0,0,0,0,0,0,false,6,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,1557,2004-03-31
23,0,26,19,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,19,0,0,14,0,8,13,263,21,,,,,,,,,,,,,,,,1632,2004-03-31
21,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,23,0,0,0,57,17,10,120,35,,,,,,,,,,,,,,,,1669,2004-03-31
0,0,0,0,0,0,0,0,68,91,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,139,0,,,,,,,,,,,,,,,,1829,2004-03-31
5,1,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,false,2,0,0,0,0,1,0,5,4,,,,,,,,,,,,,,,,1856,2004-03-31
19,0,19,6,4,7,12,0,26,13,11,0,0,0,0,0,0,0,0,0,false,8,0,0,3,0,5,5,22,20,,,,,,,,,,,,,,,,2040,2004-03-31
0,0,15,0,0,15,0,0,24,0,0,0,0,0,0,0,0,0,0,0,false,18,0,0,0,24,0,0,53,21,,,,,,,,,,,,,,,,2161,2004-03-31
78,126,84,28,28,452,0,0,58,46,61,0,0,0,0,0,0,0,0,0,false,36,0,0,0,0,3,47,282,59,,,,,,,,,,,,,,,,2376,2004-03-31
2,0,0,1,0,1,,,1,2,1,0,,0,,0,,,60,,false,1,,,0,0,0,0,8,3,,,,,,,,,,,,,,,,2451,2004-03-31
0,0,3,3,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,false,1,0,0,0,0,1,0,2,0,,,,,,,,,,,,,,,,2554,2004-03-31
29,0,47,15,39,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,false,40,0,0,0,0,21,0,183,33,,,,,,,,,,,,,,,,2732,2004-03-31
6,0,8,12,0,0,0,0,10,6,7,0,0,0,0,0,0,0,0,0,false,0,0,0,0,15,0,0,14,0,,,,,,,,,,,,,,,,2750,2004-03-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,303,0,,,,,,,,,,,,,,,,2938,2004-03-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,17,0,72,0,,,,,,,,,,,,,,,,2956,2004-03-31
0,0,0,0,0,19,0,0,22,22,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3252,2004-03-31
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,-30,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3458,2004-03-31
387,0,0,209,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,261,0,0,281,0,,,,,,,,,,,,,,,,3506,2004-03-31
123,0,0,0,0,47,0,0,64,67,68,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,67,,,,,,,,,,,,,,,,3579,2004-03-31
56,4,7,3,4,12,10,0,22,0,0,0,0,0,0,0,0,0,0,0,false,13,0,0,6,22,23,17,48,11,,,,,,,,,,,,,,,,3720,2004-03-31
46,0,19,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,11,0,0,5,12,11,0,20,20,,,,,,,,,,,,,,,,3953,2004-03-31
45,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,4138,2004-03-31
21,0,0,0,0,17,15,0,14,14,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,32,0,0,0,0,,,,,,,,,,,,,,,,4147,2004-03-31
11,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,false,8,0,0,2,30,23,3,79,13,,,,,,,,,,,,,,,,4156,2004-03-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,25,0,,,,,,,,,,,,,,,,4231,2004-03-31
36,0,27,34,0,76,0,0,26,0,0,0,0,0,0,0,2750,0,0,0,false,32,0,0,0,0,0,0,119,34,,,,,,,,,,,,,,,,4437,2004-03-31
0,0,5,1,0,1,0,0,2,2,9,0,0,0,0,0,0,0,0,0,false,1,0,0,0,0,0,1,3,2,,,,,,,,,,,,,,,,4745,2004-03-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,4839,2004-03-31
