RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
14,0,55,16,,4,10,5,23,38,0,0,0,0,0,0,0,0,0,0,false,30,,0,10,0,13,0,152,62,43,81,0,37,25,,,,,,,,,,,37,2009-12-31
0,0,60,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,242,2009-12-31
65,2,147,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,73,,0,29,0,10,169,316,66,0,47,0,0,0,,,,,,,,,,,279,2009-12-31
0,0,0,0,,31,0,0,25,0,0,0,0,0,0,0,0,0,0,0,false,0,,0,0,0,0,0,32,0,0,0,0,0,0,,,,,,,,,,,354,2009-12-31
0,0,0,0,,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,false,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,457,2009-12-31
283,0,189,0,,62,0,0,147,146,0,0,0,0,0,0,0,0,0,0,false,0,,0,0,0,46,59,746,0,301,150,0,0,0,,,,,,,,,,,505,2009-12-31
391,22,115,31,,56,0,0,82,0,0,0,0,0,0,0,0,0,0,0,false,90,,0,21,164,15,72,363,89,203,67,53,92,65,,,,,,,,,,,1155,2009-12-31
21,0,35,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,50,,0,0,0,12,89,0,37,0,13,0,39,0,,,,,,,,,,,1351,2009-12-31
545,0,202,0,,138,118,116,163,0,0,0,0,0,0,0,0,0,0,0,false,298,,0,63,189,68,68,366,393,1054,0,0,612,0,,,,,,,,,,,1454,2009-12-31
26,0,31,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1557,2009-12-31
