RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,114,150,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,37,2019-12-31
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,242,2019-12-31
58,0,258,75,,11,0,0,520,0,0,,,,,,0,0,0,0,false,76,0,0,35,103,23,579,715,90,0,95,0,21,20,0,0,0,0,,,,77,0,61,279,2019-12-31
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,354,2019-12-31
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,457,2019-12-31
300,0,0,0,,0,0,0,0,907,0,,,,,,0,0,0,0,false,0,0,0,0,133,0,0,895,0,692,0,0,353,0,0,0,0,0,,,,0,0,0,505,2019-12-31
591,0,156,0,,50,274,0,487,175,121,,,,,,0,0,0,0,false,0,0,0,0,156,0,48,418,95,751,0,0,59,0,0,0,0,0,,,,0,0,0,1155,2019-12-31
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1351,2019-12-31
919,0,437,0,,404,0,0,605,0,0,,,,,,0,0,0,0,false,426,0,0,0,0,0,0,446,0,2280,0,0,828,0,0,0,0,0,,,,0,0,0,1454,2019-12-31
51,0,67,5,,0,0,0,0,0,0,,,,,,0,0,0,0,false,72,0,0,23,300,37,0,780,88,799,68,0,201,63,0,0,0,0,,,,0,0,0,1669,2019-12-31
34,0,75,21,,0,0,0,0,0,0,,,,,,0,0,0,0,false,8,0,0,0,0,2,23,14,20,0,13,26,0,20,0,0,0,0,,,,0,0,0,1856,2019-12-31
0,0,0,0,,0,0,0,0,0,0,,,,,,2430,2323,0,0,false,0,0,0,0,104,0,0,509,0,476,0,0,376,0,0,0,0,0,,,,0,0,0,2161,2019-12-31
426,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,908,0,0,224,0,0,0,0,0,0,0,,,,0,0,0,2732,2019-12-31
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2750,2019-12-31
0,0,0,0,,0,0,0,354,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,165,0,133,0,0,0,0,0,,,,0,0,0,3252,2019-12-31
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3458,2019-12-31
221,31,211,0,,482,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,215,0,97,1016,0,0,155,157,109,98,0,0,0,0,,,,0,0,0,3720,2019-12-31
0,0,0,0,,1878,0,0,1271,0,0,,,,,,0,0,0,0,false,0,0,0,0,476,0,0,917,0,1394,0,0,886,1658,3378,881,0,0,,,,0,0,0,3971,2019-12-31
0,0,0,0,,0,0,0,206,170,0,,,,,,0,0,0,0,false,0,0,0,0,160,0,0,281,0,435,0,0,243,226,0,0,0,0,,,,0,0,0,4156,2019-12-31
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,377,0,150,0,0,153,0,0,0,0,0,,,,0,0,0,4231,2019-12-31
117,0,700,0,,0,0,0,489,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,217,0,0,253,0,0,0,0,0,0,0,,,,0,0,0,5069,2019-12-31
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,169,0,524,0,205,0,0,0,217,263,0,0,0,0,,,,0,0,0,5135,2019-12-31
0,0,748,0,,0,0,0,1121,0,0,,,,,,0,0,0,0,false,0,0,0,0,1160,0,0,676,0,2444,0,1104,1023,639,0,0,0,0,,,,0,0,0,5210,2019-12-31
0,0,0,0,,253,0,0,935,0,0,,,,,,0,0,0,0,false,0,0,0,0,242,0,0,1280,0,578,0,0,0,0,0,0,0,0,,,,0,0,0,5461,2019-12-31
