RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
7,0,32,6,7,8,3,8,35,20,11,0,0,0,0,0,0,0,0,0,false,24,0,0,6,0,10,0,87,50,,,,,,,,,,,,,,,,37,2003-09-30
0,0,36,0,0,23,,,,,,0,,0,,0,,,,,false,0,,,0,0,7,3,0,0,,,,,,,,,,,,,,,,242,2003-09-30
27,2,53,11,9,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,false,42,0,0,4,0,2,1,142,33,,,,,,,,,,,,,,,,279,2003-09-30
11,0,7,7,1,4,1,0,7,6,6,0,0,0,0,0,0,0,0,0,false,3,0,0,0,0,1,0,11,2,,,,,,,,,,,,,,,,354,2003-09-30
0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,133,0,,,,,,,,,,,,,,,,439,2003-09-30
0,0,14,0,0,0,0,0,17,15,14,0,0,0,0,0,0,0,0,0,false,0,0,0,0,16,0,0,0,14,,,,,,,,,,,,,,,,457,2003-09-30
152,0,135,0,166,0,0,0,293,0,0,0,0,0,0,0,4173,0,0,0,false,0,0,0,0,0,0,128,497,0,,,,,,,,,,,,,,,,505,2003-09-30
861,0,0,0,0,936,13314,12219,541,0,0,0,0,0,0,0,225,0,0,0,false,0,0,0,0,0,0,0,775,640,,,,,,,,,,,,,,,,1146,2003-09-30
230,0,141,10,13,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,65,0,0,16,0,12,61,179,59,,,,,,,,,,,,,,,,1155,2003-09-30
8,0,15,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,36,0,0,0,0,10,12,0,22,,,,,,,,,,,,,,,,1351,2003-09-30
244,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,false,213,0,0,0,0,0,0,191,308,,,,,,,,,,,,,,,,1454,2003-09-30
0,0,0,35,0,0,0,0,22,26,18,0,0,0,0,0,0,0,0,0,false,19,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1557,2003-09-30
88,0,78,63,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,56,0,0,49,0,28,33,759,63,,,,,,,,,,,,,,,,1632,2003-09-30
50,0,30,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,46,0,0,0,0,30,41,352,90,,,,,,,,,,,,,,,,1669,2003-09-30
0,0,0,0,0,0,0,0,185,262,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,338,0,,,,,,,,,,,,,,,,1829,2003-09-30
7,0,9,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,false,1,0,0,0,0,2,0,22,12,,,,,,,,,,,,,,,,1856,2003-09-30
