RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
3,0,21,4,5,6,2,6,23,13,7,0,0,0,0,0,0,0,0,0,false,18,0,0,4,0,7,0,57,36,,,,,,,,,,,,,,,,37,2003-06-30
0,0,24,0,0,,,,,,,0,,0,,0,,,,,false,7,,,0,0,7,0,11,0,,,,,,,,,,,,,,,,242,2003-06-30
15,1,35,10,6,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,false,30,0,0,0,0,2,1,92,22,,,,,,,,,,,,,,,,279,2003-06-30
7,0,5,7,1,3,0,0,7,6,3,0,0,0,0,0,0,0,0,0,false,2,0,0,0,0,1,0,9,2,,,,,,,,,,,,,,,,354,2003-06-30
0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,89,0,,,,,,,,,,,,,,,,439,2003-06-30
0,0,9,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,11,0,0,0,12,,,,,,,,,,,,,,,,457,2003-06-30
99,0,96,0,110,0,0,0,207,0,0,0,0,0,0,0,4173,0,0,0,false,0,0,0,0,0,0,83,331,0,,,,,,,,,,,,,,,,505,2003-06-30
534,0,0,0,0,358,7187,6991,353,0,0,0,0,0,0,0,225,0,0,0,false,0,0,0,0,0,0,0,424,404,,,,,,,,,,,,,,,,1146,2003-06-30
158,0,93,7,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,44,0,0,10,0,9,42,115,36,,,,,,,,,,,,,,,,1155,2003-06-30
6,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,23,0,0,0,0,6,7,0,11,,,,,,,,,,,,,,,,1351,2003-06-30
154,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,false,151,0,0,0,0,0,0,129,200,,,,,,,,,,,,,,,,1454,2003-06-30
0,0,0,33,0,0,0,0,14,11,11,0,0,0,0,0,0,0,0,0,false,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1557,2003-06-30
53,0,52,35,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,38,0,0,26,0,17,22,509,43,,,,,,,,,,,,,,,,1632,2003-06-30
33,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,33,0,0,0,0,24,26,205,66,,,,,,,,,,,,,,,,1669,2003-06-30
0,0,0,0,0,133,0,0,120,173,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,183,0,,,,,,,,,,,,,,,,1829,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1856,2003-06-30
40,16,37,8,8,11,12,0,34,26,22,0,0,0,0,0,0,0,0,0,false,27,0,0,5,0,9,13,20,43,,,,,,,,,,,,,,,,2040,2003-06-30
0,0,31,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,false,33,0,0,0,48,0,0,88,40,,,,,,,,,,,,,,,,2161,2003-06-30
140,155,238,20,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,78,0,0,0,0,7,120,407,118,,,,,,,,,,,,,,,,2376,2003-06-30
3,0,6,12,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,false,3,0,0,0,0,2,0,18,5,,,,,,,,,,,,,,,,2451,2003-06-30
0,0,5,1,1,4,0,0,8,3,3,0,0,0,0,0,0,0,0,0,false,1,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,2554,2003-06-30
14,0,72,30,42,18,24,20,51,61,57,0,0,0,0,0,0,0,0,0,false,76,0,0,0,0,44,10,364,82,,,,,,,,,,,,,,,,2732,2003-06-30
20,0,15,55,0,0,0,0,20,30,26,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,35,0,,,,,,,,,,,,,,,,2750,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2370,0,0,0,false,0,0,0,0,0,0,0,612,0,,,,,,,,,,,,,,,,2938,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,138,0,,,,,,,,,,,,,,,,2956,2003-06-30
0,0,0,0,0,0,0,0,138,36,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3252,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3458,2003-06-30
725,0,0,0,0,563,499,0,0,0,0,0,0,0,0,0,0,0,1930,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3506,2003-06-30
129,0,0,0,0,93,0,0,103,91,91,0,0,0,0,0,0,0,884,0,true,0,0,0,0,0,0,0,0,164,,,,,,,,,,,,,,,,3579,2003-06-30
88,11,18,11,10,17,23,0,11,0,0,0,0,0,0,0,0,0,0,0,false,33,0,0,7,38,23,30,77,27,,,,,,,,,,,,,,,,3720,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3953,2003-06-30
54,0,78,0,0,0,0,0,50,45,0,0,0,0,0,0,0,0,0,0,false,45,0,0,0,0,0,0,50,0,,,,,,,,,,,,,,,,4138,2003-06-30
0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,64,0,0,0,33,,,,,,,,,,,,,,,,4147,2003-06-30
31,0,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,12,0,0,1,0,26,3,154,27,,,,,,,,,,,,,,,,4156,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,31,0,0,0,0,0,0,54,30,,,,,,,,,,,,,,,,4231,2003-06-30
69,0,0,116,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,67,0,0,0,0,0,0,231,60,,,,,,,,,,,,,,,,4437,2003-06-30
0,0,10,2,1,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,false,2,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,4745,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,215,0,,,,,,,,,,,,,,,,4839,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,140,0,0,153,0,,,,,,,,,,,,,,,,5005,2003-06-30
0,0,31,0,0,38,30,0,34,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,37,30,,,,,,,,,,,,,,,,5050,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5069,2003-06-30
22,0,18,65,11,0,0,0,137,71,0,0,0,0,0,0,0,0,0,0,false,12,0,0,0,0,7,31,274,43,,,,,,,,,,,,,,,,5135,2003-06-30
0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,246,0,0,0,0,,,,,,,,,,,,,,,,5210,2003-06-30
154,3,19,36,67,538,688,0,410,0,0,0,0,0,0,0,0,0,0,0,false,321,0,0,165,0,113,52,308,221,,,,,,,,,,,,,,,,5247,2003-06-30
0,0,62,34,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,114,0,,,,,,,,,,,,,,,,5274,2003-06-30
0,0,0,0,0,0,0,0,72,108,0,0,0,0,0,0,0,0,86,0,false,0,0,0,0,0,0,89,225,0,,,,,,,,,,,,,,,,5331,2003-06-30
67,0,10,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,63,0,0,54,34,14,108,186,100,,,,,,,,,,,,,,,,5461,2003-06-30
0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,46,0,0,28,0,,,,,,,,,,,,,,,,5751,2003-06-30
0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,3195,0,,,,,,,,,,,,,,,,5939,2003-06-30
27,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,102,0,,,,,,,,,,,,,,,,6039,2003-06-30
4,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,6,0,0,0,0,3,0,17,7,,,,,,,,,,,,,,,,6057,2003-06-30
7,0,21,3,3,6,0,0,31,0,0,0,0,0,0,0,0,0,0,0,false,19,0,0,4,0,6,0,48,22,,,,,,,,,,,,,,,,6141,2003-06-30
65,0,20,110,28,182,208,79,123,110,61,0,0,0,0,0,0,0,0,0,false,82,0,0,0,0,17,73,0,112,,,,,,,,,,,,,,,,6329,2003-06-30
410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,191,402,,,,,,,,,,,,,,,,6972,2003-06-30
0,0,0,0,0,0,0,0,19382,728,0,0,0,0,0,0,8,0,0,0,true,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,7009,2003-06-30
20,0,26,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,40,0,0,5,0,10,19,0,40,,,,,,,,,,,,,,,,7045,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,12,0,0,0,0,0,0,26,10,,,,,,,,,,,,,,,,7157,2003-06-30
0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,482,0,,,,,,,,,,,,,,,,7166,2003-06-30
15,0,25,23,10,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0,false,11,0,0,0,0,0,0,54,17,,,,,,,,,,,,,,,,7456,2003-06-30
0,0,0,0,0,14,0,0,15,15,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,28,31,,,,,,,,,,,,,,,,7634,2003-06-30
0,0,35,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,52,0,,,,,,,,,,,,,,,,8033,2003-06-30
0,0,0,0,0,0,0,0,11840,103125,6921,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,8399,0,,,,,,,,,,,,,,,,8417,2003-06-30
0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,19,24,,,,,,,,,,,,,,,,8462,2003-06-30
0,0,0,0,0,,,,,,,0,,0,,0,,,,,false,0,,,0,0,0,0,1048,0,,,,,,,,,,,,,,,,8547,2003-06-30
23,15,51,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,false,16,0,0,0,0,0,0,38,0,,,,,,,,,,,,,,,,8631,2003-06-30
868,0,0,0,0,0,0,0,2074,589,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,549,,,,,,,,,,,,,,,,9115,2003-06-30
0,0,0,0,0,165,0,0,89,47,107,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,206,95,,,,,,,,,,,,,,,,9160,2003-06-30
0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,9357,2003-06-30
0,0,22,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,9553,2003-06-30
0,0,0,0,0,788,3243,0,757,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,9807,2003-06-30
20,0,30,0,0,,,,,,,0,,0,,0,,,,,false,23,,,0,0,0,0,146,20,,,,,,,,,,,,,,,,9955,2003-06-30
0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,71,0,,,,,,,,,,,,,,,,10157,2003-06-30
144,0,33,7,18,17,455,0,26,78,42,0,0,0,0,0,0,0,0,0,false,104,0,0,20,5,25,15,31,102,,,,,,,,,,,,,,,,10250,2003-06-30
0,0,0,0,0,0,0,0,57,65,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,10849,2003-06-30
0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,3000,0,0,0,false,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,10858,2003-06-30
25,0,38,2,8,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,false,39,0,0,19,0,21,35,158,51,,,,,,,,,,,,,,,,11145,2003-06-30
0,0,76,0,0,0,0,0,71,71,36,0,0,0,0,0,0,0,0,0,false,46,0,0,0,105,0,0,0,47,,,,,,,,,,,,,,,,11640,2003-06-30
0,0,0,0,0,38,33,,33,,,0,,0,,0,,,,,false,0,,,0,0,0,0,30,0,,,,,,,,,,,,,,,,11837,2003-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,324,102,,,,,,,,,,,,,,,,12030,2003-06-30
0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,false,43,0,0,0,0,0,0,0,46,,,,,,,,,,,,,,,,12058,2003-06-30
23,0,33,6,12,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,false,51,0,0,10,0,44,21,0,78,,,,,,,,,,,,,,,,12142,2003-06-30
0,0,0,0,0,38,0,0,31,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,63,0,,,,,,,,,,,,,,,,12245,2003-06-30
0,0,0,0,0,266767,8972,13504,214527,16895,0,0,0,0,0,0,0,0,-7846,-21459,false,0,0,0,0,22181,0,0,0,0,,,,,,,,,,,,,,,,12311,2003-06-30
