RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
39,0,52,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,33,0,0,8,0,10,37,0,27,211,29,0,104,19,0,0,0,0,,,,0,0,0,7045,2017-06-30
106,1,136,1,,,,,52,,,,,,,,0,0,0,0,false,5,0,0,,47,1,16,225,19,38,79,135,-1,23,0,0,0,0,,,,,2,56,7072,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,7157,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,7456,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,126,,,,,,,0,0,0,0,,,,,,,7634,2017-06-30
7,32,81,30,,109,,,,,,,,,,,0,0,0,0,false,26,0,0,4,28,4,,99,18,,26,29,,20,0,0,0,0,,,,,52,4,8033,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,97,0,147,0,0,81,0,0,0,0,0,,,,0,0,0,8462,2017-06-30
16,0,44,0,,,,,11,,,,,,,,0,0,0,0,false,11,0,0,0,29,3,59,136,6,,23,4,14,0,0,0,0,0,,,,,0,11,8631,2017-06-30
0,0,0,0,,178,0,0,254,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,144,0,0,9357,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,9553,2017-06-30
538,,,,,154,153,,213,,,,,,,,0,0,0,0,true,,0,0,,4202,,,1302,,,300,341,,,0,0,0,0,,,,,5061,,9807,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,126,,,,,,,0,0,0,0,,,,,,,9955,2017-06-30
