RIAD3582,RIAD3583,RIAD3584,RIAD3585,RIAD3588,RIAD3589,RIAD3590,RIAD3591,RIAD4266,RIAD4267,RIAD4608,RIAD4617,RIAD4618,RIAD4627,RIAD4628,RIAD4635,RIAD4638,RIAD4643,RIAD4644,RIAD4645,RIAD4646,RIAD4652,RIAD4653,RIAD4654,RIAD4655,RIAD4658,RIAD4659,RIAD4662,RIAD4663,RIAD4664,RIAD4665,RIAD4668,RIAD4669,RIAD5409,RIAD5410,RIAD5411,RIAD5412,RIADB512,RIADB513,RIADB514,RIADB515,RIADB516,RIADB517,RIADC217,RIADC218,RIADC234,RIADC235,RIADC388,RIADC880,RIADC891,RIADC892,RIADC893,RIADC894,RIADC895,RIADC896,RIADC897,RIADC898,RIADF185,RIADF187,RIADF188,RIADK129,RIADK133,RIADK205,RIADK206,IDRSSD,RCON9999
,,0,0,0,0,,,11,1,0,,,0,0,17,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,3458,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,202,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,5,0,0,0,0,,,0,0,202,1,0,0,0,0,,,,,,,,3720,2010-06-30
,,384,0,0,0,,,0,0,0,,,0,0,1759,143,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,6,1,0,0,0,825,,,0,0,74,0,327,0,0,0,,,,,,,,3953,2010-06-30
,,44,0,0,0,,,0,0,10,,,0,16,1307,1041,0,27,,,,,,,,,,,,,,,0,0,0,0,,,0,0,26,50,0,0,0,0,,,100,0,24,0,0,0,45,0,,,,,,,,4138,2010-06-30
,,0,0,0,0,,,0,0,73,,,0,5,1336,502,0,0,,,,,,0,,,,,,0,,,0,2,0,0,,,0,0,95,19,90,58,141,117,,,0,0,481,60,0,0,0,0,,,,,,,,4156,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,758,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,59,11,0,0,0,0,,,0,0,0,0,699,0,0,0,,,,,,,,4231,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,4,269,0,0,13,,,,,,,,,,,,,,,0,0,0,0,,,0,0,256,6,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,4437,2010-06-30
,,0,0,0,0,,,0,0,1,,0,0,0,553,3,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,70,3,,,0,0,44,6,0,0,125,0,,,0,0,308,0,3,42,0,0,0,0,,,,,,4839,2010-06-30
,,0,0,771,0,,,0,0,55,,0,0,0,8192,2772,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,770,0,,,3518,27,0,3,0,2,361,0,0,0,,,,,,5005,2010-06-30
,,0,0,0,0,,,0,0,0,,0,0,0,10,10,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,4771,0,0,0,0,0,0,0,0,,,,,,5069,2010-06-30
,,0,0,100,0,,,0,0,0,,0,0,0,451,27,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,12,1,35,13,0,0,223,0,,,0,0,54,0,0,0,0,0,0,0,,,,,,5135,2010-06-30
,,0,0,0,0,,,0,0,1,,0,0,0,853,612,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,6,0,,,0,0,98,5,0,0,65,72,,,0,0,0,0,0,0,0,0,0,0,,,,,,5210,2010-06-30
,,0,0,0,0,,,0,0,0,,0,0,0,118,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,17,0,,,0,0,1,1,0,0,0,0,,,100,0,0,0,0,0,0,0,0,0,,,,,,5331,2010-06-30
,,0,0,0,0,,,0,0,15,,0,0,0,268,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,100,1,,,0,0,53,0,0,2,16,0,,,0,0,5,0,1,0,93,0,0,0,,,,,,5461,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,11,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,11,2,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,5751,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,77,67,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,1,10,15,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,6039,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,77,46,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,31,11,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,6141,2010-06-30
,,0,0,0,0,,,0,0,30,,0,0,0,5218,404,0,29,,0,0,,0,29,,,0,,0,0,,,0,0,452,0,,,51,2,969,123,0,1,554,471,,,562,36,1404,0,57,20,265,0,0,0,,,,,,6329,2010-06-30
,,0,0,0,0,,,0,0,313,,0,0,0,21622,9009,0,0,,0,0,,0,0,,,0,,0,0,,,4043,15,40,0,,,0,0,972,6,0,0,0,286,,,332,453,8091,215,1300,0,1592,60,0,0,,,,,,6972,2010-06-30
,,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,7009,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,93,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,16,0,77,16,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,7045,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,85,64,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,21,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,7157,2010-06-30
,,0,0,0,0,,,0,0,5,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,7456,2010-06-30
,,0,0,0,0,,,0,0,2,,,0,0,1475,215,0,26,,,,,,,,,,,,,,,0,0,0,0,,,0,0,3,8,0,0,11,0,,,190,0,0,0,1030,31,0,0,,,,,,,,7634,2010-06-30
,,0,0,0,0,,,0,0,2,,,0,40,28,0,0,0,,,,,,0,,,,,,40,,,0,0,0,0,,,0,0,20,5,0,0,8,0,,,0,0,0,0,0,0,0,0,,,,,,,,8033,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,27,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,27,22,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,8462,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,56,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,1,3,0,0,55,0,,,0,0,0,0,0,0,0,0,,,,,,,,8631,2010-06-30
,,0,0,0,0,,,0,0,5,,0,0,0,248,244,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,4,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,9357,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,9553,2010-06-30
,,0,0,0,0,,,0,0,17,,0,0,0,12675,471,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,268,48,,,0,0,943,13,0,0,153,0,,,801,0,9892,110,3,0,144,0,0,0,,,,,,9807,2010-06-30
,,0,0,0,0,,,0,0,6,,,0,0,70,50,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,3,3,0,0,0,0,,,0,0,0,0,0,0,17,0,,,,,,,,9955,2010-06-30
,,0,0,27,3,,,0,3,0,,,0,0,1818,2,0,140,,,,,,140,,,,,,0,,,0,0,0,0,,,0,0,2,2,0,0,0,0,,,692,0,69,0,886,7,0,0,,,,,,,,10157,2010-06-30
,,7,0,0,0,,,0,0,4,,0,0,35,5040,1953,0,76,,0,0,,0,0,,,0,,0,0,,,0,0,259,20,,,0,0,138,38,0,37,226,455,,,5,0,800,0,468,5,653,0,0,0,,,,,,10250,2010-06-30
,,0,15,0,39,,,0,0,0,,0,0,0,598,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,0,0,1,0,400,0,,,0,0,198,0,0,0,0,0,0,0,,,,,,10849,2010-06-30
,,0,0,101,0,,,0,0,33,,0,0,25,673,408,0,61,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,53,32,0,2,0,29,0,,0,0,3,0,0,0,18,0,0,0,,,,,,10858,2010-06-30
,,0,0,0,0,,,0,0,22,,,0,0,361,106,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,44,18,0,0,211,0,,,0,0,0,0,0,0,0,0,,,,,,,,11145,2010-06-30
,,0,45,0,0,,,0,0,157,,0,0,23,302,226,0,19,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,15,16,3,0,17,0,,,9,0,16,0,0,0,0,0,0,0,,,,,,11640,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,624,403,0,3,,,,,,,,,,,,,,,0,0,41,0,,,2,0,5,1,0,0,20,0,,,0,0,0,0,0,0,150,0,,,,,,,,11837,2010-06-30
,,94,446,0,0,,,0,0,235,,0,0,15,2968,26,0,11,,0,0,,0,11,,,0,,0,15,,,0,0,0,0,,,0,0,147,281,304,3,499,0,,,0,0,1012,298,806,526,373,0,0,0,,,,,,12030,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,49,207,0,0,52,,,,,,,,,,,,,,,0,0,0,0,,,0,1,26,13,0,0,7,0,,,0,0,0,0,122,0,0,0,,,,,,,,12142,2010-06-30
,,0,0,0,0,,,0,0,1,,,0,0,280,0,0,2,,,,,,,,,,,,,,,0,0,0,0,,,0,0,17,0,0,0,127,0,,,0,0,0,0,134,18,0,0,,,,,,,,12245,2010-06-30
,,202,22,14743,475,,,17204,4417,22405,22405,0,0,2029,553841,74368,0,7657,74368,0,0,0,0,200,,,0,0,0,23,,,71584,22106,38643,1904,0,0,0,0,34878,11260,6624,1586,51152,121338,,14875,16445,890,62182,830,32912,1200,81917,5078,2329,1248,3169,,,,,12311,2010-06-30
