RIAD3582,RIAD3583,RIAD3584,RIAD3585,RIAD3588,RIAD3589,RIAD3590,RIAD3591,RIAD4266,RIAD4267,RIAD4608,RIAD4617,RIAD4618,RIAD4627,RIAD4628,RIAD4635,RIAD4638,RIAD4643,RIAD4644,RIAD4645,RIAD4646,RIAD4652,RIAD4653,RIAD4654,RIAD4655,RIAD4658,RIAD4659,RIAD4662,RIAD4663,RIAD4664,RIAD4665,RIAD4668,RIAD4669,RIAD5409,RIAD5410,RIAD5411,RIAD5412,RIADB512,RIADB513,RIADB514,RIADB515,RIADB516,RIADB517,RIADC217,RIADC218,RIADC234,RIADC235,RIADC388,RIADC880,RIADC891,RIADC892,RIADC893,RIADC894,RIADC895,RIADC896,RIADC897,RIADC898,RIADF185,RIADF187,RIADF188,RIADK129,RIADK133,RIADK205,RIADK206,IDRSSD,RCON9999
,,0,0,0,0,,,0,0,0,,,0,0,222,17,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,81,32,2,0,53,0,,,58,0,0,0,13,0,0,0,,,,,,,,37,2009-09-30
,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,242,2009-09-30
,,0,0,0,0,,,0,0,0,,,0,0,99,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,57,1,0,0,42,0,,,0,0,0,0,0,0,0,0,,,,,,,,279,2009-09-30
,,0,0,0,0,,,0,0,5,,,0,2,0,0,0,0,,,,,,0,,,,,,2,,,0,0,0,0,,,0,0,0,5,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,354,2009-09-30
,,0,0,0,0,,,0,0,2,,,0,0,65,34,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,13,6,0,0,12,1,,,0,0,0,0,0,0,5,0,,,,,,,,457,2009-09-30
,,0,0,0,0,,,0,0,8,,0,0,1,266,0,0,5,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,113,17,0,1,146,0,,,0,0,0,0,0,0,2,0,0,0,,,,,,505,2009-09-30
,,0,0,0,0,,,0,0,2,,,0,2,277,157,0,13,,,,,,,,,,,,,,,0,0,0,0,,,10,0,33,2,0,0,0,1,,,0,0,0,0,8,0,55,0,,,,,,,,1155,2009-09-30
,,0,0,0,0,,,0,0,7,,,0,0,139,23,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,81,6,2,0,0,0,0,,0,0,0,0,0,0,35,0,,,,,,,,1351,2009-09-30
,,7,0,0,0,,,0,0,22,,0,0,6,115,27,0,15,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,66,6,0,0,0,0,,,0,316,0,0,0,0,0,0,0,0,,,,,,1454,2009-09-30
,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,1557,2009-09-30
,,0,0,13,0,,,0,0,41,,0,0,50,14651,1157,0,1,,0,0,,0,0,,,0,,0,50,,,0,0,726,120,,,0,0,177,63,127,2,559,44,,,2037,0,9531,72,0,0,406,5,0,0,,,,,,1632,2009-09-30
,,0,0,0,0,,,0,0,1,,,0,0,192,2,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,159,41,1,0,0,0,,,0,0,0,0,25,0,6,0,,,,,,,,1669,2009-09-30
,,0,0,0,0,,,0,0,6,,0,0,0,225,88,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,11,3,71,55,0,0,55,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,1829,2009-09-30
,,0,0,0,0,,,0,0,51,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,1856,2009-09-30
,,0,0,0,0,,,0,0,98,,,0,0,92,25,0,0,,,,,,,,,,,,,,,0,0,0,0,,,3,4,48,6,0,0,16,0,,,0,0,0,0,0,2,0,4,,,,,,,,2040,2009-09-30
