RIAD3582,RIAD3583,RIAD3584,RIAD3585,RIAD3588,RIAD3589,RIAD3590,RIAD3591,RIAD4266,RIAD4267,RIAD4608,RIAD4617,RIAD4618,RIAD4627,RIAD4628,RIAD4635,RIAD4638,RIAD4643,RIAD4644,RIAD4645,RIAD4646,RIAD4652,RIAD4653,RIAD4654,RIAD4655,RIAD4658,RIAD4659,RIAD4662,RIAD4663,RIAD4664,RIAD4665,RIAD4668,RIAD4669,RIAD5409,RIAD5410,RIAD5411,RIAD5412,RIADB512,RIADB513,RIADB514,RIADB515,RIADB516,RIADB517,RIADC217,RIADC218,RIADC234,RIADC235,RIADC388,RIADC880,RIADC891,RIADC892,RIADC893,RIADC894,RIADC895,RIADC896,RIADC897,RIADC898,RIADF185,RIADF187,RIADF188,RIADK129,RIADK133,RIADK205,RIADK206,IDRSSD,RCON9999
0,0,0,0,0,0,17,0,0,0,0,,,0,0,323,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,226,53,12,0,80,0,,,,,,,,,,,,,,,,,,37,2002-12-31
0,0,0,0,0,0,0,0,0,0,0,,,0,0,20,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,20,1,0,0,0,0,,,,,,,,,,,,,,,,,,242,2002-12-31
0,0,0,0,0,0,0,0,0,0,0,,,0,0,9,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,9,7,0,0,0,0,,,,,,,,,,,,,,,,,,279,2002-12-31
0,0,0,0,0,0,0,4,0,0,6,,,0,2,50,0,0,8,,,,,,8,,,,,,2,,,0,0,0,0,,,0,0,42,22,0,0,0,0,,,,,,,,,,,,,,,,,,354,2002-12-31
0,0,0,24,0,0,131,0,0,0,84,,,0,0,573,273,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,111,17,22,0,58,0,,,,,,,,,,,,,,,,,,439,2002-12-31
0,0,0,0,0,0,3,0,0,0,0,,,0,6,7,0,0,0,,,,,,0,,,,,,6,,,0,0,0,0,,,0,0,4,1,0,0,0,0,,,,,,,,,,,,,,,,,,457,2002-12-31
0,0,0,0,1665,0,200,9,0,0,66,,,0,0,2529,414,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,5,0,177,58,17,0,68,0,,,,,,,,,,,,,,,,,,505,2002-12-31
35,20,0,0,0,0,0,0,0,0,5,,0,0,0,567,45,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,6,5,,,372,16,109,2,0,0,0,0,,,,,,,,,,,,,,,,,,1146,2002-12-31
0,0,0,0,0,0,0,0,0,0,1,,,0,0,85,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,3,0,52,10,0,0,30,0,,,,,,,,,,,,,,,,,,1155,2002-12-31
0,0,0,0,0,0,0,0,0,0,9,,,0,0,110,14,0,18,,,,,,18,,,,,,0,,,0,0,0,0,,,0,0,78,7,0,0,0,0,,,,,,,,,,,,,,,,,,1351,2002-12-31
0,0,0,0,0,0,0,0,0,0,6,,,0,5,178,2,0,22,,,,,,0,,,,,,0,,,0,0,0,0,,,28,5,126,28,0,0,0,0,,,,,,,,,,,,,,,,,,1454,2002-12-31
