RIAD3582,RIAD3583,RIAD3584,RIAD3585,RIAD3588,RIAD3589,RIAD3590,RIAD3591,RIAD4266,RIAD4267,RIAD4608,RIAD4617,RIAD4618,RIAD4627,RIAD4628,RIAD4635,RIAD4638,RIAD4643,RIAD4644,RIAD4645,RIAD4646,RIAD4652,RIAD4653,RIAD4654,RIAD4655,RIAD4658,RIAD4659,RIAD4662,RIAD4663,RIAD4664,RIAD4665,RIAD4668,RIAD4669,RIAD5409,RIAD5410,RIAD5411,RIAD5412,RIADB512,RIADB513,RIADB514,RIADB515,RIADB516,RIADB517,RIADC217,RIADC218,RIADC234,RIADC235,RIADC388,RIADC880,RIADC891,RIADC892,RIADC893,RIADC894,RIADC895,RIADC896,RIADC897,RIADC898,RIADF185,RIADF187,RIADF188,RIADK129,RIADK133,RIADK205,RIADK206,IDRSSD,RCON9999
,,0,0,0,0,,,0,0,0,,,0,0,45,0,0,3,,,,,,,,,,,,,,,0,0,0,0,,,0,0,35,59,1,0,7,0,,,0,0,0,0,0,0,0,0,,,,,,,,37,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,9,0,0,0,0,,,0,2,0,0,0,0,0,0,,,,,,,,242,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,25,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,25,6,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,279,2008-09-30
,,0,0,0,0,,,0,0,3,,,0,2,29,4,0,0,,,,,,0,,,,,,2,,,0,0,0,0,,,0,0,18,6,0,0,7,0,,,0,0,0,0,0,0,0,2,,,,,,,,354,2008-09-30
,,0,0,0,0,,,0,0,1,,,0,0,128,100,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,28,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,457,2008-09-30
,,0,0,0,0,,,0,0,4,,0,0,1,381,0,0,4,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,132,30,4,0,177,68,,,0,0,0,0,0,0,0,0,0,0,,,,,,505,2008-09-30
,,0,0,0,0,,,0,0,327,,,0,0,383,370,0,5,,,,,,,,,,,,,,,0,0,0,0,,,2,4,6,6,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,1155,2008-09-30
,,0,0,0,0,,,0,0,1,,,0,0,62,42,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,20,31,2,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,1351,2008-09-30
,,0,0,0,0,,,0,0,0,,0,0,12,49,0,0,19,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,30,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,1454,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,2,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,1557,2008-09-30
,,0,0,0,0,,,0,0,112,,0,0,57,2205,268,0,1,,0,0,,0,0,,,0,,0,57,,,0,0,152,0,,,0,0,137,40,4,0,45,109,,,515,0,926,1,0,0,52,226,0,0,,,,,,1632,2008-09-30
,,0,0,0,0,,,0,0,4,,,0,0,109,0,0,6,,,,,,,,,,,,,,,0,0,0,0,,,0,0,92,52,1,0,11,0,,,0,0,0,0,0,0,0,0,,,,,,,,1669,2008-09-30
,,0,0,0,0,,,0,0,4,,0,0,0,194,71,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,5,9,75,20,0,0,43,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,1829,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,8,2,0,0,2,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,1856,2008-09-30
,,0,0,0,0,,,0,0,1,,,0,0,2496,1244,0,0,,,,,,,,,,,,,,,0,0,0,0,,,2,3,34,14,0,0,0,0,,,0,0,1216,0,0,0,0,5,,,,,,,,2040,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,77,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,4,4,52,24,0,0,21,0,,,0,0,0,0,0,0,0,0,,,,,,,,2161,2008-09-30
,,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,2376,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,621,287,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,2,0,1,0,14,0,,,0,0,318,0,0,0,0,0,,,,,,,,2451,2008-09-30
,,0,0,0,0,,,0,0,1,,,0,0,26,26,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,2554,2008-09-30
,,0,0,0,0,,,0,0,20,,0,0,0,22,17,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,5,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,2732,2008-09-30
,,0,0,0,0,,,0,0,17,,,0,0,47,0,0,20,,,,,,20,,,,,,0,,,0,0,0,0,,,0,0,27,0,2,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,2750,2008-09-30
,,0,0,0,0,,,0,0,36,,0,0,10,1059,622,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,15,41,,,0,0,37,44,0,99,37,43,,,23,0,0,0,209,0,73,0,0,0,,,,,,2938,2008-09-30
,,0,10,0,0,,,0,0,45,,,0,8,434,114,0,37,,,,,,37,,,,,,8,,,0,0,0,0,,,0,0,216,119,6,0,0,0,,,0,0,0,0,0,0,67,30,,,,,,,,3252,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,6,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,2,0,0,0,0,0,,,0,0,4,0,0,0,0,0,,,,,,,,3458,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,13,6,0,3,,,,,,3,,,,,,0,,,0,0,0,0,,,0,0,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,3720,2008-09-30
,,0,6,0,0,,,0,0,88,,,0,30,392,192,0,101,,,,,,101,,,,,,30,,,0,0,0,0,,,0,0,43,18,0,0,56,0,,,0,0,0,0,0,0,0,0,,,,,,,,3953,2008-09-30
,,0,0,0,0,,,0,0,1,,,0,87,1228,277,0,130,,,,,,,,,,,,,,,0,0,0,0,,,0,0,274,77,57,0,23,0,,,0,0,0,0,17,0,507,0,,,,,,,,4138,2008-09-30
,,4,1,0,0,,,0,0,237,,,0,21,419,25,0,285,,,,,,285,,,,,,17,,,0,0,4,0,,,0,0,65,13,11,0,35,0,,,0,0,0,0,0,0,1,5,,,,,,,,4156,2008-09-30
,,0,0,0,0,,,0,0,2,,,0,0,80,12,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,68,35,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,4231,2008-09-30
,,0,0,0,0,,,0,0,122,,,0,9,88,0,0,9,,,,,,,,,,,,,,,0,0,42,0,,,0,0,31,239,0,0,6,0,,,0,0,0,6,0,0,0,0,,,,,,,,4437,2008-09-30
,,0,0,68,0,,,0,0,0,,,0,6,405,0,0,29,,,,,,,,,,,,,,,0,0,0,0,,,0,0,31,6,0,0,6,0,,,0,0,271,32,0,0,0,0,,,,,,,,4839,2008-09-30
,,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,5005,2008-09-30
,,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,5069,2008-09-30
,,0,0,0,0,,,0,0,0,,0,0,0,230,21,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,3,2,26,8,0,0,4,5,,,0,0,171,0,0,0,0,0,0,0,,,,,,5135,2008-09-30
,,0,0,0,0,,,0,0,7,,0,0,0,524,163,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,46,17,0,0,0,0,,,0,0,265,0,50,0,0,0,0,0,,,,,,5210,2008-09-30
,,0,0,47,0,,,0,0,0,,0,0,13,1787,403,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,1,1,0,0,119,0,,,3,3,1214,0,0,0,0,0,0,0,,,,,,5331,2008-09-30
,,0,0,0,0,,,0,0,0,,0,0,0,181,95,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,7,2,0,0,0,0,,,0,0,79,0,0,0,0,0,0,0,,,,,,5461,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,23,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,6,0,0,0,17,0,,,0,0,0,0,0,0,0,0,,,,,,,,5751,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,63,19,0,0,,,,,,,,,,,,,,,0,0,0,0,,,4,0,34,6,0,0,0,0,,,0,0,0,0,0,0,6,0,,,,,,,,6039,2008-09-30
,,0,0,0,0,,,0,0,5,,,0,0,61,28,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,8,11,25,5,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,6141,2008-09-30
,,0,0,0,0,,,0,0,136,,0,0,1,1817,208,0,2,,0,0,,0,2,,,0,,0,1,,,0,0,0,0,,,67,8,1479,196,57,2,61,0,,,0,0,0,2,0,1,0,0,0,0,,,,,,6329,2008-09-30
,,0,0,0,0,,,0,0,15,,0,0,0,4855,1700,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,182,32,0,0,0,0,,,1110,20,1863,0,0,116,0,0,0,0,,,,,,6972,2008-09-30
,,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,7009,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,103,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,3,0,100,17,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,7045,2008-09-30
,,0,0,0,0,,,0,0,99,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,7157,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,26,14,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,5,0,0,,0,0,0,0,0,0,7,0,,,,,,,,7456,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,189,100,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,56,24,0,0,0,0,,,33,0,0,0,0,0,0,0,,,,,,,,7634,2008-09-30
,,0,0,0,0,,,0,0,6,,,0,49,50,0,0,41,,,,,,33,,,,,,49,,,0,0,0,0,,,0,0,9,7,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,8033,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,45,28,0,0,12,,,,,,12,,,,,,45,,,0,0,0,0,,,0,0,16,12,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,8462,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,11,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,11,5,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,8631,2008-09-30
,,0,0,0,0,,,0,0,23,,0,0,0,1899,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,1899,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,9357,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,2,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,2,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,9553,2008-09-30
,,0,0,0,0,,,0,0,0,,0,0,0,15971,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,14,0,,,0,0,2,0,66,0,2,34,,,14474,572,0,0,0,0,1445,0,0,0,,,,,,9807,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,5,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,5,8,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,9955,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,845,11,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,10,4,0,0,0,0,,,30,0,0,0,794,0,0,0,,,,,,,,10157,2008-09-30
,,0,0,0,0,,,0,0,14,,0,0,48,724,60,0,99,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,18,5,162,25,0,0,0,121,,,0,0,13,0,251,0,0,0,0,0,,,,,,10250,2008-09-30
,,0,0,0,0,,,0,0,0,,0,0,0,298,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,2,26,0,70,32,202,32,0,0,,,,,,10849,2008-09-30
,,0,0,0,0,,,0,0,116,,0,0,50,2644,340,0,0,,0,0,,0,0,,,0,,0,50,,,0,0,0,0,,,2177,0,127,116,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,10858,2008-09-30
,,0,0,0,0,,,0,0,16,,,0,0,532,268,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,58,8,1,0,206,0,,,0,0,0,0,0,0,0,0,,,,,,,,11145,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,113,621,223,0,119,,,,,,0,,,,,,5,,,0,0,0,0,,,0,0,65,60,2,0,63,0,,,0,0,0,0,151,81,0,0,,,,,,,,11640,2008-09-30
,,0,0,0,0,,,0,0,4,,,0,0,1,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,1,16,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,11837,2008-09-30
,,186,167,0,0,,,0,0,586,,0,0,1,3488,709,0,1,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,420,536,580,63,726,79,,,147,100,300,164,719,707,201,0,0,0,,,,,,12030,2008-09-30
,,0,0,0,0,,,0,0,10,,,0,89,172,8,0,127,,,,,,,,,,,,,,,0,0,0,0,,,2,0,24,8,0,0,11,0,,,0,0,0,0,0,0,0,0,,,,,,,,12142,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,37,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,3,1,4,2,0,0,30,0,,,0,0,0,0,0,0,0,0,,,,,,,,12245,2008-09-30
,,164,10,3766,120,,,18474,3651,5364,5364,0,0,10713,332822,27519,0,111375,27519,0,0,0,0,143,,,0,0,0,26,,,1582,74,34088,2362,0,0,0,16,64822,16168,2208,15,24581,5682,,6854,7868,146,9804,24,1011,92,23525,2219,11620,1949,1702,,,,,12311,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,2,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,2,0,0,12,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,12647,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,5,4,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,12656,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,12937,2008-09-30
,,0,0,0,0,,,0,0,172,,0,0,25,692,136,0,0,,0,0,,0,0,,,0,,0,25,,,0,0,0,0,,,0,0,230,96,60,0,134,0,,,173,0,0,0,19,0,0,0,0,0,,,,,,12946,2008-09-30
,,0,0,0,0,,,0,0,0,,,0,0,329,210,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,3,0,0,18,,,69,0,32,8,0,0,0,0,,,,,,,,12955,2008-09-30
,,0,0,0,0,,,0,0,34,,,0,0,473,69,0,0,,,,,,,,,,,,,,,0,0,0,0,,,2,3,26,26,302,0,376,0,,,0,0,0,0,0,0,0,0,,,,,,,,13037,2008-09-30
,,0,0,0,0,,,0,0,10,,0,0,0,831,239,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,517,9,0,0,75,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,13103,2008-09-30
