"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RIADF184	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	NONINT INC FOR QTR FROM SALE 1-4 MTG	
72678										
73031										
73116										
73152										
73554										
73956										
74056										
74140										
74159										
74337										
74403										
74449										
74458										
75053										
75259										
75446										
75455										
75558										
75633	117465	0	2687	0	123169	0	50279	0	2009	
75651										
76050										
76135										
76153										
76443										
76854										
77150										
77253										
77347										
77422										
77758										
77851										
78036										
78157										
78241										
78559										
78643										
78858										
79042										
79127										
79145										
79257										
79855										
80020										
80150										
80431										
80552										
80936										
81429										
82033										
82257										
82350										
82659										
83151										
83236	0	0	0	0	0	0	0	0	0	
83311	0	0	0	0	0	0	264	0	0	
83357										
83450	2127	1151	0	0	0	0	2127	1151	0	
83638	169	0	0	0	439	0	0	0	0	
83834										
83852										
83955										
84046										
84055										
84251										
84345										
84541										
84804										
85043										
85052										
85258										
85454										
85856										
85931										
86349										
86358										
86527	16382	0	0	0	16382	0	0	0	0	
86554										
87047										
87159										
87234										
87476										
87533										
88240										
88259										
88352										
88455										
88530	0	0	0	0	0	0	0	0	0	
88950										
89032										
89135										
89162										
89452										
89751										
89854										
89957										
90047										
90328										
90337										
90467										
90645										
90739										
91147										
91156										
91259										
91615										
91651										
91754										
91950										
91969										
92050										
92144										
92630	0	0	0	0	0	0	0	0	0	
92706										
92854										
92902										
93244										
93413										
93543										
93619										
93721	86077	603	0	0	98133	829	22839	36	525	
93758										
94139										
94456										
94522										
94755										
94858										
95051										
95659										
96254										
96357										
96553										
97055										
97279										
97457										
97804										
97943										
98351										
98454										
98463										
98548										
98557										
98641										
98717										
99004										
99059										
99143										
99255										
99442										
99536										
99853										
99974										
100236										
100357										
100553										
100562	12950	0	0	0	12950	0	0	0	315	
100843										
101019	0	0	0	0	0	0	0	0	0	
101037										
101233	13992	0	0	0	12715	0	2939	0	263	
101345										
101439										
101671										
101738										
101952										
102155										
102333										
102342										
102539										
102557										
103134										
103255	0	0	0	0	0	0	0	0	0	
103536										
103554										
103563										
103602										
104038	0	0	0	0	0	0	0	0	0	
104056										
104234										
104430										
104542										
104663										
105026										
105044										
105053	0	0	2540	94	2703	94	181	0	0	
105071										
105222										
105530										
105633										
106359	6603	0	0	0	6301	0	966	0	99	
106377										
106452										
106519										
106546										
106555										
106658										
107057										
107150										
107226										
107244	47124	0	0	0	46774	0	6242	0	291	
107431										
107459										
107758										
108269										
108652										
108746										
108951										
109136										
109154										
109453										
109574										
109659										
109855										
110404	0	0	0	0	0	0	0	0	0	
110413	469	0	4983	32	13619	32	2173	157	-146	
110655										
110936										
110945										
111157										
111205										
111559										
111661										
111942										
111979										
112163										
112332										
112444										
112510										
112556										
112837	400747	48812	3095821	74686	3660195	155694	1318106	136350	-194582	
113003										
113030										
113441										
113601										
113740										
113937										
114149										
114158										
114251										
114260	33815	110	0	0	32017	50	7499	60	809	
114457										
114756										
114774										
114840										
114859										
115100										
115146										
115155										
115221										
115575										
115641	21811	0	0	0	25742	0	3689	0	452	
116077										
116358	0	0	0	0	0	0	0	0	0	
116554										
116639										
116732										
116741										
117038										
117458										
117672										
117841										
118156	0	0	0	0	0	0	0	0	0	
118174										
118660										
118736										
119153										
119274	0	0	0	0	0	0	0	0	0	
119528										
119779										
120542										
120609										
120953										
121576										
121642	45842	529	0	0	48793	493	9336	177	718	
121651										
121914										
122153										
122546										
122658										
122751										
122854										
123178										
123440										
123646										
124344										
124353										
124773										
124830										
125154										
125855	14963	0	0	0	15915	0	5139	0	235	
125958										
126012										
126049										
126254	21812	0	0	0	22820	0	3353	0	354	
126553	14428	0	0	0	15810	0	1486	0	0	
126740										
126834										
127055										
127224										
127260	0	0	0	0	0	0	0	0	0	
127701										
128164										
128258										
128511										
128904	68447	775	4889	16	82258	1230	12852	0	684	
128959										
129349										
129358										
129394										
129479										
129732										
129853										
129910										
130345										
130541	32716	0	376751	7887	430643	10588	59929	315	0	
130635										
130813										
130943	19724	0	20693	0	42344	0	3663	115	3415	
131034										
131155										
131173	15390	200	0	0	18382	218	667	0	274	
131418										
131436										
131650	34622	35	0	0	33533	35	5060	0	723	
131717										
131940										
132107										
132152										
132219										
132451										
132554										
132778										
132853										
132938										
133243										
133850										
133971										
134156										
134437										
134455										
134848										
135359										
135751										
135836										
135854										
136048										
136338										
136459										
136655										
137205										
137447										
137456										
137559										
137643										
137652										
137821										
137915	5463	0	0	0	5995	0	188	0	17	
138051										
138163										
138211	7272	0	0	0	7495	0	1314	0	146	
138257										
138350										
138556										
138725										
138752										
139133										
139432										
139478										
139544										
139553										
139656	0	0	54538	1196	56049	1455	23283	852	664	
139740	5270	0	0	0	4688	0	1142	0	49	
139834										
139843										
139955										
140018	10677	0	0	0	12149	195	3256	0	146	
140157										
140362										
140634										
141211										
141341										
141350										
141453										
141556	2598	0	0	0	2871	60	308	0	44	
141734	0	0	0	0	0	0	0	0	-170	
141958										
142049										
142656										
142955	25348	596	441424	10957	492555	7954	120179	4853	2230	
143158										
143653										
143662	58591	434	383	69	55909	557	19964	0	1366	
143859										
143952										
144034										
144052										
144155										
144436										
144856										
144913										
145059										
145545										
145554										
145741										
145750										
145844										
145956										
146056										
146533										
146618										
146654										
146663										
146850										
147053										
147174	7125	0	993	0	6954	0	1917	0	93	
147633										
147651										
147679										
147839										
147857										
147923										
148144										
148238										
148340										
148715	0	0	0	0	0	0	0	0	0	
148809										
148920										
149150										
149235										
149253										
149271										
149945										
150035										
150044										
150071	34354	1808	0	0	37933	1323	3846	486	340	
150156										
150334										
150352										
150727										
150754										
151331										
151546										
151555										
151751										
151818										
151957										
152048										
152057										
152235										
152253										
152431										
152440										
152673										
152851										
153054										
153353										
154154										
154257										
154770										
155245										
155441	0	0	0	0	0	0	0	0	0	
155517										
155759										
156457										
156635										
156877										
156916	0	0	0	0	0	0	344	0	0	
156952										
157155										
157379										
157650										
157744										
157838										
157856										
157904										
158554										
158741										
158750										
158947										
158974										
159243										
159636	22690	0	0	0	20424	0	7157	0	458	
159645										
159953										
160360										
160454										
160557										
160614	0	0	0	0	0	0	0	0	0	
160650										
160959	12242	0	0	0	15371	0	1175	0	0	
161031										
161107										
161273										
161433										
161602	0	0	4306	0	4378	0	623	0	0	
162337										
163343										
163370										
163549	14122	0	0	0	13924	0	714	0	0	
163857										
164032										
164153										
164331										
164377										
164854										
164957										
164975										
165039										
165628	0	0	23208	178	21511	277	5708	55	204	
165758										
165806	0	0	0	0	0	0	0	0	0	
166111										
166531										
166652										
166803	0	0	0	0	0	0	0	0	0	
166849										
167060	0	0	0	0	0	0	0	0	0	
167453										
167556										
167565										
167752										
167855										
167864										
168366										
168441										
168571										
168731										
169073										
169233										
169327										
169354										
169653	39159	176	29160	55	39397	904	77798	383	2242	
169756										
169952										
170051										
170257										
170332	0	0	0	0	0	0	0	0	0	
170640										
170716	4480	0	0	0	7437	0	1780	0	484	
170976										
171133										
171348										
171656										
171759										
171768	0	0	46735	0	44413	0	8460	0	0	
172158										
172251										
172457										
172747										
172840										
172859										
173306										
173342										
173548										
173557										
173575										
173641										
173959										
174321	0	0	0	0	0	0	0	0	0	
174367										
175056										
175140										
175458										
175609										
175672										
176053										
176101										
176325										
176437										
176464										
176642										
177135										
177443										
177500										
177546										
177555										
177751										
177920										
177957	43558	836	0	0	45450	1528	11531	217	627	
178057										
178150	0	0	0	0	0	0	0	0	0	
178244										
178271										
178356										
178851										
179148										
179335										
179700										
179755										
180041										
180078										
180144										
180201										
180416	0	0	0	0	0	0	0	0	0	
180443										
180537										
180649	13457	0	0	0	13979	0	4349	0	0	
180845										
181347										
181459										
181758										
181851	8837	205	0	0	10435	205	624	0	140	
181963										
182054										
182157										
182175										
182353										
182401										
182652										
182951										
183042										
183051										
183154										
183668										
183770										
183846										
183958										
184142										
184245										
184656										
184759										
184937										
185037	16228	0	0	0	21482	0	10126	0	768	
185251										
185448										
185457										
185859										
186221										
186548										
186557										
186650	0	0	0	0	0	0	0	0	0	
186717										
186744										
186838										
186856										
187358										
187451										
187648										
187947										
188056										
188430	2012	0	146083	2205	114147	2143	52697	415	254	
188449										
188720										
188739										
188757										
188917										
188926										
189044	19052	0	0	0	22095	0	1978	0	0	
189129										
189352	0	0	0	0	0	0	0	0	0	
189419	4398	0	0	0	4978	0	623	0	44	
189530										
189549	0	0	0	0	0	0	0	0	0	
189745										
189820										
189950										
190246										
190451										
190554										
190563										
190639										
190648										
190947										
190956										
191355										
191449										
191663	0	0	0	0	0	0	0	0	0	
191935										
192147	7534	0	0	0	8599	0	1783	0	0	
192156										
192558										
192651										
192857										
193162										
193247										
193461										
193537										
193649										
193809										
194253										
194440										
194936										
195072										
195111										
195157										
195456										
196257										
196743										
196752										
196800										
197142										
197254										
197302										
197357										
197478	11559	0	0	0	11320	0	2184	0	1403	
197740										
197759										
198046										
198103										
198149										
198251										
198831										
198859										
198961										
199052										
199137										
199351										
199436										
199454										
199463										
199940										
200042										
200435										
200640	13994	118	0	0	14448	168	887	0	160	
201049										
201124										
