"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																0	144	307	1545	72	213	0	0	0	0	0	881	0	0	0				
242																0	153	0	508	13	16	0	0	0	0	0	339	0	0	0				
279																0	1142	74	2071	73	73	0	0	0	0	0	726	56	0	0				
354																0	4	56	166	0	0	0	0	0	0	0	106	0	0	0				
457																0	124	0	1072	0	24	0	0	0	0	0	445	479	0	0				
505																0	3676	568	8196	1770	2293	0	0	0	0	0	1659	0	0	0				
1155																0	776	0	6083	34	87	32	0	0	0	0	1836	3384	0	0	Credit Card Settlement Deposits			
1351																0	0	0	1581	77	167	90	0	0	0	0	1414	0	0	0	computer software			
1454																0	1092	0	9299	586	1307	0	0	0	0	0	2715	4185	0	0				
1557																0	139	0	830	32	67	0	0	0	0	0	624	0	0	0				
1632																0	1409	2712	12434	0	1415	1241	0	0	0	0	6225	673	0	0	Reserve for Federal Taxes			
1669																32	426	558	8972	65	141	0	0	0	0	0	1843	6004	0	0				
1829																0	3103	1875	9071	0	1937	545	0	0	0	0	2156	0	0	0	Prepaid Expenses			
1856																0	4620	0	6163	222	222	0	0	0	0	0	1321	0	0	0				
2040																0	1194	435	5367	401	531	40	0	0	0	0	1044	2163	0	0	Computer Software			
2161																0	259	76	3457	111	2375	2264	0	0	0	211	536	0	0	0	Cash Surrender Value Life Ins			
2376																0	12837	16174	60759	240	773	0	0	0	0	0	5350	25625	0	0				
2451																0	928	0	1730	65	165	0	0	0	0	0	637	0	0	0				
2554																4	0	0	94	9	13	0	0	0	0	0	81	0	0	0				
2732																0	174	696	4850	9	477	84	18	314	0	0	3223	280	0	0	Leasehold Purch	Safe Dep Box Receivable	Current Fit Receivable	
2750																0	488	0	2485	81	94	0	0	0	0	0	1248	655	0	0				
2938																1110	1381	1906	8990	0	1681	0	0	0	0	0	4022	0	0	0				
3252																0	308	0	3521	170	479	0	0	0	0	0	2734	0	0	0				
3458																0	177	0	467	26	27	0	0	0	0	0	263	0	0	0				
3720																0	557	753	5016	298	333	0	0	0	0	0	1489	1884	0	0				
3953																0	1001	0	3351	138	138	0	0	0	0	0	1544	668	0	0				
4138																0	953	0	3000	0	731	0	0	0	0	0	1316	0	0	0				
4156																0	1776	10	7001	0	0	0	0	0	0	0	2253	2962	0	0				
4231																0	0	415	2136	0	187	0	0	0	0	0	1534	0	0	0				
4437																0	797	758	4809	0	1703	1227	0	0	0	0	1551	0	0	0	Due from Parent Company			
4839																0	1695	0	3369	81	107	0	0	0	0	0	1567	0	0	0				
5005																0	3256	0	14296	1044	2293	457	0	0	0	0	1733	7014	0	0	PRESENT VALUE OF SERP			
5069																0	0	444	4711	757	2561	1125	679	0	0	0	1706	0	0	0	Accts Receivable	DDA Rejects		
5135																86	708	715	11179	227	570	0	0	0	0	0	6205	2981	0	0				
5210																0	11506	2654	45789	1283	1859	0	0	0	0	0	5710	24060	0	0				
5331																0	3600	41	8252	1873	3581	1435	0	0	0	0	780	250	0	0	accrued interest on securities purchased			
5461																0	0	0	7195	0	4124	1635	1838	0	0	0	2450	621	0	0	QZAB	FHLB STOCK		
5751																0	271	20	3638	42	48	0	0	0	0	0	1117	2182	0	0				
6039																0	424	106	2295	111	444	324	0	0	0	0	986	335	0	0	UNPOSTED DEBITS			
6057																12	209	0	538	66	93	0	0	0	0	0	236	0	0	0				
6141																0	150	73	629	103	103	0	0	0	0	0	303	0	0	0				
6329																340	892	1291	13436	2485	3897	0	0	0	0	0	3575	3781	0	0				
6972																0	718	0	18216	0	4267	0	0	0	0	0	6545	6686	0	0				
7009																0	0	179	11820	0	9165	8731	0	0	0	0	2476	0	0	0	RECEIVABLES			
7045																0	0	35	1321	0	316	0	0	0	0	0	970	0	0	0				
7157																0	23	0	569	0	56	29	0	0	0	0	490	0	0	0	LEASE CONTRACT RECEIVABLE			
7456																0	201	0	854	0	32	24	0	0	0	0	621	0	0	0	prepaid health insurance			
7634																0	738	98	1474	67	76	0	0	0	0	0	562	0	0	0				
8033																0	1123	158	3760	89	122	0	0	0	0	0	1667	690	0	0				
8462																0	21	0	774	0	20	0	0	0	0	0	733	0	0	0				
8631																0	124	86	2243	66	66	0	0	0	0	0	281	1686	0	0				
9357																0	789	0	47737	0	45276	11409	0	0	0	0	1672	0	0	0	Customer Owned ATMs			
9553																0	730	0	4754	70	70	0	0	0	0	0	2771	1183	0	0				
9807																0	21552	0	70825	0	3256	2842	0	0	0	0	12923	33094	0	0	Accrued Interest on Swaps			
9955																0	446	0	1701	70	256	67	0	0	0	0	999	0	0	0	KWMI			
10157																0	584	74	1508	69	80	0	0	0	0	0	770	0	0	0				
10250																7	1233	0	4666	396	857	337	0	0	0	0	2347	229	0	0	Computer Software			
10849																0	2664	674	8192	217	245	0	0	0	0	0	3144	1465	0	0				
10858																0	1441	0	6226	316	446	0	0	0	0	0	4339	0	0	0				
11145																30	1255	370	2470	95	125	0	0	0	0	0	693	27	0	0				
11640																0	2036	1214	12595	281	322	0	0	0	0	0	3972	5051	0	0				
11837																0	600	45	1426	0	111	71	0	0	0	0	670	0	0	0	DDA Non-Post Debits			
12030																0	1010	1035	7055	138	4232	0	0	0	0	0	260	518	0	0				
12058																0	432	0	1687	66	66	0	0	0	0	0	1189	0	0	0				
12142																0	510	317	2598	206	517	121	0	0	0	0	1254	0	0	0	Deferred Loan Origination Cost			
12245																0	395	140	1247	73	87	0	0	0	0	0	625	0	0	0				
12311	0	350080	0	3878294	0	1973263	1542798	0	0	0	0	256815	1298136	0	0		350080														Trade date receivables			
12647																0	180	0	1107	79	88	0	0	0	0	0	839	0	0	0				
12656																0	29	0	173	32	32	0	0	0	0	0	112	0	0	0				
12937																0	776	0	2128	244	521	0	0	0	0	0	831	0	0	0				
12946																0	1650	0	14957	355	556	0	0	0	0	0	3654	9097	0	0				
12955																0	741	0	1572	0	122	0	0	0	0	0	709	0	0	0				
13037																0	204	1709	3664	257	849	0	0	0	0	0	902	0	0	0				
13103																0	12036	0	28140	0	9204	5263	0	0	0	0	4280	2620	0	0	dealer reserve			
13251																0	141	0	839	0	0	0	0	0	0	0	433	265	0	0				
13457																0	3	0	1717	0	1	0	0	0	0	0	478	1235	0	0				
14052																0	247	138	1958	65	68	0	0	0	0	0	361	1144	0	0				
14155																27	620	0	3758	46	103	0	0	0	0	0	1589	1446	0	0				
14258																0	4022	0	11200	617	2175	990	0	0	0	0	5003	0	0	0	Fine Art			
14454																0	95	0	295	0	32	0	0	0	0	0	168	0	0	0				
14650																0	109	117	1585	44	44	0	0	0	0	0	211	1104	0	0				
14753																0	9	0	755	62	68	0	0	0	0	0	678	0	0	0				
14865																0	560	1007	5785	206	526	159	0	0	0	0	2609	1083	0	0	SOFTWARE COSTS			
15536																0	30685	12975	140870	6249	19490	0	0	0	0	0	22747	54973	0	0				
16337																0	2245	1362	16255	559	766	0	0	0	0	0	3612	8270	0	0				
16458																0	762	44	2618	60	224	103	0	0	0	0	1588	0	0	0	IPS Deposit			
16551																0	2010	752	4289	49	162	109	0	0	0	0	1035	330	0	0	Software			
16748																0	344	89	2359	0	190	144	0	0	0	0	316	1420	0	0	Prepaid Dealer Reserve			
16944																0	0	0	273	55	55	0	0	0	0	0	218	0	0	0				
16953																0	0	0	486	11	11	0	0	0	0	0	475	0	0	0				
17110																0	219	0	4042	0	3454	2581	0	0	0	0	369	0	0	0	Advisory/Trustee fees receivable			
17147																155	11199	4302	65726	623	1787	0	0	0	0	0	13321	35117	0	0				
17259																0	391	0	2200	102	104	0	0	0	0	0	582	1123	0	0				
17464																38	6991	3841	61808	3550	6732	0	0	0	0	0	11684	32560	0	0				
17839																0	736	503	4182	0	170	0	0	0	0	0	2773	0	0	0				
17950																0	962	55	4139	107	127	0	0	0	0	0	2593	402	0	0				
18050																0	583	1035	4130	322	677	188	0	0	0	0	1835	0	0	0	Unposted Debits			
18135																0	1424	0	6759	279	446	0	0	0	0	0	1534	3355	0	0				
18377																0	98	8	212	0	15	0	0	0	0	0	91	0	0	0				
18827																0	446	172	1873	0	264	0	0	0	0	0	991	0	0	0				
18836																0	659	557	5231	456	539	0	0	0	0	0	1015	2461	0	0				
18854																0	229	0	1171	64	223	0	0	0	0	0	719	0	0	0				
18957																0	432	2	2065	83	85	0	0	0	0	0	609	937	0	0				
