"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON3510	RCON3512	RCON3514	RCON3520	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	PB/PSA FDIC CERTIFICATE NUMBER	
5069							0	0	0	533		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	501		0	0	88634		112575	401						
5135							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	10783		284	1	93260		160658	336						
5210							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	51435		1115	4	481379		153796	739						
5331							0	0	0	4028		0	0	60		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7864		0	0	128999		83391	361						
5461																															0	5231		0	0	115516		232829	705	353695	0				
5751							0	5	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4867		0	0	31772		38228	114						
6039							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7621		942	3	43902		20865	84						
6057							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	598		0	0	12168		1753	13						
6141							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	997		0	0	19062		16500	45						
6329							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	10726		1539	4	172901		162014	709						
6972							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	28228		268	1	303940		419103	907						
7009							0	0	0	0		0	0	504		0	0	0	0	1		0	0		0	0	0	0	0	0	0	933		6390	3	52497		478201	667						
7045							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4392		634	2	52599		38223	130						
7157							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2498		0	0	20456		8949	37						
7456																															0	2109		0	0	26016		13733	55	42018	0				
7634							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2562		389	1	28425		26910	77						
8033							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2015		0	0	43463		24375	94						
8462							14	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2478		0	0	29149		49287	158						
8631																															0	2849		0	0	28810		16340	78	48070	0				
9357							0	13	0	0		0	0	0		0	11	1	0	0		0	0		0	0	0	0	0	0	0	1324		363	1	46385		238922	426						
9553							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	6926		321	1	33701		12037	66						
9807																								482406							0	75842		6311	17	995613		884879	2954	1975178	0				
9955							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2080		0	0	43444		19661	65						
10157							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1781		0	0	37294		12022	49						
