"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-CONSTRUCTION & LAND DEV	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	R.E. LOANS NON-FARM. NON-RES. PROP	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	
37																															0	221	1638	50	6488		52		113	0			1265	0	9479	0	1185	42705	0	0			0	22214	0	0	10083	919	1489	8615	6149	4687	64	2560	5168	7018	3810	1368	474								0	0		0	
242																															0	0	2304	0	3223		10		2167	0			1129	73	2719	0	0	18530	0	0			0	6801	104	0	4359	224	655	4038	1493	391	0	2757	5313	1915	1580	164	0								0	0		0	
279																															0	1143	83	108	3663		54		177	0			450	2	2197	0	0	28580	18	364			7	19819	538	577	2291	45	122	11	44	6313	13284	1110	1219	1184	1130	3539	596								0	0		0	
354																															0	0	1018	0	85		0		907	0			300	0	1105	0	0	4733	0	0			0	1318	0	1162	1071	87	1075	0	0	0	0	547	1535	446	600	102	0								0	0		0	
439																															0	2906	15175	0	36613		0		1639	0			16998	0	8201	0	2284	108825	0	0			0	23951	1058	1115	41341	2114	4200	10207	5412	1569	27	26523	15739	28032	10135	2779	1376								0	0		0	
457																															0	1471	2588	0	1717		78		3941	0			2875	0	3390	0	240	19127	0	0			0	2827	0	2544	8980	260	212	1963	371	21	0	2184	6324	4654	2842	273	0								0	0		0	
505																															0	2492	0	5992	24629		42		0	0			14079	9248	31664	0	3905	154975	6089	0			166	67236	914	6200	16397	137	3312	1529	2433	31088	28706	24639	6669	14628	21637	15666	8580								312	551		0	
1146																															0	34642	395	5835	55641	9	1071	1062	41	0	31661	0	31661	5578	11598	0	0	301748	7	0	0	0	0	113287	7233	0	127314	76507	5322	16189	8298	1295	5666	43753	20936	77463	42139	2642	0	0	0	0	0	0	0	0	34602	171	0		
1155																															0	9880	372	1119	20193		527		3371	0			32483	1253	6299	0	0	95013	0	0			0	15235	3713	426	32257	2139	1364	2898	6401	1143	1235	31054	12651	11083	20805	4096	0								397	171		0	
1351																															0	0	7558	0	6389		128		4114	0			16029	0	8665	0	0	50987	0	90			0	8014	0	7391	43567	2150	5526	150	136	16	0	11940	23951	5268	1285	135	0								0	0		0	
1454																															0	2329	3494	1685	31953		39		3845	0			23646	1331	27181	0	0	129279	172	0			0	28448	2855	2109	21366	5687	1131	2066	5032	14092	440	37226	4559	15787	28495	13792	244								1487	1158		0	
1557																															0	72	3684	0	1722		6		8085	0			986	0	831	0	0	18384	0	0			0	2998	0	0	7713	68	262	826	1170	454	218	2427	4956	2270	4494	407	441								0	0		0	
1632																															0	12913	3337	7324	79669		1992		5989	0			46561	3901	11384	0	930	212689	0	0			0	35375	3314	4483	78518	10087	6535	13634	3653	357	1063	66693	32411	48343	20335	8822	678								0	0		0	
1669																															0	887	194	1	5739		139		1802	55			8889	0	10937	0	150	67611	0	0			0	37287	1586	22131	6362	1519	3861	4029	6897	16242	4585	4408	6767	7791	5759	4735	149								0	0		0	
1829																															0	5949	0	10627	33023		53		0	0			25984	12259	2285	0	645	165102	274	18951			0	47781	6424	0	31319	144	123	636	5397	20116	21215	29465	1587	11939	39457	33239	483								600	795		0	
1856																															0	0	606	0	529		0		487	0			1827	0	680	0	0	6022	0	0			0	1893	0	1824	1910	1845	4	7	18	19	0	2265	1064	357	323	120	0								0	0		0	
2040																															150	2330	4269	5656	1321		31		3451	0			53247	0	7068	0	709	115197	0	0			0	36132	467	3164	43325	4586	7349	21866	1204	15	65	14972	16418	35430	9788	2023	0								366	0		0	
2161																															0	1430	835	0	7121		219		1135	0			4939	0	11234	0	0	49755	327	0			0	22749	0	17101	19166	1343	7490	4252	5208	4127	329	4138	6195	7635	5831	3364	161								420	0		0	
2376																															0	1140	0	123106	26157	0	0	0	0	0	0	0	0	6359	949	0	0	338038	0	0	0	0	0	135263	45064	15400	21843	857	3386	4202	6860	74331	45304	5411	18880	19994	67088	54134	37148	0	0	0	0	0	0	0	0	0	0	0	
2451																															0	12	1337	0	341		0		3122	0			2006	0	1475	0	311	13264	0	0			0	4617	43	979	5330	356	510	3029	537	81	103	2103	3340	1291	1055	651	207								0	0		0	
2554																															0	0	843	0	0		0		1629	0			596	0	419	0	0	3567	0	0			0	80	0	0	1467	0	0	22	10	48	0	2342	206	278	230	430	0								0	0		0	
2732																															0	20519	0	62140	122580	0	190	190	0	0	82498	0	82498	7936	5382	0	0	309494	811	0	0	0	0	8890	170	5491	83293	3072	1868	2294	763	414	479	121193	37694	111583	23873	4915	2157	0	0	0	0	0	0	0	0	0	0	0	
2750																															0	0	6804	0	1170		24		16176	0			2858	0	928	0	0	30169	0	0			0	1993	66	25	11248	10	147	1163	626	10	0	3998	13556	4177	4151	1694	0								0	150		0	
2938																															0	19017	5573	5092	63252		2003		696	0			53769	5424	13073	0	0	211006	0	0			0	35701	7406	9415	98480	13134	3416	8165	9144	637	1180	99141	21316	37285	15521	1043	32								0	0		0	
2956																															0	905	18763	1652	2856		9		2240	300			1929	465	3428	0	176	59268	0	0			0	24823	2022	0	50923	7474	15330	1242	472	0	0	8145	20725	4252	1054	22	212								0	0		0	
3252																															0	264	11656	0	2661		2787		31251	0			8228	0	4183	0	0	62163	126	0			0	1259	0	790	0	110	780	31	16	258	64	17722	31883	4258	4034	1531	219								0	0		0	
3458																															0	0	4107	0	554		16		899	0			878	0	786	0	0	8990	0	0			0	1750	0	0	1845	148	198	1332	52	0	0	605	1567	3685	1059	4	318								0	0		0	
3506																															0	29783	0	10200	339327	0	366	366	0	0	80559	0	80559	57981	6106	0	0	805084	0	45791	45791	0	0	183690	50567	42018	42041	8526	4588	4679	19128	94981	49914	168174	33945	83223	154895	117500	58596	0	0	0	0	0	0	0	0	714	0		
3579																															0	9094	92	5009	28540	0	0	0	18	0	45361	0	45361	3471	38802	0	0	244210	133	0	0	0	0	110464	1223	33675	30213	19805	13999	4361	15531	28498	27284	56156	9576	12170	26002	25185	4074	0	0	0	0	0	0	0	285	1984	0	0	
3720																															0	5721	3588	354	19741		0		1934	0			6264	2401	5445	0	982	73888	0	0			0	27064	251	2109	15957	2008	3355	6427	11550	3625	29	16530	5246	6391	12518	3585	2454								0	143		0	
3953																															0	1950	7810	2287	7403		93		14995	0			14482	0	3790	0	0	60466	0	0			0	6862	794	310	18145	1068	1243	3364	1037	7	0	34029	8023	7331	1391	1435	923								0	0		0	
4138																															0	8557	26	2017	15507		2978		0	184			8077	3055	11941	0	189	104856	534	0			0	52709	264	30694	14265	2453	8146	30292	2958	6489	2327	23759	11500	11239	4114	1568	188								0	70		0	
4147																															0	6887	174	4013	19828		222		32	0			8387	2971	4170	0	90	58707	0	0			0	11103	83	7200	11342	582	2764	7515	123	65	54	1990	23310	15633	3650	1421	287								643	104		0	
4156																															0	4605	6998	62	11404		594		14240	0			18298	817	4564	0	0	75611	0	266			0	13495	268	0	24344	564	733	2569	1863	6353	1293	14241	22837	11736	7519	4672	308								0	0		0	
4231																															0	1033	6555	0	12506		0		1403	0			2861	0	7037	0	1657	43925	0	0			0	10873	0	128	15607	742	2539	5420	1710	372	0	9616	7911	8424	6157	460	0								0	0		0	
4437																															0	1763	932	761	33793		1304		150	0			17428	5596	8923	0	0	119794	109	67			0	44222	516	39088	38251	6521	7822	18254	4229	2918	4066	24521	15369	14393	11858	7591	1583								0	4448		0	
4745																															0	0	657	0	555		0		461	0			981	0	866	0	62	4961	0	0			0	1379	0	0	1574	0	95	76	105	1082	0	1142	337	731	686	684	0								0	0		0	
4839																															0	6333	0	20711	84872		1067		0	0			5910	5536	4554	0	0	147511	0	0			0	14997	3408	2029	44898	2965	2512	5172	4049	189	0	40869	8516	29792	45249	7221	34								0	123		0	
5005																															0	12865	0	14831	42432		32		0	0			10008	6285	411	0	0	170396	127	0			0	81346	2224	15452	17819	2267	4984	5688	4607	34120	29291	19943	7652	19383	21511	20284	390								0	89		0	
5050																															0	6003	0	223	7101		66		393	0			9051	156	8445	0	0	41405	0	0			0	9092	742	7074	12950	1800	5544	1097	385	38	228	9005	8079	10217	4890	0	0								133	0		0	
5069																															0	28653	1071	2508	210820		0		0	0			2716	787	0	0	0	260029	4047	0			0	17519	0	212	110752	3487	6962	40	7030	0	0	134692	36094	49742	17347	1795	1126								0	2		0	
5135																															0	1857	14015	3930	22002		23		17916	284			26081	371	8614	0	1338	122429	0	7			0	24288	1484	14141	59660	5446	12202	4198	1424	544	347	57311	27334	10145	2269	263	288								503	0		0	
5210																															0	16121	8289	23303	84922	0	390	390	1625	0	17264	0	17264	13324	10153	0	4057	386071	0	0	0	0	0	180297	25504	1125	9079	38409	36028	19742	25619	53492	6837	79845	10238	37388	56905	17620	3407	0	0	0	0	0	0	0	0	822	0	0	
5247																															0	81462	9520	9182	86665	0	269	269	570	0	91273	0	91273	56932	13403	0	2001	545288	616	0	0	0	0	147340	46626	90707	170983	73666	3911	11925	24632	10848	22358	248093	20715	27520	81802	20378	56	0	0	0	0	0	0	0	254	407	0	0	
5274																															0	524	29	0	26072		5		0	0			5571	1640	2361	0	234	69260	0	0			49	31983	671	205	12123	542	811	1393	3137	15312	9700	17435	2029	9276	6874	1071	0								0	170		0	
5331																															1216	8595	0	32379	23508		2287		0	0			11057	12849	356	0	0	110597	283	0			208	18327	176	5918	14370	1983	2483	4735	6583	1746	797	23881	9512	19375	38609	1176	0								0	130		0	
5461																															0	2872	3424	1960	88030		7164		2008	0			30614	2445	1978	0	0	149274	308	0			13287	5844	2860	896	21375	926	1665	1388	1865	0	0	45658	3523	9928	29810	50529	4276								0	383		0	
5751																															0	52	3685	99	2860		20		13746	546			9106	0	2370	0	52	41315	0	0			0	9077	223	5102	18103	400	1241	3717	557	2070	1054	17111	5539	3922	4100	1163	141								0	25		0	
5939																															30	157228	0	39638	479158	0	2547	2547	0	693	137991	0	137991	172628	15149	0	11524	1623238	0	0	0	0	23205	440310	166443	203286	134006	76159	127232	128569	66392	23609	9661	514674	209969	249135	134126	61795	2186	0	0	0	30	0	0	0	0	592	0	0	
6039																															0	2608	3275	0	27596		117		2391	0			13216	0	5503	0	2511	63193	27	0			0	4991	555	603	22919	633	360	2204	965	669	113	40729	5240	5667	2783	1977	0								392	65		0	
