"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37	20030630						
242	20030630						
279	20030630						
354	20030630						
439	20030630						
457	20030630						
505	20030630						
1146	20030630						
1155	20030630						
1351	20030630						
1454	20030630						
1557	20030630						
1632	20030630						
1669	20030630						
1829	20030630						
1856	20030630						
2040	20030630						
2161	20030630						
2376	20030630						
2451	20030630						
2554	20030630						
2732	20030630						
2750	20030630						
2938	20030630						
2956	20030630						
3252	20030630						
3458	20030630						
3506	20030630						
3579	20030630						
3720	20030630						
3953	20030630						
4138	20030630						
4147	20030630						
4156	20030630						
4231	20030630						
4437	20030630						
4745	20030630						
4839	20030630						
5005	20030630						
5050	20030630						
5069	20030630						
5135	20030630						
5210	20030630						
5247	20030630						
5274	20030630						
5331	20030630						
5461	20030630						
5751	20030630						
5939	20030630						
6039	20030630						
6057	20030630						
6141	20030630						
6329	20030630						
6972	20030630						
7009	20030630						
7045	20030630						
7157	20030630						
7166	20030630						
7456	20030630						
7634	20030630						
8033	20030630						
8417	20030630						
8462	20030630						
8547	20030630						
8631	20030630						
9115	20030630						
9160	20030630						
9357	20030630						
9553	20030630						
9807	20030630						
9955	20030630						
10157	20030630						
10250	20030630						
10849	20030630						
10858	20030630						
11145	20030630						
11640	20030630						
11837	20030630						
12030	20030630						
12058	20030630						
12142	20030630						
12245	20030630						
12311	20030630						
12357	20030630						
12647	20030630						
12656	20030630						
12937	20030630						
12946	20030630						
12955	20030630						
13037	20030630						
13103	20030630						
13251	20030630						
13309	20030630						
13457	20030630						
14052	20030630						
14155	20030630						
14258	20030630						
14409	20030630						
14454	20030630						
14650	20030630						
14753	20030630						
14865	20030630						
14931	20030630						
14940	20030630						
15536	20030630						
16337	20030630						
16458	20030630						
16551	20030630						
16748	20030630						
16766	20030630						
16944	20030630						
16953	20030630						
17110	20030630						
17147	20030630						
17259	20030630						
17464	20030630						
17549	20030630						
17839	20030630						
17950	20030630						
18050	20030630						
18135	20030630						
18368	20030630						
18377	20030630						
18827	20030630						
18836	20030630						
18854	20030630						
18863	20030630						
18957	20030630						
19356	20030630						
19730	20030630						
19936	20030630						
19972	20030630						
20053	20030630						
20147	20030630						
20259	20030630						
20370	20030630						
20512	20030630						
20633	20030630						
20754	20030630						
20839	20030630						
20857	20030630						
20866	20030630						
21256	20030630						
21359	20030630						
21630	20030630						
21658	20030630						
22048	20030630						
22235	20030630						
22356	20030630						
22459	20030630						
22543	20030630						
22552	20030630						
22730	20030630						
22936	20030630						
22954	20030630						
23036	20030630						
23045	20030630						
23241	20030630						
23456	20030630						
23504	20030630						
23540	20030630						
23643	20030630						
23755	20030630						
23812	20030630						
24006	20030630						
24266	20030630						
24453	20030630						
24659	20030630						
24668	20030630						
24855	20030630						
24949	20030630						
25357	20030630						
25647	20030630						
25852	20030630						
26149	20030630						
26233	20030630						
26242	20030630						
26457	20030630						
26756	20030630						
26765	20030630						
26859	20030630						
26916	20030630						
27548	20030630						
27614	20030630						
27838	20030630						
27847	20030630						
28013	20030630						
28152	20030630						
28255	20030630						
28349	20030630						
28406	20030630						
28572	20030630						
28732	20030630						
29104	20030630						
29159	20030630						
29252	20030630						
29636	20030630						
29850	20030630						
29944	20030630						
29953	20030630						
30025	20030630						
30052	20030630						
30146	20030630						
30155	20030630						
30258	20030630						
30418	20030630						
30502	20030630						
30650	20030630						
30810	20030630						
30856	20030630						
31134	20030630						
31152	20030630						
31255	20030630						
31303	20030630						
31657	20030630						
31826	20030630						
31835	20030630						
32159	20030630						
32234	20030630						
32766	20030630						
33147	20030630						
33259	20030630						
33268	20030630						
33549	20030630						
33727	20030630						
33754	20030630						
33772	20030630						
33839	20030630						
33857	20030630						
34153	20030630						
34359	20030630						
34425	20030630						
34434	20030630						
34452	20030630						
34537	20030630						
34555	20030630						
34742	20030630						
34836	20030630						
34863	20030630						
35057	20030630						
35244	20030630						
35301	20030630						
35570	20030630						
35646	20030630						
35842	20030630						
35936	20030630						
36054	20030630						
36344	20030630						
36456	20030630						
36830	20030630						
36858	20030630						
36933	20030630						
37051	20030630						
37341	20030630						
37350	20030630						
37378	20030630						
37435	20030630						
37640	20030630						
37659	20030630						
37743	20030630						
37949	20030630						
38441	20030630						
38478	20030630						
38526	20030630						
38535	20030630						
38740	20030630						
39327	20030630						
39420	20030630						
39475	20030630						
39756	20030630						
39934	20030630						
40033	20030630						
40305	20030630						
40350	20030630						
40707	20030630						
40855	20030630						
41245	20030630						
41553	20030630						
41629	20030630						
41647	20030630						
41759	20030630						
41825	20030630						
41937	20030630						
41955	20030630						
42037	20030630						
42055	20030630						
42354	20030630						
42420	20030630						
42448	20030630						
42457	20030630						
42541	20030630						
43052	20030630						
43155	20030630						
43173	20030630						
43324	20030630						
43351	20030630						
43454	20030630						
43511	20030630						
43641	20030630						
43744	20030630						
43856	20030630						
43959	20030630						
44040	20030630						
44134	20030630						
44433	20030630						
44451	20030630						
44602	20030630						
44741	20030630						
44750	20030630						
44929	20030630						
45038	20030630						
45047	20030630						
45056	20030630						
45270	20030630						
45430	20030630						
45458	20030630						
45551	20030630						
45560	20030630						
45627	20030630						
45775	20030630						
46053	20030630						
46941	20030630						
47153	20030630						
47247	20030630						
47256	20030630						
47377	20030630						
47452	20030630						
47500	20030630						
47658	20030630						
48057	20030630						
48150	20030630						
48374	20030630						
48440	20030630						
48552	20030630						
48673	20030630						
48730	20030630						
49054	20030630						
49148	20030630						
49241	20030630						
49344	20030630						
49362	20030630						
49540	20030630						
49643	20030630						
49652	20030630						
49821	20030630						
49858	20030630						
49951	20030630						
50144	20030630						
50461	20030630						
50546	20030630						
50854	20030630						
50957	20030630						
51253	20030630						
51347	20030630						
51356	20030630						
51459	20030630						
51730	20030630						
51842	20030630						
51972	20030630						
52410	20030630						
52456	20030630						
52719	20030630						
52951	20030630						
53015	20030630						
53033	20030630						
53051	20030630						
53239	20030630						
53453	20030630						
53752	20030630						
54049	20030630						
54058	20030630						
54357	20030630						
54375	20030630						
54441	20030630						
54656	20030630						
55019	20030630						
55176	20030630						
55251	20030630						
55336	20030630						
55635	20030630						
55653	20030630						
55916	20030630						
56230	20030630						
56258	20030630						
56351	20030630						
56427	20030630						
56548	20030630						
56557	20030630						
56717	20030630						
56726	20030630						
57040	20030630						
57134	20030630						
57228	20030630						
57255	20030630						
57451	20030630						
57572	20030630						
57956	20030630						
58074	20030630						
58207	20030630						
58225	20030630						
58243	20030630						
58355	20030630						
58551	20030630						
58636	20030630						
58757	20030630						
58971	20030630						
59259	20030630						
59316	20030630						
59352	20030630						
59679	20030630						
59754	20030630						
60143	20030630						
60219	20030630						
60330	20030630						
60433	20030630						
60545	20030630						
60554	20030630						
60648	20030630						
61001	20030630						
61122	20030630						
61355	20030630						
61476	20030630						
61533	20030630						
61757	20030630						
61832	20030630						
61953	20030630						
62044	20030630						
62101	20030630						
62147	20030630						
62651	20030630						
63050	20030630						
63069	20030630						
63078	20030630						
63201	20030630						
63359	20030630						
63573	20030630						
63733	20030630						
63742	20030630						
63751	20030630						
64150	20030630						
64253	20030630						
64543	20030630						
64552	20030630						
64619	20030630						
64646	20030630						
64730	20030630						
64758	20030630						
65205	20030630						
65241	20030630						
65513	20030630						
65559	20030630						
65746	20030630						
65858	20030630						
66015	20030630						
66154	20030630						
66172	20030630						
66275	20030630						
66837	20030630						
66846	20030630						
66903	20030630						
67142	20030630						
67151	20030630						
67209	20030630						
67254	20030630						
67311	20030630						
67414	20030630						
67777	20030630						
67852	20030630						
68345	20030630						
68448	20030630						
68569	20030630						
68756	20030630						
68831	20030630						
68840	20030630						
68859	20030630						
68943	20030630						
69333	20030630						
69351	20030630						
69650	20030630						
69678	20030630						
69847	20030630						
70049	20030630						
70058	20030630						
70076	20030630						
70151	20030630						
70218	20030630						
70254	20030630						
70414	20030630						
70638	20030630						
70955	20030630						
71318	20030630						
71457	20030630						
71671	20030630						
71859	20030630						
72258	20030630						
72351	20030630						
72418	20030630						
72454	20030630						
72614	20030630						
72678	20030630						
73031	20030630						
73116	20030630						
73152	20030630						
73554	20030630						
73956	20030630						
74056	20030630						
74140	20030630						
74159	20030630						
74337	20030630						
74403	20030630						
74449	20030630						
74458	20030630						
75053	20030630						
75259	20030630						
75446	20030630						
75455	20030630						
75558	20030630						
75576	20030630						
75633	20030630						
75651	20030630						
75857	20030630						
76050	20030630						
76135	20030630						
76153	20030630						
76201	20030630						
76443	20030630						
76742	20030630						
76854	20030630						
77150	20030630						
77253	20030630						
77347	20030630						
77374	20030630						
77422	20030630						
77758	20030630						
77851	20030630						
78036	20030630						
78054	20030630						
78157	20030630						
78241	20030630						
78559	20030630						
78643	20030630						
78858	20030630						
79042	20030630						
79127	20030630						
79145	20030630						
79257	20030630						
79855	20030630						
80020	20030630						
80150	20030630						
80431	20030630						
80552	20030630						
80936	20030630						
81054	20030630						
81429	20030630						
82024	20030630						
82033	20030630						
82257	20030630						
82350	20030630						
82659	20030630						
83151	20030630						
83236	20030630						
83311	20030630						
83357	20030630						
83450	20030630						
83638	20030630						
83834	20030630						
83852	20030630						
83955	20030630						
