"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
37	997	90	53	0	909	55	0	0	0	0	
242	125	0	5	0	128	8	0	0	0	0	
279	344	0	4	0	352	12	0	0	0	0	
354	220	110	6	0	135	31	0	0	0	0	
439	1272	267	18	0	1005	18	0	0	0	0	
457	203	25	1	0	192	15	0	0	0	0	
505	2580	450	101	0	2056	27	0	0	0	0	
1146	2834	220	38	0	2890	314	0			0	
1155	1334	90	30	0	1345	131	0	0	0	0	
1351	389	30	10	0	380	31	0	0	0	0	
1454	820	20	24	0	828	52	0	0	0	0	
1557	367	176	1	0	380	190	0	0	0	0	
1632	2828	240	69	0	2618	99	0	0	0	0	
1669	1548	115	22	0	1528	117	0	0	0	0	
1829	2383	329	9	0	2088	43	0	0	0	0	
1856	109	0	0	0	109	0	0	0	0	0	
2040	1492	130	243	0	1238	119	0	0	0	0	
2161	484	30	2	0	511	59	0	0	0	0	
2376	6172	0	8	0	6164	0	0	0	0	0	
2451	147	20	0	0	131	4	0	0	0	0	
2554	61	18	0	0	43	0	0	0	0	0	
2732	2805	275	31	0	2525	26	0	0	0	0	
2750	787	8	11	0	776	8	0	0	0	0	
2938	3582	2715	7	0	3340	2480	0	0	0	0	
2956	715	14	6	0	875	180	0	0	0	0	
3252	1239	120	80	0	1224	185	0	0	0	0	
3458	347	0	7	0	342	2	0	0	0	0	
3506	9537	795	5	0	7206	399	1930			0	
3579	2888	168	22	0	1913	99	884	0	0	0	
3720	1132	57	6	0	1078	9	0	0	0	0	
3953	1123	300	10	0	844	31	0	0	0	0	
4138	1136	225	89	0	974	152	0	0	0	0	
4147	480	60	3	0	466	49	0	0	0	0	
4156	1282	130	42	0	1325	215	0	0	0	0	
4231	741	50	35	0	691	35	0	0	0	0	
4437	1106	175	13	0	1036	118	0	0	0	0	
4745	58	2	0	0	61	5	0	0	0	0	
4839	1803	270	28	0	1745	240	0	0	0	0	
5005	1306	70	1	0	1238	3	0	0	0	0	
5050	542	50	14	0	549	71	0	0	0	0	
5069	5674	180	0	0	5494	0	0	0	0	0	
5135	1475	60	21	0	1664	270	0	0	0	0	
5210	3874	120	34	0	3837	117	0	0	0	0	
5247	2288	90	15	0	2253	70	0	0	0	0	
5274	737	45	17	0	689	14	0	0	0	0	
5331	787	0	85	0	624	8	86	0	0	0	
5461	1761	0	13	0	1752	4	0	0	0	0	
5751	822	22	1	0	807	8	0	0	0	0	
5939	27279	848	786	0	27987	2342	0	0	0	0	
6039	1056	150	12	0	940	46	0	0	0	0	
6057	165	8	8	0	176	27	0	0	0	0	
6141	222	30	32	0	316	156	0	0	0	0	
6329	2318	300	53	0	2615	650	0	0	0	0	
6972	6164	250	68	0	6257	411	0	0	0	0	
7009	0	0	0	0	0	0	0	0	0	0	
7045	771	75	26	0	714	44	0	0	0	0	
7157	247	45	3	0	199	0	0	0	0	0	
7166	4680	600	28	0	4100	48	0	0	0	0	
7456	414	0	0	0	415	1	0	0	0	0	
7634	652	90	25	0	616	79	0	0	0	0	
8033	618	6	30	0	617	35	0	0	0	0	
8417	365	-68	0	0	433	0	0	0	0	0	
8462	341	20	11	0	336	26	0	0	0	0	
8547	3701	1295	135	0	3684	1413	0	0	0	0	
8631	306	24	21	0	333	72	0			0	
9115	9473	1050	39	0	8644	260	0	0	0	0	
9160	1521	315	1	0	1210	5	0	0	0	0	
9357	3114	270	7	0	2842	5	0	0	0	0	
9553	518	25	2	0	491	0	0	0	0	0	
9807	37453	1750	246	0	35475	18	0	0	0	0	
9955	435	0	39	0	407	11	0	0	0	0	
10157	672	50	60	0	589	27	0	0	0	0	
10250	2078	350	136	0	1735	143	0	0	0	0	
10849	1797	113	1	0	1689	6	0	0	0	0	
10858	7157	5048	37	0	5483	3411	0			0	
11145	1378	210	24	0	1197	53	0	0	0	0	
11640	1251	185	95	0	1163	192	0	0	0	0	
11837	1270	0	62	0	1213	5	0	0	0	0	
12030	4480	750	1366	0	3505	1141	0	0	0	0	
12058	1015	347	55	0	1076	463	0	0	0	0	
12142	916	190	76	0	1163	513	0	0	0	0	
12245	732	20	11	0	744	43	0	0	0	0	
12311	305011	85322	16309	0	323010	90325	-29305	0	0	0	
12357	86	0	0	0	86	0	0	0	0	0	
12647	454	24	1	0	431	2	0	0	0	0	
12656	292	0	15	0	303	26	0	0	0	0	
12937	862	37	0	0	830	5	0	0	0	0	
12946	3804	271	153	0	3843	463	0	0	0	0	
12955	817	30	22	0	825	60	0	0	0	0	
13037	1704	430	7	0	1519	252	0	0	0	0	
13103	4301	416	4	0	4004	123	0	0	0	0	
13251	325	0	54	0	275	4	0	0	0	0	
13309	62607	6948	2300	0	63250	9891	0	0	0	0	
13457	346	-51	53	0	344	0	0	0	0	0	
14052	820	110	1	0	725	16	0	0	0	0	
14155	1097	144	60	0	993	100	0	0	0	0	
14258	5486	390	57	0	5292	253	0			0	
14409	221318	36874	10301	0	211697	37554	0	0	0	0	
14454	610	70	8	0	670	138	0	0	0	0	
14650	411	0	123	0	302	14	0			0	
14753	549	0	1	0	553	5	0	0	0	0	
14865	1007	325	9	0	753	80	0	0	0	0	
14931	151	5	0	0	146	0	0	0	0	0	
14940	1339	194	17	0	1205	77	0	0	0	0	
15536	12084	0	75	0	12648	639	0	0	0	0	
16337	1798	285	81	0	1587	155	0	0	0	0	
16458	1554	128	14	0	1547	135	0	0	0	0	
16551	1353	270	2	0	1218	137	0	0	0	0	
16748	396	78	10	0	438	130	0	0	0	0	
16766	6153	-14	0	0	6662	495	0			0	
16944	287	0	1	0	306	20	0	0	0	0	
16953	117	10	2	0	114	9	0	0	0	0	
17110	826	41	0	0	785	0	0	0	0	0	
17147	9311	4223	140	0	5648	700	0	0	0	0	
17259	150	30	11	0	126	17	0	0	0	0	
17464	8389	1400	166	0	7669	846	0	0	0	0	
17549	2050	0	155	0	2141	246	0	0	0	0	
17839	1690	280	58	0	2010	658	0	0	0	0	
17950	553	24	1	0	528	0	0	0	0	0	
18050	2142	150	68	0	2012	88	0	0	0	0	
18135	625	153	54	0	675	257	0	0	0	0	
18368	5837	600	104	0	5977	844	0	0	0	0	
18377	77	0	0	0	77	0	0	0	0	0	
18827	1056	55	16	0	1099	86	-28	0	0	0	
18836	1177	475	64	0	788	150	0	0	0	0	
18854	154	12	0	0	142	0	0	0	0	0	
18863	5433	200	37	0	5442	113	-133	0	0	0	
18957	405	39	11	0	379	24	0	0	0	0	
19356	1011	0	72	0	1082	143	0	0	0	0	
19730	13781	0	6	0	11489	344	2630	0	0	0	
19936	1238	120	75	0	1167	124	0	0	0	0	
19972	85	0	0	0	85	0	0	0	0	0	
20053	171	12	1	0	158	0	0	0	0	0	
20147	493	0	17	0	520	44	0	0	0	0	
20259	245	9	4	0	241	9	0	0	0	0	
20370	983	245	91	0	1038	391	0	0	0	0	
20512	686	8	36	0	708	66	0	0	0	0	
20633	1815	0	36	0	1856	77	0	0	0	0	
20754	65	0	2	0	63	0	0	0	0	0	
20839	970	72	5	0	907	14	0	0	0	0	
20857	243	99	0	0	243	99	0	0	0	0	
20866	539	156	14	0	409	40	0	0	0	0	
21256	46	0	4	0	57	15	0	0	0	0	
21359	121	0	0	0	121	0	0	0	0	0	
21630	372	30	1	0	341	0	0	0	0	0	
21658	1495	120	21	0	752	204	806	0	0	0	
22048	1060	184	26	0	1234	384	0	0	0	0	
22235	2324	600	12	0	2333	621	0	0	0	0	
22356	1714	0	179	0	1740	205	0	0	0	0	
22459	875	42	14	0	853	34	0	0	0	0	
22543	408	20	3	0	390	5	0	0	0	0	
22552	487	36	3	0	490	42	0	0	0	0	
22730	787	0	39	0	778	30	0	0	0	0	
22936	1710	300	126	0	1426	142	0	0	0	0	
22954	607	56	25	0	582	56	0	0	0	0	
23036	3568	674	41	9	3089	227	0	0	0	0	
23045	226	0	1	0	228	3	0	0	0	0	
23241	24862	2835	1333	0	24632	3938	0	0	0	0	
23456	520	60	6	0	479	25	0	0	0	0	
23504	2175	0	29	0	2294	148	0	0	0	0	
23540	390	6	11	0	393	20	0	0	0	0	
23643	1029	320	31	0	998	320	0	0	0	0	
23755	591	60	18	0	536	23	0	0	0	0	
23812	6156	767	144	0	6230	985	0	0	0	0	
24006	2065	250	23	0	1816	24	0	0	0	0	
24266	17963	260	574	0	17370	241	0	0	0	0	
24453	360	0	3	0	363	6	0	0	0	0	
24659	222	56	0	0	222	56	0	0	0	0	
24668	1219	192	26	0	1024	23	0	0	0	0	
24855	51	0	4	0	51	4	0	0	0	0	
24949	4299	607	42	0	3803	153	0	0	0	0	
25357	253	45	0	0	211	3	0	0	0	0	
25647	1674	-71	150	0	1883	288	0	0	0	0	
25852	4827	248	13	0	4638	72	0	0	0	0	
26149	445	62	12	0	504	133	0	0	0	0	
26233	3512	123	57	0	3664	332	0	0	0	0	
26242	1195	426	143	0	1126	500	0	0	0	0	
26457	214	0	11	0	204	1	0	0	0	0	
26756	791	12	154	0	858	233	0	0	0	0	
26765	181	90	7	0	121	37	0	0	0	0	
26859	2341	640	87	0	2037	423	0	0	0	0	
26916	2495	0	59	0	2670	234	0	0	0	0	
27548	2342	365	144	0	2080	247	0	0	0	0	
27614	1506	0	8	0	1550	52	0			0	
27838	1523	0	0	0	1523	0	0	0	0	0	
27847	1419	100	31	0	1367	79	0	0	0	0	
28013	2749	0	0	0	2749	0	0	0	0	0	
28152	236	0	0	0	236	0	0	0	0	0	
28255	472	0	34	0	465	27	0	0	0	0	
28349	646	0	43	0	658	55	0	0	0	0	
28406	1564	100	1	0	1463	0	0	0	0	0	
28572	318	24	43	0	293	42	0	0	0	0	
28732	326	18	1	0	311	4	0	0	0	0	
29104	2655	159	9	0	2498	11	0	0	0	0	
29159	236	0	13	0	246	23	0	0	0	0	
29252	990	50	0	0	952	12	0	0	0	0	
