"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37																																					0	2828	0	0	27506	0	454	65	1477	79747	64405	417	64822	0	1083	0	0	0	14925	1200	79747	0	0	10378	0	3500	0	6247	58158		0	45043	43960	-153	3457	0	0	0	
242																																					100	939	0	0	8297	0	304	0	479	33560	24481	115	29720	0	160	0	2812	0	3840	120	33560	0	0	3623	0	120	0	4098	20383		0	20566	20406	-23	3035	0	0	2312	
279																																					13	2154	75	43725	21386	252	2914	428	2437	128292	81235	368	108346	0	349	0	26743	0	19946	0	128292	0	0	20321	0	0	0	4580	76654		0	54747	54398	-375	510	0	0	0	
354																																					0	474	0	0	3304	0	47	0	191	8194	6206	58	7247	0	190	0	0	0	947	25	8194	0	0	465	0	500	0	1370	4836		0	4368	4178	-43	0	0	983	0	
439																																					67	6991	3835	0	24014	0	3467	16	2692	187602	155696	1986	157682	0	1820	10119	0	0	29920	596	187602	0	0	2554	0	26808	0	38087	117609		0	138109	136289	-38	112	0	0	0	
457																																					18	537	0	827	603	0	117	80	964	27584	24635	236	24871	0	348	0	0	0	2713	60	27584	0	0	365	0	2290	0	2919	21716		0	22741	22393	-2	2045	0	0	0	
505																																					162	5810	100	0	69128	0	3886	157	6510	319489	271780	2404	295844	53	2627	1594	21660	0	23592	6480	319489	0	0	7455	0	10653	0	45715	226065		0	234769	232142	-996	0	0	0	0	
1146																																					207	18450	479	150	48771	0	24249	572	14621	499416	422782	6727	460162	0	4711	196	24653	6000	39254	19	499416	0	0	30796	0	8854	41459	69850	352932		0	354973	350262	-415	0	0	0	0	
1155																																					5109	6429	0	2995	36749	0	5019	0	6507	185481	145406	1867	171978	0	1709	0	3000	0	13503	1600	185481	0	0	8546	0	3400	726	16934	128472		0	123656	121947	-43	0	0	0	21705	
1351																																					0	4843	0	36987	3647	0	1060	160	1456	108032	92462	626	93088	0	1120	0	0	0	14944	240	108032	0	0	14227	0	530	0	9707	82755		0	57672	56552	-53	3327	0	0	0	
1454																																					384	23762	57	0	138820	0	3329	0	8656	388849	355699	923	356622	0	1740	0	0	0	32227	1000	388849	0	0	31091	0	1214	718	100390	255309		0	200263	198523	-1078	14600	0	0	0	
1557																																					50	1999	0	2398	10129	0	173	0	674	35825	28786	280	31191	0	377	0	2125	0	4634	200	35825	0	0	3648	0	800	0	5505	23281		0	18782	18405	-14	1997	0	0	0	
1632																																					102	13799	0	0	32773	0	13624	0	10956	584268	496571	7331	534296	0	7059	0	3000	0	49972	1900	584268	0	0	20506	0	27679	0	42386	454185		0	520073	513014	-113	0	0	21802	5592	
1669																																					2624	8553	1569	67578	45689	0	1570	0	8925	219114	178964	798	180478	0	1609	0	716	0	38636	800	219114	0	0	37627	0	800	0	37363	141601		0	71440	69831	-591	12775	0	0	0	
1829																																					622	7038	781	0	100271	0	3098	381	8911	365500	300426	1753	326177	0	4196	7686	21818	0	39324	390	365501	0	0	35163	0	3100	0	58460	241967		0	240908	236712	671	0	0	0	2180	
