"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											160					0	0	0	0	
242											153					2812	0	0	2312	
279											1475					26743	0	0	0	
354											5					0	0	0	0	
439											339					0	0	0	0	
457											124					0	0	0	0	
505											2019					21660	0	0	0	
1146											2735					24653	903	0	0	
1155											750					3000	0	0	21705	
1351											0					0	0	0	0	
1454											1096					0	5	0	0	
1557											135					2125	0	0	0	
1632											1074					3000	0	0	5592	
1669											426					716	0	0	0	
1829											1805					21818	2103	0	2180	
1856											4620					83000	0	0	0	
2040											1194					21909	86	0	0	
2161											251					0	0	0	0	
2376											12236					233197	8429	0	0	
2451											647					7978	0	0	0	
2554											0					0	0	0	0	
2732											181					461	0	0	0	
2750											472					6400	0	0	0	
2938											1428					15500	0	0	4174	
3252											301					2367	0	0	0	
3458											177					0	0	0	2145	
3506											9368					110326	0	0	11529	
3720											565					4330	0	0	3879	
3953											967					392	4	0	0	
4138											940					2437	0	0	0	
4156											1526					30105	0	0	0	
4231											0					0	0	0	0	
4437											892					9993	0	0	3822	
4839											1595					27900	0	0	9039	
5005											3282					39303	17428	0	0	
5069											0					0	0	0	0	
5135											880					8000	0	0	0	
5210											10263					180064	0	0	21999	
5331											3792					18438	0	0	68000	
5461											0					28221	2040	0	0	
5751											262					0	0	0	0	
6039											291					0	51	0	0	
6057											186					500	0	0	0	
6141											150					0	0	0	0	
6329											1095					5000	0	0	0	
6972											718					37800	0	0	13008	
