"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1257	RCFD1258	RCFD1259	RCFD1271	RCFD1272	RCFD1583	RCFD1594	RCFD1597	RCFD1658	RCFD1659	RCFD1661	RCFD1791	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD5612	RCFD5613	RCFD5614	RCFD5615	RCFD5616	RCFD5617	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDB578	RCFDB579	RCFDB580	RCFDC226	RCFDC240	RCFDC241	RCFDC410	RCFDC411	RCFDC866	RCFDC867	RCFDC868	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1271	RCON1272	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON1658	RCON1659	RCON1661	RCON1791	RCON2759	RCON2769	RCON3492	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3502	RCON3503	RCON3504	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON5612	RCON5613	RCON5614	RCON5615	RCON5616	RCON5617	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB578	RCONB579	RCONB580	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	RCONC410	RCONC411	RCONC866	RCONC867	RCONC868	
73031																																																																	0	0	0												0	0	0	0	0	0		2095	0	397	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	
73116																																																																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	541	323	0	0	0	0	495	0	0	0	0	0	2409	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	84	0	0	0	0	54	11	965	0	87	0	0	0	0	0	0	0	0	
73152																																																																	0	0	0									0	0	0	29	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	
73554																																																																	0	0	0									569	214	229	0	272	0	0	0	0		0	0	0	19	55	0	0	0	0	0	36	0	0	0	0						0	0	0	19	47	0	214	229	569	0	0	0	0	0	0	0	0	0	0	0	0	56	69	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	
73956																																																																	0	0	0									0	19	1	0	0	26	0	0	0		0	0	0	0	7	0	0	0	0	27	0	0	0	0	0						0	0	0	0	0	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	129	44	45	0	0	0	0	11	0	7	0	0	0	0	0	48	0	0	0	0	
74056																																																																	0	0	0									0	0	0	0	0	267	0	0	0		0	0	0	0	23	0	0	0	0	0	55	0	0	0	0						0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	21	5	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	
74140																																																																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	88	156	0	0	0	0	0	0	0	0	0	0	0	0	0	2020	188	726	0	0	0	0	0	0	0	0	0	0	0	67	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	459	0	1470	100	191	0	0	0	0	0	0	0	0	
74159																																																																	0	0	0									0	0	0	0	0	0	0	0	0		0	0	398	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
74337																																																																	0	0	0												0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	
74403																																																																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	223	0	0	0	0	196	0	84	0	51	0	0	0	46	0	0	0	0	
74449																																																																	0	0	0												19	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	72	141	13	2	0	0	0	0	0	0	0	
74458																																																																	0	0	0									0	0	0	13	0	638	0	0	0		0	0	0	0	0	0	0	0	0	25	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	2	0	0	0	0	0	33	0	343	0	0	0	0	0	9	0	0	0	0	
75053																																																																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	250	0	0	0	0	376	0	248	0	0	0	0	0	0	1004	0	101	0	0	0	0	0	0	0	0	0	0	0	62	0	33	6	0	0	0	0	0	0	0	0	0	0	0	4	1	0	172	7	137	0	0	0	0	0	57	3432	30	15	0	0	0	416	0	0	0	0	
75259																																																																	0	0	0									0	2	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	24	0	0	0	0	0						0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
75446																																																																	0	0	0									0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	776	0	0	0						0	0	0	2	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	146	0	491	0	0	0	0	0	0	0	0	0	0	
