"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	
603540	6480	0	1083	7530	0	11832	0	0	2011	0	3471	0	42347	0	1800	6913	0	23627	5327	5338	14008	5062	2011	1460	3157	10851	7022	2597	1162	3900	1024	827	10749	40547	0	0	
603559	1130	7	450	3142	0	5251	0	0	0	0	0	0	19430	0	1534	4670	1984	11025	2606	1144	8426	3965	0	0	2040	6386	2464	134	1714	2251	575	130	4794	15173	0	2723	
603755	1269	3	5125	5768	0	14785	0	0	0	0	0	0	17476	0	8803	9999	12915	5017	1191	1149	4037	9500	0	0	1364	2673	769	211	3122	6378	499	0	9657	8673	0	0	
603951	4714	3	4751	13533	0	24456	0	0	100	0	100	0	62216	0	9548	10364	12825	33999	13139	9441	24472	8578	0	0	12880	13431	7643	45	3960	4733	1671	0	19660	52668	42	0	
604024	16497	75	1378	39235	0	57013	0	0	450	0	450	0	151533	0	5072	22415	4615	69872	42749	11660	50353	17322	450	0	15611	34742	18658	861	5174	12148	4843	250	55560	146461	0	0	
604033	1960	0	1202	2280	0	5682	0	0	0	0	0	0	10258	0	4961	1008	4456	3286	4004	216	2752	606	0	0	1416	1336	534	0	406	200	402	0	4480	5297	0	0	
604453	5672	20	8830	6214	0	19393	0	0	0	0	0	0	21219	0	768	1395	9001	6745	7407	2214	4735	1163	0	0	1297	3438	1467	543	225	938	232	0	10543	20451	0	0	
604547	3923	0	2585	4952	0	13467	0	0	0	0	0	0	42082	0	3506	6264	2805	20899	10996	2579	15258	5430	0	0	5642	9619	5194	444	1263	4167	834	0	10882	38576	0	0	
604556	20331	31	863	34103	0	54948	0	0	0	0	0	0	69901	0	610	11264	1201	25390	12915	3114	23300	10401	0	0	9475	13825	2090	0	4941	5460	863	0	53707	69291	347	0	
604640	4869	6	923	4148	0	8012	0	0	0	0	0	0	18767	0	4691	6548	4915	5990	1360	2614	4937	6442	0	0	2730	2439	752	69	2738	3705	105	0	7083	14076	0	0	
605058	11740	0	439	11088	0	31658	0	0	0	0	0	0	35865	0	0	6027	0	13104	4994	1520	9545	4180	0	0	3080	6465	2691	868	1066	3114	528	1319	31219	35865	0	0	
605133	140332	0	0	13825	0	40859	0	0	11054	15280	26334	0	316801	0	1480	78618	0	71662	26189	6997	52051	75232	11054	15280	29844	37487	3637	694	44203	31029	2655	731	40859	305398	0	9923	
605610	26190	47	0	7718	0	21245	0	0	0	7000	7000	0	92739	0	10094	26842	10094	35855	3852	7121	28245	16990	0	0	8882	19363	6353	1257	5283	11707	2231	7621	21193	82645	5	0	
605656	16598	7	12115	33957	0	67797	0	0	3580	0	3580	0	171685	0	18123	39330	28666	83624	32133	16112	59386	30917	3580	0	23535	40134	15496	4459	14522	16514	6875	1419	55675	153562	0	0	
606046	715587	292	303509	1798128	0	2201980	0	0	0	0	0	0	7476662	12590	959458	2072021	182267	2236611	2452443	495110	1613616	1615955	0	0	469748	1143868	521879	101116	681358	934597	361044	95022	1896436	6504405	1743	209	
606073	23171	0	0	863	0	6005	0	0	1364	400	3764	0	72894	0	0	13216	0	36507	0	6354	25685	9220	493	2000	6030	19655	7312	3510	1160	8061	2337	1659	6005	72894	0	0	
606653	88004	334	8456	12592	0	24565	0	0	2879	0	19099	0	237023	0	1381	91280	9237	54497	3242	6450	50391	83309	2516	14389	14275	36116	3968	138	38320	44989	7871	100	15775	200256	0	35386	
607146	3462	0	2179	5428	0	16774	0	0	2375	0	3132	0	57015	0	3777	30237	2668	16690	6626	3169	13149	25822	2375	757	3439	9710	3038	505	6758	19064	4100	315	14595	49793	0	3445	
607333	9038	24	884	19634	0	48895	0	0	0	0	25282	0	145713	0	1012	40082	1316	57013	39580	10850	15229	4696	0	0	5711	9709	37649	3944	1180	3516	26488	8898	47987	144701	0	0	
607511	11027	11	9087	24501	0	59523	0	0	0	0	0	0	154767	0	11431	41035	17233	94497	8208	13424	62342	35243	0	0	8658	53684	30846	1309	5253	29990	5792	0	48454	143134	1971	202	
608358	2626	0	424	4298	0	9897	0	0	0	0	0	0	15330	0	1922	6114	889	4471	2119	668	3060	3135	0	0	1256	1804	805	606	1895	1240	1907	1072	9473	13408	0	0	
608367	1995	0	765	8083	0	15789	0	0	0	0	0	0	17009	0	652	5485	1184	8000	1529	1584	7019	4307	0	0	2597	4838	389	176	1378	3123	884	100	15024	16357	0	0	
608451	4340	12	58	12059	0	19278	0	0	0	0	0	0	25300	0	4730	6075	3888	11892	2993	2786	9747	6075	0	0	3062	6685	2145	0	3166	2909	0	0	19208	20570	0	0	
608844	26517	95	14224	34203	0	67643	0	0	0	0	0	0	98891	0	10501	28995	17371	27067	16312	7282	23893	27483	0	0	7268	16645	2755	399	8070	19413	1094	418	53315	88390	9	0	
