"IDRSSD"	RCFDF066	RCFDF067	RCFDF068	RCFDF069	RCFDF070	RCFDF071	RCFDF072	RCFDF073	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	
59316																	
59352																	
59679																	
59754																	
60143	23686	0	0	0	25658	0	3299	0	23686	0	0	0	25658	0	3299	0	
60219																	
60330																	
60433																	
60545																	
60554																	
60648																	
61122									285	0	0	0	345	0	0	0	
61355									12749	0	0	0	10426	0	1974	0	
61476																	
61533																	
61757																	
61832																	
61953																	
62044																	
62101									0	0	0	0	0	0	0	0	
62147																	
63050																	
63069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63078																	
63201																	
63359																	
63573																	
63733																	
63742																	
63751																	
64150																	
64543																	
64552																	
64619	138508	5400	1438	0	136556	5517	31334	1986	138508	5400	1438	0	136556	5517	31334	1986	
64730																	
65205																	
65241																	
65513																	
65559																	
65746																	
65858									0	0	0	0	0	0	0	0	
66015																	
66154																	
66172																	
66275																	
66837																	
66846																	
67142																	
67151																	
67209																	
67254																	
67311									64075	0	0	0	65260	0	13478	0	
68345																	
68448																	
68756																	
68831																	
68840																	
68859																	
68943																	
69333																	
69351																	
69678																	
69847																	
70049																	
70058																	
70076																	
70151																	
70218																	
70254																	
70414																	
70638																	
70955																	
71318																	
71457																	
71859																	
72258																	
72351																	
72454																	
72614									0	0	0	0	0	0	0	0	
72678																	
73031																	
73116																	
73152																	
73554																	
73956																	
74056																	
74140																	
74159																	
74337																	
74403																	
74449																	
74458																	
75053																	
75259																	
75446																	
75455																	
75558																	
75633	71139	0	3067	0	67957	0	34451	0	71139	0	3067	0	67957	0	34451	0	
75651																	
76050																	
76135																	
76153																	
76443																	
76854																	
77150																	
77253																	
77347																	
77422																	
77758																	
77851																	
78036																	
78054																	
78157																	
78241																	
78559																	
78643																	
78858																	
79042																	
79127																	
79145																	
79257																	
79855																	
80020																	
80150																	
80431																	
80552																	
80936																	
81054																	
81429																	
82033																	
82257																	
82350																	
82659																	
83151																	
83236																	
83311									0	0	0	0	119989	0	0	0	
83357																	
83450																	
83638	1465	0	0	0	1275	0	190	0	1465	0	0	0	1275	0	190	0	
83834																	
83852																	
83955																	
84046																	
84055																	
84251																	
84345																	
84541																	
84804																	
85043																	
85052																	
85258																	
85454																	
85856																	
85931																	
86349																	
86358																	
86527																	
86554																	
87047																	
87159																	
87234																	
87476																	
87533																	
88240																	
88259																	
88352																	
88455																	
88530																	
88950																	
89032																	
89135																	
89162																	
89452																	
89751																	
89854																	
89957																	
90047																	
90328																	
90337																	
90467																	
90645																	
90739																	
91147																	
91156																	
91259																	
91615																	
91651																	
91754																	
91866																	
91950																	
91969																	
92050																	
92144																	
92630									0	0	0	0	0	0	0	0	
92706																	
92854																	
92902																	
93244																	
93413																	
93543																	
93619																	
93721									84934	314	0	0	68112	256	33742	58	
93758																	
94139																	
94456																	
94522																	
94755																	
94858																	
95051																	
95659																	
96254																	
96357																	
96553																	
97055																	
97279																	
97457																	
97804																	
97943																	
98351																	
98454																	
98463																	
98548																	
98557																	
98641																	
98717																	
99004																	
99059																	
99143																	
99255																	
99442																	
99536																	
99853																	
99974																	
100160																	
100236																	
100357																	
100553																	
100562									17748	0	0	0	17748	0	0	0	
100843																	
101019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101037																	
101233									30128	0	312	0	26485	0	5018	0	
101345																	
101439																	
101671																	
101738																	
101952																	
102155																	
102333																	
102342																	
102539																	
102557																	
103134																	
103255																	
103536																	
103554																	
103563																	
103602																	
104038																	
104056																	
104234																	
104430																	
104542																	
104663																	
105026																	
105044																	
105053									0	0	11970	642	12448	701	1750	85	
105071																	
105222																	
105530																	
105633																	
106359																	
106377																	
106452																	
106519																	
106546																	
106555																	
106658																	
107057																	
