"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON3510	RCON3512	RCON3514	RCON3520	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	PB/PSA FDIC CERTIFICATE NUMBER	
37	152	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3835		0	0	46682		13888	67		
242	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1390		0	0	13249		9842	55		
279	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	9534		282	1	56952		14466	107		
354	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	0		0	0	5229		978	3		
439	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	8320		592	2	93878		52906	225		
457	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	755		0	0	17997		5883	32		
505	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7438		570	1	150607		113165	415		
1146	0	0	0	4624		0	0	7		0	0	0	0	0		0	0		0	0	0	0	0	0	0	10910		1072	4	228017		182783	849		
1155	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	10327		336	1	81018		53725	148		
1351	0	1	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5140		0	0	34760		52562	235		
1454	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	15334		0	0	193978		146387	513		
1557	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1885		0	0	19523		7378	33		
1632	0	0	0	0		0	0	0		0	0	0	0	0		19	0		0	0	0	0	0	0	0	19350		4204	10	250151		222866	764		
1669	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	10642		0	0	114099		54223	196		
1829	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	19416		4869	10	193072		83069	433		
