"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	
595449																																	0	623	714	204	2624		91		1322	0			7600	0	1596	0	4002	35457	0	0			0	14689	1828	0	9595	687	129	719	500	12654	0	4354	4425	2491	3955	5523	0								164	0			0	0	
595560																																	0	4831	5806	0	10586		44		3703	0			5268	0	0	0	233	56696	0	0			0	20749	0	151	7375	375	523	3250	7783	8130	481	6702	4239	9019	9884	4970	991								266	5210			0	0	
595869																																	438	899087	0	318771	2734521	0	4078	4078	0	955	1154540	0	1154540	129656	13856	0	0	5735605	11942	5359	5359	0	84065	476208	10762	66156	1949797	13563	12937	46255	18552	229285	155166	2941873	233762	371723	578178	1109562	14369	438	0	438	0	0	0	0	167	104	434	0	2751	2751	
595944																																	0	2305	9614	256	7260		5		5674	0			4868	18	2441	0	0	39317	0	0			0	6163	470	11	13243	231	715	2196	1780	1241	0	10502	2036	9204	5445	4825	1142								236	7			0	0	
595953																																	0	0	210	0	0		43		8091	0			1349	0	2680	0	0	12373	0	0			0	0	0	0	9698	0	0	0	0	0	0	3828	5870	1066	1056	424	0								0	0			0	0	
596053																																	0	1988	7228	76	3229		704		9860	0			16746	0	6803	0	88	52891	28	0			0	4629	618	0	21034	1097	1940	703	202	687	0	10617	11148	4824	9335	8422	3800								895	55			0	0	
596062																																	0	18563	21831	4319	24700		547		24724	17			26697	0	23967	0	556	217707	0	503			0	68332	2968	57143	65603	6460	18958	18905	11994	4419	7420	33788	48459	33606	22308	7795	3040								0	0			0	0	
596156																																	0	20732	0	1730	62879		37		0	0			22093	77	6166	0	0	128355	0	0			0	8253	6388	0	55975	2102	219	1341	1006	3283	256	45386	8268	25246	26031	12248	2892								0	0			0	0	
596455																																	0	1755	2349	316	11805		246		3137	0			21055	271	9206	0	0	66106	0	0			0	14471	1495	0	29587	3613	3701	6116	305	60	676	11005	12677	17814	8047	1149	667								0	0			0	0	
596642																																	0	582	80	18	2468		9		1334	0			26412	0	3463	0	0	43365	0	0			0	8999	0	0	23033	3114	3414	2181	210	37	0	13981	8713	9299	1410	66	34								0	0			0	0	
596848																																	0	118079	12666	13128	124914	10595	16968	6373	39523	0	197390	0	197390	14888	16661	0	6833	617997	0	0	0	0	0	41818	11677	16570	266547	3194	4593	13035	17852	2525	619	254218	52004	124959	113710	24911	4895	0	0	0	0	0	0	0	2622	830	0		0	0	
596978																																	0	13420	0	8398	2201		13		0	30			3738	0	3092	0	0	106824	13	0			0	68901	7074	55594	47254	23007	5581	11861	22775	2190	1073	7867	10799	4508	2706	8246	3356								0	0			0	0	
597041																																	0	724	1586	248	25434		0		679	0			8235	24	557	0	32	44699	1	0			0	6729	427	1770	14764	94	940	2978	1636	1038	43	16882	2364	10889	3640	1839	1307								0	25			0	0	
597162																																	0	3687	1433	0	36297		30		0	0			20927	0	145	0	0	65791	241	0			0	3513	0	3513	18951	925	1116	0	168	827	477	12755	4182	11519	11042	11899	11119								0	0			0	0	
597256																																	0	0	186	0	0		0		3110	0			175	0	171	0	0	3839	0	0			0	197	0	0	3181	37	86	24	0	50	0	2161	938	271	272	0	0								0	0		0	0	0	
597313																																	0	2542	5765	1155	29705		60		1669	0			26782	262	2984	0	60	134392	11	0			0	52625	9815	9742	10929	974	813	2762	8362	23014	16641	20241	3174	12064	21706	18263	5672								589	390			0	0	
597452																																	0	6656	0	334	1563		155		0	0			22325	128	6834	0	0	49217	30	0			0	10131	1085	0	30886	2907	2524	940	729	2885	0	13247	12208	7234	4172	2074	0								0	36			0	0	
597546																																	0	1585	26735	0	31928		23		12015	0			13380	2545	5552	0	3137	129808	0	0			0	30322	2288	18168	55325	1186	3698	11820	4314	8811	493	19497	31265	25561	14943	6529	394								133	165			0	0	
597555																																	0	8549	26755	1228	26863	0	778	778	33838	0	37604	0	37604	8096	38250	0	0	213071	0	0	0	0	0	30514	494	30514	63138	1514	7308	8918	11140	1145	489	51688	30236	45378	47448	7669	127	0	0	0	0	0	0	0	0	102	0		0	0	
597658																																	0	174	3333	0	3593		32		10543	0			3669	66	6267	0	0	34597	0	0			0	6689	176	1560	10762	204	540	966	223	1926	2830	17087	1862	3775	3957	804	0								0	55			0	0	
597751																																	0	641	7928	0	11393		54		2640	0			16268	0	8250	0	109	61518	5	252			0	12843	819	0	25838	951	2390	5370	1994	2115	23	13337	12570	13543	7286	1939	0								326	0			0	0	
598002																																	0	3693	0	71	39641		671		0	0			10256	10588	1981	0	0	184310	0	0			0	113260	4028	55730	9434	1544	4315	18703	33705	54334	325	20202	10610	11713	17850	9268	0								0	121			0	0	
598048																																	0	12366	111	651	64653		148		356	0			38057	6852	6687	0	0	165243	0	0			0	31484	3225	0	53585	5347	6775	17228	1457	676	0	37729	30093	49812	11805	3274	0								369	284			0	0	
598132																																	0	831	117	0	5369		32		611	0			10211	0	2379	0	0	25161	0	0			0	5578	33	0	15180	706	1852	2331	395	246	48	9088	3547	4880	1481	534	53								0	0			0	0	
598534																																	0	306078	2270	3195	177540	3536	4626	1090	0	0	101778	0	101778	47030	688968	0	14969	1389024	0	0	0	0	8978	38506	3242	15107	383328	6945	5460	6480	3325	5255	10813	491086	13994	196717	395838	243056	5468	0	0	0	0	0	0	0	0	822	0		0	0	
598543																																	2186	120	4853	0	0		56		22910	0			5980	51	1935	0	33	49571	0	0			0	5168	54	4339	19468	203	4517	281	156	11	0	11986	9390	10443	10592	1895	0								6225	0			0	0	
598646																																	0	97	3831	1859	1536		65		5103	0			5511	10	2464	0	0	28131	15	177			0	7196	297	3053	8875	235	967	696	741	2683	1870	3868	6905	3259	3740	2512	0								0	0			0	0	
598954																																	0	118370	541	33076	300960	0	5160	5160	0	782	137699	0	137699	9510	4597	0	4324	643535	127	0	0	0	0	29006	401	13796	222556	5609	2879	12091	6922	0	1108	208746	46382	220444	129620	7532	752	0	0	0	0	0	0	0	0	18	0		0	0	
599643																																	0	796	8563	0	11158		4		5169	0			5369	1061	3167	0	146	44201	0	0			0	8331	423	5042	31002	1004	5233	1804	59	0	0	11583	15811	3908	4159	143	63								14	0			0	0	
599755																																	0	129	11524	0	2009		61		7667	0			532	0	927	0	400	24205	0	0			0	843	104	22	8452	179	84	64	194	88	234	11080	3999	3403	2522	1442	886								0	9			0	0	
599764																																	0	311003	25376	24568	294957	323	999	676	7332	0	101206	0	101206	4030	40600	0	17679	966900	0	1890	1890	0	0	114408	14883	52652	240944	5291	13479	7140	11372	46929	29734	346033	99988	116133	166563	96550	24598	0	0	0	0	0	0	0	0	7969	0		0	0	
600129																																	0	1205	378	8201	44110		88		0	0			8219	1155	12804	0	11655	120709	178	0			0	29904	2499	13190	6664	437	1423	2189	2134	12958	10499	8888	12856	15212	15820	25909	9182								664	5			0	0	
600419																																	0	11945	11005	2840	77353	0	491	491	5893	0	50037	0	50037	11069	6199	0	11991	291027	0	540	540	0	0	84474	15268	19494	34876	4402	4119	7593	3354	30470	34330	55168	11268	50006	40347	36708	10494	0	0	0	0	0	0	0	0	1922	0		0	0	
600651																																	0	3698	2646	2682	16238		0		22534	0			18882	824	4540	0	1470	77107	0	0			0	3188	226	7	35560	449	205	830	983	208	513	33160	7628	17375	11575	2885	1296								0	179			0	0	
601032																																	0	0	981	0	545		0		1496	10			428	0	1611	0	14	8199	0	0			0	3124	0	0	2193	156	358	1834	404	342	0	1367	474	1836	828	559	0								0	0			0	0	
