"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	
582177																																	0	285	0	504	6709		6		0	0			310	6784	72	0	0	93325	51	0	0	62401	16305	948	3743	676	187	486	670	20582	39800	8395	607	1367	4607	12533	3466								0	0			0	0							0			
582234																																	0	32979	22059	30641	50625	0	77	77	15754	0	11892	0	11892	34714	1171	0	948	265803	0	0	0	60887	4040	48103	67315	2663	11943	17275	25610	1360	1846	79452	17281	41925	49375	15758	214	0	0	0	0	0	0	0	0	16	0		0	0	30835	2144	31339	19286	0	0	0			
582654																																	0	874	2166	0	6242		0		3930	0			4532	0	2358	0	0	24728	0	0	0	4469	157	0	10783	504	501	2786	475	0	37	2952	6826	6533	2109	941	0								0	0			0	0							0			
582766																																	0	754	55	112	1123		66		810	0			1521	118	2651	0	0	10477	7	3164	0	110	0	90	2850	91	4	15	0	0	0	4542	1762	4068	0	0	0								0	0			0	0							0			
582953																																	0	19192	14558	1087	11588		1193		39669	0			12479	965	6341	0	98	123884	0	0	0	15068	1586	7529	61240	1615	5169	4205	689	46	3344	51233	29547	16530	9778	1659	0								0	60			0	0	9129	10063	4797	6791			0			
583138																																	0	733	16703	301	3395		130		7738	0			6083	721	6055	0	1490	67079	0	0	0	23394	336	0	16425	629	1881	5880	14299	706	0	9904	5031	9134	16100	3232	283								0	0		0	0	0							0			
583268																																	0	10676	410	1003	37295		22		48	150			10148	0	2576	0	681	78391	0	5898	0	9231	308	3205	12526	350	1363	2348	651	4223	296	12467	18905	16308	6045	11643	3641								0	95			0	0	4485	6191	31257	6038			0	0	0	
583352																																	0	2655	7247	1088	24102		269		4302	0			17068	0	38863	0	0	128786	0	0	0	32142	863	6	48677	1297	3164	7036	6712	13236	697	13664	31891	22800	22807	5357	0								0	187			0	0							0			
583745																																	0	0	380	209	410		0		615	0			1240	0	1985	0	150	9920	0	0	0	4901	30	0	2645	409	599	2292	1429	172	0	166	1471	1368	1780	234	0								0	0		0	0	0							0			
583754																																	0	0	1168	85	1445		9		2983	0			1454	0	2135	0	0	11674	54	0	0	2449	0	0	3919	136	281	722	1134	176	0	3479	1539	1638	1447	1176	0								0	0			0	0							0			
583905																																	0	8539	0	4355	27278	0	0	0	0	0	11897	0	11897	17026	3032	0	3999	504970	0	0	0	416937	11402	29953	1784	706	1978	23600	4294	112557	273566	23912	9236	12282	11518	22537	8404	0	0	0	0	0	0	0	360	145	0		0	0	3830	4709	0	27278	0	0	0			
584377																																	0	131126	0	10333	258964	0	0	0	0	0	67338	0	67338	25276	16613	0	1173	626526	0	21711	0	69643	23135	25266	187090	12174	3866	3213	6578	11750	32062	176223	60239	142141	126681	48442	1793	0	0	0	0	0	0	0	904	310	0		0	0	65526	65600	125836	133128	0	21711	0			
584724																																	0	3840	1332	5369	49146	0	267	267	129	0	31082	0	31082	8955	29396	0	483	162237	0	0	0	28608	3514	24372	12871	2528	5610	12418	3507	4545	0	30172	15180	47998	21078	17854	1089	0	0	0	0	0	0	0	0	116	0		0	0	0	3840	46140	3006	0	0	0			
584920																																	0	189608	22339	1557	384031	35	185	150	4245	0	111109	0	111109	92976	23775	0	68	1005453	0	473	5114	152269	15349	56140	384722	59023	20560	50334	16486	4679	844	467743	58734	165889	94776	64312	292	0	0	0	0	0	0	0	4254	3215	0		0	0	92427	97181	277950	106081	0	473	0	0	0	
585235																																	0	3568	0	1702	11438		624		0	0			706	5495	861	0	577	58758	0	0	0	32416	1321	130	8419	1031	1008	2775	5402	16449	5751	9894	2347	3409	7764	2928	0								0	50			0	0							0			
585749																																	0	1486	33934	1054	10174		135		41717	0			17802	0	10126	0	732	192643	0	0	0	74114	961	1809	47237	2887	7633	40503	14749	7988	192	10898	35642	44861	20613	6076	439								402	6			0	0							0			
586027																																	0	0	15	0	263		11		0	0			62	0	28413	0	0	30433	0	0	0	1600	23	545	853	200	326	359	319	0	181	137	663	7560	17058	3330	0								0	46			0	0							0			
586205																																	0	56242	0	33238	693289	0	4004	4004	0	0	547938	3441	551379	257426	336775	0	22280	3134563	0	0	0	895328	277246	58675	138971	33772	49468	129967	41248	342827	297485	1125750	72064	262459	265480	408440	102720	0	0	0	0	0	0	0	0	7356	383		0	0	322	55920	180962	512327	0	0	0			
586241																																	0	711	1319	228	508		4		1931	0			1367	44	1398	0	11	10556	0	0	0	1955	985	0	4342	248	277	248	678	504	0	2166	1651	1898	2445	331	110								75	20			0	0							0			
586335																																	0	1242	97	0	15486		64		50	334			4345	0	2723	0	212	28931	0	0	0	4421	291	191	14692	345	572	1394	1230	864	0	12309	2700	4276	3404	1645	0								0	0			0	0	444	798	9540	5946			0			
586858																																	0	4715	6912	419	20364		0		2713	0			8837	545	2360	0	0	53352	0	0	0	5920	567	2305	19262	895	3028	1501	46	46	291	15929	19732	7830	2521	450	71								0	0			0	0	2666	2049	14260	6104			0			
586960																																	0	9904	868	0	8900		26		669	0			3133	0	5184	0	159	33501	285	0	0	4152	791	130	12111	25	595	601	1168	1763	0	6500	7843	5823	4672	4467	315								0	0			0	0	3648	6256	4950	3950			0			
587350																																	0	0	0	0	18731		16		0	0			6965	471	3871	0	0	41483	0	0	0	10725	679	8970	16303	996	2230	5101	471	263	1569	9225	3852	11075	2691	1157	2727								0	25			0	0	0	0	0	18731			0			
587574																																	0	571	22	0	993		0		0	0			0	0	16	0	0	2606	0	0	0	918	83	301	422	5	40	116	23	276	458	1070	1	7	23	587	0								0	3			0	0							0			
587677																																	0	3166	0	226	4547	0	0	0	0	0	0	0	0	3854	7052	0	0	224182	0	0	0	200031	5227	84414	4927	460	1103	25577	2451	67159	103281	5590	2938	3456	4049	6464	1654	0	0	0	0	0	0	0	0	79	0		0	0	2216	950	1358	3189	0	0	0			
587743																																	0	18301	10531	1997	30780		32		1271	99			3900	3538	2343	0	732	96956	0	0	0	22143	1159	2228	56487	4072	8257	7345	1306	780	281	25537	18617	21475	5637	824	0								71	158			0	0	2764	15537	8036	22744			0			
587752																																	0	3414	276	0	1881		5		43	0			1557	156	1929	0	0	12804	0	0	1207	3366	72	28	5271	1259	706	490	348	149	223	4019	1233	1854	1136	705	465								0	105			0	0	292	3122	0	1881			0			
587800																																	0	66540	0	275177	306928	0	5590	5590	0	0	352606	0	352606	116773	117535	0	0	2069416	0	0	237606	621691	206268	200754	101806	19909	16847	18173	51098	404061	111040	427245	94423	59739	99440	614864	150669	0	0	0	0	0	0	0	0	308	0		0	0	12709	53831	47651	259277	0	0	0			
588058																																	0	6297	9437	758	12964		49		6587	0			10638	0	7314	0	69	77911	4	0	0	23635	167	1601	20111	2015	2390	4478	8482	5210	855	18800	5500	13879	12603	3341	120								0	0			0	0	3377	2920	8085	4879			0			
588245																																	0	12037	643	436	2706		619		3140	0			26155	9399	1647	0	594	73743	17	0	0	15644	562	302	47369	3171	8402	2921	336	0	814	17597	18199	19502	1533	275	815								145	33			0	0	10359	1678	0	2706			0			
588348																																	0	410	10417	0	2898		64		23099	0			7216	0	4874	0	0	57936	0	0	0	8958	0	7958	20715	1563	1764	5266	317	48	0	31931	4884	8767	2913	164	0								0	0			0	0							0			
588441																																	0	14029	2627	1446	67658		345		11761	0			21704	2270	1967	0	1370	139821	121	0	0	12389	2241	3443	61415	484	238	3242	1671	4692	1924	40017	26606	31862	22135	4909	1582								0	135			0	0	922	13107	24294	43364			0			
588553																																	0	0	0	0	0		0		0	0			0	0	0	0	0	7382	0	0	0	0	0	0	0	0	0	0	0	0	0	7382	0	0	0	0	0								7382	0		52	0	0							0			
589158																																	0	0	12251	0	576		0		21961	21			6400	0	1502	0	0	44058	0	0	0	978	0	69	15414	19	215	241	340	128	18	22918	7620	6620	3195	2117	161								0	390			0	0							0			
589439																																	0	202	217	422	2176		39		20	0			2165	207	3604	0	0	14329	0	0	0	4470	807	0	2176	198	370	1074	2603	29	196	887	967	3278	4727	0	0								0	0			0	0							0			
589523																																	0	53003	854	3756	82720	184	239	55	88	0	35669	0	35669	20704	21823	0	3990	273842	0	0	0	36062	5911	5723	70976	1837	6953	7031	7413	11083	1285	103891	9111	23606	58364	31796	9811	0	0	0	0	0	0	0	4315	4708	0		0	0	14339	38664	3411	79309	0	0	0			
589943																																	0	5480	45190	6699	54815	393	795	402	47151	0	68268	0	68268	13332	11787	0	1790	298976	0	426	0	40001	2922	12369	143901	2282	3423	9107	21025	4051	88	100519	37676	68476	40401	8907	2546	0	0	0	0	0	0	0	0	320	0		0	0	2260	3220	54815	0	426	0	0			
590145																																	0	0	7082	0	455		18		9013	94			2094	0	1964	0	31	23044	0	0	0	2382	5	3	10619	121	173	1180	864	41	0	5930	4841	4704	5032	155	0								0	0			0	0							0			
590220																																	0	24133	1896	2929	54622		65		17	1342			17829	25683	8967	0	2901	212574	0	0	87	62816	7658	15529	46959	16280	3278	6252	13649	8477	14880	91505	10000	14560	16364	12746	4556								1898	1160			0	0	6778	17355	30215	24407			1397			
590248																																	0	12627	1281	5937	24408		185		169	0			58102	13042	8811	0	2519	161395	0	0	0	23848	10080	4058	27379	1940	4047	5534	5466	4187	2674	25026	12774	42279	44766	12142	0								0	386			0	0	1485	11142	91	24317			0			
590640																																	0	30298	1014	463	37895		466		0	0			15395	659	8860	0	373	141151	0	0	2312	39065	6663	306	69545	6797	7364	12257	6225	6305	117	31322	18924	32642	17130	2068	0								0	0			0	0	5575	24723	28307	9588			0			
590855																																	0	38799	3592	131	285523	0	909	909	812	2188	22552	0	22552	19336	10561	0	5241	426993	163	0	0	36540	3080	3010	74453	6758	6310	11727	8088	2409	990	155453	130001	19766	32786	30620	13869	0	0	0	0	0	0	0	0	80	0		0	0	14169	24630	22852	262671	0	0	0			
590949																																	0	1032	18334	403	15143		16		1364	0			5267	2682	4727	0	396	87857	0	152	0	37800	399	28553	7367	1163	3619	12111	12125	4582	4200	9986	6422	14936	12100	6302	273								0	142			0	0							0			
591209																																	0	0	0	78	10		300		0	0			0	7980	1608	0	0	117037	0	0	0	105291	1770	104386	23981	2460	12041	45317	43170	1955	122	5832	3642	470	266	1530	0								0	0			0	0							0			
591320																																	0	82351	522	1486	102175	0	700	700	0	0	76864	0	76864	41858	19180	0	2293	460219	0	0	0	126893	3131	0	311197	63923	12867	20278	16895	4766	6975	210297	29855	36830	40722	12000	2141	0	0	0	0	0	0	0	1913	853	0		0	0	17022	65329	47726	54449	0	0	0			
591357																																	0	0	1610	0	3890		0		19	0			1312	0	3097	0	0	22299	0	0	0	12371	0	5840	10152	3078	2762	2261	3626	233	83	1191	3282	1486	2269	338	1350								0	0			0	0							0			
591366																																	0	9930	9880	289	30215		0		4542	0			22905	0	15455	0	0	120211	0	0	0	25609	1386	30	35345	1696	3867	9472	7198	2376	1000	15517	16387	25923	21971	6345	8459								0	0			0	0	9930	0	0	30215			0			
591740																																	0	1524	308	276	0		0		321	0			966	84	669	0	0	7273	0	0	0	3106	19	0	1599	0	599	1272	947	169	118	200	864	934	1636	520	0								0	0			0	0							0			
591825																																	0	298628	15578	40375	325185	110	18152	18042	4866	0	278467	0	278467	92814	26093	0	2002	1357522	0	0	0	236357	5743	111754	409414	55569	24504	71864	21215	29653	30142	608435	73435	171188	133583	98867	30610	0	0	0	0	0	0	0	3877	9385	0		0	0	98282	200346	215556	109629	0	0	0			
591852																																	0	3808	2672	0	266		262		6453	0			10190	252	11987	0	272	45772	0	0	0	9400	171	4260	13877	1795	3606	1157	1078	1352	351	12757	5595	6505	9015	2116	207								0	39			109	60							0			
591937																																	0	94447	0	21426	218820	1493	1853	360	0	1421	22367	0	22367	31111	481	0	0	413450	908	0	0	15504	8295	5784	189807	5198	880	4222	3549	1649	0	162453	27354	82126	85785	31630	48	0	0	0	0	0	0	0	0	54	0		0	0	9180	85267	78758	140062	0	0	0			
592439																																	0	31285	0	17965	27887		3026		0	0			6269	0	1560	0	0	141286	2	0	0	46299	6997	0	17305	2129	2522	4535	5726	23144	8243	10555	5168	3171	5750	61363	8907								0	0			0	0	7472	23813	1956	25931			0			
592448																																	0	2550	0	669	929		2648		791	0			4066	16994	689	0	26	54326	0	0	0	4822	20142	103	2962	38	2002	545	630	801	478	2898	2830	1242	2499	5110	34832								0	0			0	0							0			
592550																																	0	5861	19418	500	6712		1349		14211	0			16362	731	2942	0	531	71635	0	0	460	2540	9	51	39403	0	152	1498	769	121	0	22707	16728	14144	9924	3628	22								459	10			0	0	3236	2625	2851	3861			0			
592644																																	0	26770	4793	211	28867		937		13966	0			11962	11632	11523	0	778	170912	0	0	0	56699	1458	18931	42510	1505	2489	6201	10667	20028	15809	43270	12606	18723	18595	17096	3891								942	374			0	0							0			
592831																																	0	3456	2329	731	1602		0		1049	0			2605	61	194	0	86	14114	0	0	0	1817	184	0	5433	75	0	69	236	1275	162	5519	2136	1156	1772	1714	0								0	0			0	0	0	3456	919	683			0			
592859																																	0	97	1269	156	742		9		1008	0			1528	0	805	0	0	8915	0	28	0	3249	24	2952	1312	429	1974	372	143	331	0	1356	2311	1419	339	241	0								0	0			0	0							0			
593007																																	0	6516	269	13033	422092	0	285	285	0	0	111428	0	111428	111277	8396	0	32155	1190102	2648	0	0	486150	0	161198	116129	5684	23786	39756	70378	191601	154113	272519	62613	80798	104002	131187	49631	0	0	0	0	0	0	0	0	1149	0		0	0	4887	1629	295464	126628	0	0	0			
593052																																	0	12184	31978	9434	33570		0		75720	0			25590	2157	6873	0	0	210801	0	0	0	7404	2042	0	106824	864	1176	2339	2342	83	600	86854	18341	43694	48135	5487	474								3849	0			0	0							0			
593249																																	0	1287	2876	385	17904	0	1768	1768	1330	0	51284	0	51284	389	30511	0	496	150177	211	0	0	40739	160	541	38369	432	4788	5245	6334	16686	7104	29750	20722	15290	20324	20997	2378	0	0	0	0	0	0	0	1259	0	0		0	0	742	545	15934	1970	0	0	0			
593333																																	0	3321	4683	1090	3129		83		2418	0			5175	25	4870	0	41	32688	0	3	0	6965	856	4858	8251	425	1407	1899	1265	1330	638	4558	6990	5936	3379	3829	972								0	29		0	0	0	691	2630	2339	790			0			
593351																																	0	403	558	742	1175		0		136	0			1220	2834	278	0	0	10298	0	0	0	2828	124	391	4734	999	770	92	807	16	143	4667	959	971	696	177	0								0	0			0	0							0			
593753																																	0	32883	155	21178	135626	0	1933	1933	268	0	164505	0	164505	43991	80723	0	0	512642	0	0	482	27603	2978	2978	185494	4323	2774	10628	8867	1011	0	178091	53392	80866	131394	31723	9324	0	0	0	0	0	0	0	0	799	0		0	0	10689	22194	108594	27032	0	0	0			
593771																																	0	8784	0	458	2191		0		0	0			252	771	24	0	0	14925	0	0	0	2358	87	925	8450	932	0	478	132	23	793	11602	259	494	0	211	0								0	0			0	0	6855	1929	915	1276			0			
593865																																	0	526306	51350	68648	662054	1878	2837	959	113206	0	409103	0	409103	193794	12357	0	8594	2146344	0	0	0	67947	19077	41029	865611	15702	2894	9961	20989	11188	7107	906826	247896	257776	382288	268519	9083	0	0	0	0	0	0	0	0	11071	0		0	0	430172	96134	321097	340957	0	0	0			
593940																																	0	0	4829	42	1407		16		3342	36			750	0	1363	0	109	18272	0	0	0	6414	0	0	3856	103	103	1053	370	4785	0	2528	1122	2143	1953	3959	153								0	0			0	0							0			
593977																																	0	0	0	0	91		0		0	0			0	323	29	0	0	13393	0	0	0	12726	224	1191	0	339	345	321	401	1932	9388	323	9	29	0	306	0								0	0			0	0							0			
594433																																	1818	86633	24971	17709	114836	0	0	0	3518	0	66690	0	66690	31619	32756	0	1214	524993	0	1820	0	134245	6567	59121	174047	16672	30701	42807	19778	16618	6056	183695	67479	53436	57247	19823	5685	1818	1818	0	0	0	0	0	597	0	0		0	0	16786	69847	0	114836	0	1820	0			
594451																																	0	1038	399	0	1117		169		0	0			683	0	1091	0	0	7299	0	0	0	2802	0	0	1342	33	139	757	1636	237	0	498	672	1263	1691	373	0								0	0			0	0							0			
594853																																	0	47481	1293	789	59824		0		0	0			17559	6703	10550	0	0	180104	0	0	1497	25304	10601	2679	78812	9350	4353	4676	4459	2006	460	64274	20278	26150	37753	3737	2151								0	0			0	0	20051	27430	40292	19532			0			
594938																																	0	7674	15389	996	22803		362		12290	0			21368	2635	9735	0	466	129196	0	0	0	31356	4008	818	40643	1130	5919	13501	9568	1024	0	9795	23799	38011	24234	1896	95								0	114		0	0	0	4333	3341	13062	9741			0			
594947																																	0	46301	12534	6752	137652	0	1236	1236	5793	14	95310	0	95310	6870	15998	0	3436	440947	0	627	1511	84526	22680	583	199647	3942	32390	32903	8372	4216	2094	15281	149252	105611	55838	26421	2000	0	0	0	0	0	0	0	880	352	0		0	0	22280	24021	122502	15150	627	0	0			
595038																																	0	302	3235	678	575		1		139	0			2077	0	288	0	0	13912	0	71	0	6468	78	0	3271	145	1072	2466	2443	308	0	697	1357	2014	2870	506	0								0	0			0	0							0			
595337																																	0	201	76	0	7295		132		16828	0			7698	212	3483	0	0	45833	11	0	0	9569	350	3074	15393	640	1293	4059	1624	974	834	9721	10227	13013	3065	245	0								0	0			0	0							0			
595430																																	0	37844	3049	2652	79190	0	67	67	0	0	111169	0	111169	22753	33763	0	289	332523	0	760	0	29999	8497	5352	162291	3499	2871	6486	3143	13113	887	100831	83113	44101	49787	23985	169	0	0	0	0	0	0	0	2207	284	0		0	0	7794	30050	32230	46960	0	760	0			
595449																																	0	364	742	195	2441		0		1543	0			7951	0	1874	0	3826	35467	0	0	0	14628	1745	0	10224	158	624	460	197	13189	0	3881	5561	2221	3728	5411	0								158	0			0	0							0			
595560																																	0	3224	6520	0	11405		88		4477	0			6099	0	4794	0	209	57507	0	0	0	20431	0	122	6977	430	630	3401	9070	6361	370	6830	4218	9567	8856	6448	980								260	0			0	0							0			
595869	4881653	4225	0	938	1265515	0	18061	0	0	6163576	11258	108013	2123057	2982732	302740	440837	795141	1085432	9729	0	251	0	0	0	152	118	456	0	2939	2318	0	4859	251	1023025	5634	273732	2942381	0	4225	4225	0		1265515	0	1265515	108771	18061	0	0	6163576	11258	4859		524242	3868	55650		10241	16828	37225	28846	232426	197732							251			0	0			152	118					331031	691994	676740	2265641			0			
595944																																	0	2019	10502	249	6545		18		5950	0			3432	12	2247	0	0	37461	0	0	0	5842	429	13	13953	214	1114	1675	1721	1118	0	8409	4216	6078	7343	4740	833								206	10			0	0	0	2019	6545	0			0			
595953																																	0	0	202	0	0		46		9546	0			1369	0	2822	0	0	13985	0	0	0	0	0	0	10859	0	0	0	0	0	0	2933	7926	1251	836	422	0								0	0			0	0							0	0	0	
596053																																	0	1834	6992	74	2484		50		10568	0			13749	0	6797	0	107	46818	26	0	0	2497	786	0	16624	340	888	553	209	507	0	9178	10815	6575	7210	8169	2278								833	73			0	0							0			
596062																																	0	20908	21270	4565	28123		543		26253	5			28799	260	24819	0	650	232797	0	328	0	73425	2854	60594	74463	5635	22260	20111	14695	3547	7177	35352	54805	33034	24071	9150	2645								0	0			0	0	8189	12719	11985	16138			0			
596156																																	0	22805	0	1016	66446		76		0	0			21169	119	5775	0	0	133007	0	0	0	9052	6549	1744	56324	1928	30	1398	1134	4310	252	42348	13975	21454	26547	15800	2880								0	0			0	0	2039	20766	48052	18394			0			
596455																																	0	3138	2478	309	11694		400		4009	0			23313	267	8466	0	0	69966	0	0	0	14396	1453	0	35120	3699	4066	5688	272	23	586	10689	18650	16680	7514	1080	659								0	43			0	0	1839	1299	3371	8323			0			
596642																																	0	2386	476	15	3594		31		1325	0			28097	0	3593	0	0	47260	0	0	0	7743	0	0	25676	2449	2032	2684	489	35	0	16932	11077	8688	1886	88	34								0	0			0	0							0			
596848																																	0	129883	15588	14659	134538	10549	15155	4606	37998	0	196563	0	196563	14817	16051	0	6498	644040	0	0	0	45955	12920	16947	283964	5449	4286	16362	17068	1835	954	259764	61058	127536	119406	23715	5074	0	0	0	0	0	0	0	2490	925	0		0	0	27216	102667	56669	77869	0	0	0			
