"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								3070										
242								728										
279								3348										
354								40										
439								8454										
457								629										
505								5336	18	0	0	0	1243	4001	0	4001	74	
1155								18278										
1351								2610										
1454								24729	10334	0	0	0	5680	612	0	612	8103	
1557								1192										
1632								10137	5873	0	0	0	2525	1739	0	1739	0	
1669								12426										
1829								8132	0	0	0	0	1916	2710	0	2710	3506	
1856								2725										
2040								4622										
2161								9382										
2376								60381	0	0	0	0	1861	58009	0	58009	511	
2451								662										
2554								379										
2732								17960	7336	0	0	0	3705	2107	0	2107	4812	
2750								828										
2938								8120	4889	0	0	0	1600	1631	0	1631	0	
3252								5505										
3458								3771										
3720								5624										
3953								3023										
4138								8895										
4156								4583										
4231								1716										
4437								4480										
4839								6581										
5005								7726	0	0	0	0	1373	6285	0	6285	68	
5069								2645	0	63	0	63	131	2442	0	2442	9	
5135								4612					2660		1749		203	
