"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	
37	5827	0	2941	6880	0	14383	0	0	0	0	0	0	49251	0	777	13539		28038	1847	390	14120	6343	0	0	3867	10253	9117	4801	1264	5079	6187	1009	11442	48474	0	0	364	
242	2939	0	930	4112	0	8331	0	0	0	0	0	0	16586	0	1448	2493		7994	3160	1367	6052	2139	0	0	2486	3566	1554	388	1218	921	100	254	7401	15138	0	0	161	
279	10668	0	0	6428	0	16122	0	0	0	0	0	0	71345	0	0	21522		37989	1166	10384	26282	13347	0	0	7916	18912	9094	2067	4178	9169	6242	1933	16122	71345	0	0	2605	
354	982	0	66	1239	0	1239	0	0	0	0	0	0	4765	0	1405	300		2490	993	0	2490	300	0	0	940	1550	0	0	100	200	0	0	1173	3360	0	0	0	
439	15400	0	4150	44029	0	59369	0	0	0	0	0	0	107424	0	8161	32235		45747	14042	8825	42794	30693	0	0	12147	30647	2945	8	9038	21655	1542	0	55219	99263	0	0	2359	
457	2794	0	386	2534	0	4608	0	0	99	0	99	0	18667	0	887	1791		9503	4579	709	7847	1291	99	0	1986	5861	1524	132	529	762	500	0	4222	17681	0	99	0	
505	104971	12	2510	13169	0	20391	0	0	0	0	0	0	229350	0	38457	30808		52310	41261	7594	46811	28508	0	0	13251	33560	3389	2110	13458	15050	1225	1075	17869	190893	0	0	834	
1155	384	11	1643	19140	0	51835	0	0	0	0	0	0	90210	0	16959	31423		48567	9836	10991	34337	25310	0	0	19485	21139	3861	4082	16077	12359	859	2128	50125	73251	56	0	3573	
1351	3623	3	5671	10975	0	21089	0	0	0	0	0	0	74721	0	2862	15684		35632	19782	5968	25262	8616	0	0	8308	16954	10370	0	2643	5973	7068	0	15415	71859	0	0	1190	
