"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											144					0	0	0	0	
242											153					2812	0	0	106	
279											1475					26638	0	0	0	
354											0					0	0	0	0	
439											338					0	0	0	0	
457											124					0	0	0	0	
505											2548					32800	0	0	0	
1155											767					3000	0	0	28874	
1351											0					0	0	0	0	
1454											1092					0	9	0	0	
1557											137					2106	0	0	0	
1632											1404					3000	0	0	6078	
1669											426					606	0	0	0	
1829											2251					28785	1975	0	979	
1856											4620					80000	0	0	0	
2040											1194					18125	0	0	1446	
2161											259					0	0	0	0	
2376											10619					212175	8429	0	0	
2451											915					8973	0	0	0	
2554											0					0	0	0	0	
2732											174					267	0	0	0	
2750											482					6400	0	0	0	
2938											1381					15000	0	0	2409	
3252											305					2183	0	0	0	
3458											177					0	0	0	2745	
3720											557					4850	0	0	3999	
3953											990					370	4	0	0	
4138											953					2300	0	0	0	
4156											1750					33500	0	0	0	
4231											0					0	0	0	0	
4437											832					8221	0	0	3068	
4839											1595					29900	0	0	11988	
5005											3256					40853	17226	0	0	
5069											0					0	0	0	0	
5135											934					3000	0	0	0	
5210											10587					187650	0	0	28027	
5331											3602					14838	0	10000	88000	
5461											0					24713	0	0	0	
5751											268					0	0	0	0	
6039											424					0	51	0	0	
6057											189					500	0	0	0	
6141											150					0	0	0	0	
6329											892					0	0	0	0	
6972											718					11500	0	0	12557	
7009											0					0	8400	0	0	
7045											0					0	0	0	0	
7157											23					0	0	0	0	
7456											201					0	0	0	0	
7634											738					0	0	0	0	
8033											1113					15694	0	0	0	
8462											21					0	0	0	0	
8631											124					0	0	0	0	
9357											4626					37340	970	0	58162	
9553											718					12814	0	0	0	
9807											23352					322377	0	0	130836	
9955											442					1341	0	0	0	
10157											579					1730	0	0	0	
10250											1361					10000	0	0	1200	
10849											2404					38039	0	0	0	
10858											1431					9492	0	0	20476	
11145											1020					17552	0	0	0	
11640											2036					22806	0	0	0	
11837											600					0	0	0	0	
12030											1010					0	0	0	0	
12058											343					3095	0	0	0	
12142											504					0	0	0	0	
12245											395					7600	405	0	0	
12311	0	149419	681375	1176161	0	0	727026	963778	4250	3710553	152071	0	35972124	1243543	32119996	3494573	8544	857080	2188629	
12647											180					3550	0	0	0	
12656											29					0	0	0	0	
12937											776					0	0	0	0	
12946											2048					12292	585	0	0	
12955											732					5050	0	0	0	
13037											208					0	0	0	0	
13103											12116					182663	61436	0	8614	
13251											141					0	0	0	0	
13457											3					0	168	0	0	
14052											247					1000	0	0	0	
14155											454					6835	0	0	0	
14258											4022					0	0	0	0	
14409	3990	150000	17600	1046504	829736	3226916	670440	0	1650	5946836	199020	0	35742491	564092	30841271	3889456	0	500000	2421039	
14454											95					0	0	0	0	
14650											108					0	0	0	0	
14753											9					0	0	0	0	
14865											560					9402	0	0	0	
15536											30685					0	31006	0	0	
16337											2245					29000	0	0	1171	
16458											715					1432	0	0	0	
16551											1867					20599	0	0	0	
16748											344					3000	0	0	0	
16944											0					0	0	0	0	
16953											0					0	0	0	0	
17110											219					0	5353	2136	0	
17147											10173					143812	0	0	60791	
17259											386					2750	0	0	0	
17464											6991					139705	396	0	20784	
17839											751					5000	0	0	5338	
17950											962					1033	0	0	0	
18050											580					540	0	0	0	
18135											1424					15770	0	0	9141	
18377											89					0	0	0	0	
18827											407					757	0	0	0	
18836											662					4991	28	0	0	
18854											286					0	0	0	0	
18957											427					3998	0	0	0	
19356											152					0	0	0	0	
19730											18195					58616	5564	0	31077	
19936											1578					10400	0	0	4200	
19972											188					0	0	0	0	
20053											503					3435	456	0	620	
20147											476					3016	0	0	0	
20259											350					15	0	0	0	
20370											363					0	0	0	0	
20512											922					14560	0	0	0	
20633											714					7000	1000	0	0	
20839											568					4000	0	0	0	
20857											460					1574	0	0	0	
20866											829					16879	0	0	0	
21256											79					0	0	0	0	
21359											114					375	0	0	0	
21630											497					5886	0	0	0	
21658											442					1782	0	0	0	
22048											570					11949	0	0	3215	
22235											1517					20000	0	0	0	
22356											818					272	10	0	10973	
22459											578					3989	0	0	2141	
22543											170					0	500	0	0	
22552											446					1800	0	0	0	
22730											504					4836	0	0	2958	
22936											1161					14665	0	0	0	
22954											660					9359	74	0	0	
23036											0					0	0	0	4280	
23045											212					0	0	0	0	
23241											25967					108705	2409	0	182263	
23456											492					4555	0	0	0	
23504											812					0	0	0	0	
23540											625					0	0	385	0	
23643											217					362	0	0	0	
23755											561					4500	0	0	0	
23812											5205					65450	10	0	0	
24006											1081					0	7	0	0	
24453											905					0	0	0	0	
24659											0					0	0	0	0	
24668											319					3000	0	0	8573	
24855											29					0	0	0	0	
24949											2168					14800	0	0	3614	
25357											3394					45000	0	0	0	
25647											0					0	0	0	0	
25852											1729					20000	0	0	617	
26149											0					0	0	0	1205	
26242											1577					6000	0	0	6173	
26457											0					0	0	0	0	
26765											276					0	0	0	0	
26859											1354					14825	0	0	0	
26916											6410					124481	0	0	8024	
27548											4114					40147	0	20913	28294	
27614											1432					3000	0	0	0	
27838											1470					9097	89	0	0	
27847											1139					10791	0	0	0	
28013											6517					22479	16272	0	109000	
28152											349					2895	0	0	0	
28255											125					0	0	0	0	
28349											328					0	0	0	526	
28406											4207					10000	36242	0	0	
28572											1078					12268	1065	0	0	
28732											167					2000	0	0	0	
29104											8299					122847	18863	0	69767	
29252											1239					3000	0	0	0	
29636											3491					83295	33391	0	0	
29850											0					100	0	0	0	
29944											805					12800	0	0	0	
29953											776					11463	0	0	0	
30052											57					520	0	0	0	
30155											1278					18660	974	0	0	
30258											1553					20150	515	0	3211	
30418											0					0	0	0	356503	
30502											3762					55000	3892	0	70088	
30650											878					4395	0	0	0	
30810	638	0	51561	19672	0	0	0	0	0	73871	30114	599598	25441164	0	22383443	647806	2000	0	0	
30856											1055					200	0	0	3985	
