"IDRSSD"	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONF264	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	
3283765	0	0	0	0	0	0	0	0	0	0	0	694	64399	85427	0	0	0	0	0	64842	0	0	0	56	56	0	0	0	56	0	0	0	0	0	0	0	0	0	4418	2494	0	0	0	0	0	0	37	0	7025	0	0	0	0	215	0	24	0	0	1953	5376	57513	0	0	0	0	0	2970	495	0	0	0	-975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4418	11687	5376	60068	0	2337	2688	60068	65093	0	0	0	8039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3284070	0	0	0	3477747	0	0	0	0	0	576535	0	87211	55850999	67901832	0	0	0	0	0	48803968	57503	718788	718788	0	0	0	0	0	0	0	0	0	174622	0	0	0	0	0	2997342	68362	0	0	0	0	0	0	-4535	995754	6356506	187565	132785	0	0	0	6401007	1100	0	0	0	6327410	42476557	0	0	0	0	0	5130671	171090	181981	473755	26457	-619883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273747	0	0	162734	111013	0	0	576535	4175077	6898623	13681708	47717631	0	1379725	6840854	47717631	55938210	0	0	0	10913066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3284100	0	0	0	0	0	0	0	0	0	0	0	432	59510	78096	0	0	0	0	0	55820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14097	494	0	0	0	0	0	0	1	3028	2116	0	0	0	0	0	0	0	0	0	0	0	55820	0	0	0	0	0	3169	0	0	157	0	-1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0	557	0	0	0	17125	2767	0	59389	0	553	0	59389	59942	0	0	0	6386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3284397	0	0	0	0	0	0	0	0	0	0	0	0	5179962	5910956	0	0	0	0	0	2915947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	532068	0	-9382	0	398221	73181	1999287	3780	0	5438	0	40416	0	0	0	0	0	0	0	0	635302	2280645	0	0	0	0	0	311517	0	0	56394	0	-50844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51825	0	0	0	51825	0	0	0	1	992121	708483	4627296	0	198424	354242	4627296	5179962	0	0	0	2157409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3284445	0	0	0	0	0	0	0	0	0	0	0	502	99658	115869	0	0	0	0	0	95939	0	0	0	15	15	0	0	0	15	0	0	0	0	0	0	0	0	0	4879	1953	0	0	641	0	0	0	-10	3404	673	0	0	0	0	0	0	0	0	569	0	2904	92466	0	0	0	0	0	6079	0	437	763	0	-1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9930	6741	2904	97360	0	1348	1452	97360	100160	0	3352	3352	10904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3284490	0	0	0	0	0	0	0	0	0	0	0	0	207692	228909	0	0	0	0	0	175701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	56134	0	0	0	0	0	0	0	0	3999	0	0	0	0	0	0	0	0	0	0	18065	157636	0	0	0	0	0	23414	0	0	1407	0	-2538	6708	0	0	0	6708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	61540	18065	186351	0	12308	9033	186351	207692	0	0	0	24810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3284780	0	0	0	0	0	0	0	0	0	0	0	2202	70905	93359	0	0	0	0	0	62778	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	94	358	0	0	0	0	0	0	-267	1469	17252	1939	0	0	0	0	0	0	0	0	408	10770	51600	0	0	0	0	0	12055	291	481	599	29	-3092	49	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	124	0	0	0	2044	21554	12738	62427	0	4311	6369	62427	73107	0	2937	2937	8982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3285246	0	0	0	0	0	0	0	0	0	0	0	0	26947	41526	0	0	0	0	0	23381	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	3824	0	0	0	0	0	0	136	0	6600	3070	0	0	0	0	0	0	0	0	0	4813	18568	0	0	0	0	0	1562	90	0	0	0	-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14827	7883	20040	0	2965	3942	20040	26947	0	4403	4403	3893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3285778	0	0	0	0	0	0	0	0	0	0	0	2179	151494	191744	0	0	0	0	0	138746	0	0	0	215	215	0	0	0	215	0	0	28	0	0	0	0	0	0	11432	227	0	0	0	0	0	0	-233	14314	11391	0	0	0	0	0	74	0	0	0	997	16355	121394	0	0	0	0	0	18106	226	0	1262	0	-4107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6267	0	0	3622	2645	0	0	0	25746	13877	20051	140872	0	2775	10026	140872	153673	0	0	0	12003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3286999	0	0	0	0	0	0	0	0	0	0	0	64	59049	87021	0	0	0	0	0	78010	0	0	0	20	20	0	0	0	20	0	0	0	0	0	0	0	0	0	3466	2079	0	0	0	1655	2146	0	0	0	0	0	0	0	0	0	0	0	0	0	8492	38049	31469	0	0	0	0	0	4376	0	143	1286	37	-803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2433	0	0	1498	935	0	0	0	3609	14571	41730	35334	0	2914	20865	35334	59113	0	1059	1059	6531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
