"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	101	87															6	239	3	380	0	0	4	88	1	131	0	0	false	true	
242	66	102													70	105	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
279			40	1653	25	3419	11	4491	106	1200	2	305	4	313			2	46	1	122	1	298	22	218	0	0	0	0	false	false	
354			0	0	0	0	0	0	4	24	1	108	1	215			7	276	8	953	0	0	23	510	3	267	0	0	false	false	
457			10	470	7	1078	5	1745	40	995	13	1322	11	3685			23	800	9	1507	5	1116	56	1380	9	1368	10	2785	false	false	
505			15	1005	31	4179	41	18018	110	3744	28	3247	14	5967															false	false	
1155			53	1733	42	5892	42	13939	160	3691	40	4602	42	11340			15	683	9	1288	4	1295	40	820	12	1194	11	2567	false	false	
1351			112	2987	18	2613	15	4998	276	4048	33	3640	14	4231			64	2931	22	3035	7	1892	135	2344	11	1232	0	0	false	false	
1454			75	2687	77	8532	39	14640	405	6982	48	4520	26	6570			14	655	10	990	5	686	57	1213	4	485	2	80	false	false	
1557	28	80															25	1105	17	2076	11	4135	320	6619	35	4084	25	8065	false	true	
1669			70	1965	18	2325	11	3063	210	2806	18	1716	12	3529			3	44	3	248	0	0	134	1561	0	0	1	280	false	false	
1829			60	2152	43	5603	70	25183	162	4571	32	3170	35	8548															false	false	
1856			9	310	2	241	0	0	40	1030	31	3722	6	2061			5	217	3	115	1	381	17	132	2	227	0	0	false	false	
2040			48	2352	35	6402	53	23751	88	2913	11	929	16	4166			8	511	5	896	5	1470	22	291	2	125	2	532	false	false	
2161			81	1808	5	783	1	250	770	4294	31	4670	9	3564			5	70	0	0	0	0	189	1711	1	140	4	1973	false	false	
2376			7	412	46	7884	235	109033	38	1999	5	695	4	1608															false	false	
2554	3	38													30	50	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
2732			11	498	41	6783	118	57937	167	2832	69	5189	103	26532			0	0	2	393	0	0	0	0	0	0	0	0	false	false	
2750			10	501	1	144	0	0	37	1139	3	349	3	960			8	494	11	1599	8	2287	33	829	22	2423	9	2444	false	false	
3252			18	793	11	1542	5	2066	222	6001	21	2611	3	962			28	954	20	2654	22	6549	585	20764	49	5772	15	3721	false	false	
3458			4	53	2	336	1	489	31	421	8	1004	7	1709			36	1221	11	1389	5	1326	63	455	0	0	1	326	false	false	
3720			57	1973	43	5191	44	17263	154	2943	22	1883	8	1880			51	1203	24	2946	7	2195	51	1178	13	1344	6	1548	false	false	
3953			23	1142	15	2672	26	8947	210	5927	55	5675	37	13350			34	1232	11	1475	6	1510	103	409	23	2503	12	2798	false	false	
4138			144	5196	87	13436	43	19210	324	4292	15	1694	12	3875			1	9	3	345	0	0	0	0	0	0	0	0	false	false	
4156			49	1515	22	2703	19	9805	159	2700	25	2111	12	4170	144	368													true	false	
4231			156	5268	51	6577	30	10839	78	1655	7	1026	3	2034			167	4597	28	3379	14	4837	37	481	4	313	1	182	false	false	
4437			73	2999	43	5304	59	22567	121	2644	41	4126	21	5388			6	265	4	691	4	1032	4	32	0	0	1	286	false	false	
4839			93	4709	109	14625	168	109346	134	2049	7	1080	17	5485															false	false	
5005			8	419	18	2616	63	25046	28	449	9	1146	7	1174															false	false	
5069			1	47	7	1152	60	35772	6	269	1	150	4	2080															false	false	
5135			108	3295	51	6534	55	19850	378	7001	34	4444	23	8961			129	4823	60	7727	28	8416	189	4819	55	5063	21	3054	false	false	
5210			103	3953	154	18158	148	58789	249	5462	58	6233	28	8577			23	856	27	3628	10	2470	40	782	4	240	2	656	false	false	
5331			7	395	2	301	19	11328	18	680	6	873	2	1781															false	false	
5461			24	1195	66	9671	126	57062	206	6389	79	7274	65	20375			0	0	3	541	5	1675	5	41	2	119	1	450	false	false	
5751	13	109															13	537	9	1354	3	411	105	2939	35	3438	23	5300	false	true	
6039			74	2079	13	1644	16	6547	89	1841	12	1483	11	4386			49	1343	6	666	5	1395	94	2144	15	1795	3	810	false	false	
6141			34	1297	11	1530	5	1731	20	424	3	322	2	855			38	1865	9	1317	1	150	58	2393	4	528	2	359	false	false	
6329			151	11834	90	12864	67	25282	918	22425	74	8945	17	7275	79	159													true	false	
6972			10	555	23	2934	75	29838	317	6925	93	7801	102	26294			0	0	0	0	0	0	3	66	0	0	0	0	false	false	
7009			0	0	0	0	0	0	0	0	1	50	10	4737															false	false	
7045			44	1989	32	4680	19	6680	38	1010	8	833	5	1641	42	80	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
7157			24	642	7	1080	0	0	55	995	14	1528	4	1706			19	715	8	1255	0	0	101	1747	5	875	0	0	false	false	
7456			12	361	6	843	7	2493	41	928	13	1507	18	5284			13	600	10	1377	3	689	42	994	24	2439	13	2451	false	false	
7634			43	1547	23	3204	10	3066	83	1598	8	903	4	1294			15	609	4	510	3	588	25	611	2	280	1	306	false	false	
8033			12	618	27	3932	19	6165	149	2837	29	2627	19	5541			3	90	10	1360	5	1273	23	437	8	682	7	490	false	false	
8462			16	592	5	642	1	454	110	2410	14	1453	17	4974			16	605	10	1104	1	325	43	1023	20	2218	13	2890	false	false	
8631			12	406	11	1387	6	2080	55	1339	8	860	14	4847			0	0	2	197	0	0	4	16	0	0	0	0	false	false	
9357			4	198	11	1378	42	17995	223	5763	97	8752	148	52577															false	false	
9553			5	192	5	654	0	0	42	963	10	883	6	1863			32	1257	45	5590	31	8280	72	1618	34	2526	53	9401	false	false	
9807			13	696	36	5064	118	54166	72	1956	43	3629	35	9801															false	false	
9955			16	445	5	578	10	5529	134	1270	10	950	9	4443	0	0	91	2808	38	5401	9	2271	105	2671	19	1589	7	1624	false	false	
10250			32	1218	87	14289	99	48368	498	11789	120	11487	70	22429			0	0	1	184	2	715	0	0	0	0	0	0	false	false	
10849			40	1358	34	4811	35	14670	55	1080	8	891	7	1598			32	1181	16	2042	7	1440	53	1132	9	853	4	931	false	false	
10858			55	2236	33	4632	67	29858	330	7591	86	9783	51	11475			58	2897	65	8971	19	5270	260	6271	94	9168	38	7853	false	false	
11145			142	3231	89	12046	64	20251	88	1404	2	165	1	378	0	2													true	false	
11640			79	2177	35	4083	34	11339	322	6886	46	5068	27	8176			48	1079	33	3903	12	3367	124	3276	47	3975	43	5173	false	false	
11837			13	731	10	1282	17	5202	11	241	5	365	2	1043			14	500	2	141	1	308	4	101	0	0	1	255	false	false	
12030			276	11182	105	18435	75	36111	596	11389	42	5066	20	8095			175	6756	76	12616	38	8417	129	2540	5	568	3	868	false	false	
12142			46	1622	34	4235	36	14186	170	3676	31	3463	13	4119			15	490	5	746	3	729	35	943	2	264	3	487	false	false	
12245			123	6417	77	10490	26	8297	102	2037	11	857	1	268			11	292	2	12	2	702	6	116	0	0	0	0	false	false	
12311			3477	141382	3470	436190	4012	1496876	15494	449836	3108	321282	2871	836017			317	13406	229	25931	75	18966	603	16413	152	16935	46	10631	false	false	
12647			20	552	31	4278	25	11203	171	3428	29	3026	15	4728			18	714	11	1657	9	2617	44	578	14	1292	3	461	false	false	
12656	14	40													21	47	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
12937			15	1024	21	3754	42	21178	37	1440	7	995	5	2467			0	0	2	390	0	0	0	0	0	0	0	0	false	false	
12946			112	4319	92	11544	83	29231	662	11297	84	7675	49	11749			52	1896	23	2046	18	4527	17	258	4	551	5	1049	false	false	
12955			81	2754	32	4950	42	20818	102	2600	22	3302	21	6211			2	80	0	0	1	236	1	37	0	0	0	0	false	false	
13037			56	1664	28	3268	24	10642	107	1885	9	1039	8	3011			9	292	2	334	0	0	0	0	0	0	0	0	false	false	
13103			64	3148	141	19659	250	101219	368	8833	129	12015	115	24594															false	false	
13251	251	1004													43	463													true	true	
13457			6	93	2	205	1	727	38	531	2	135	1	403			11	268	6	687	4	1342	153	1983	16	1401	10	2475	false	false	
14052			64	2488	13	1849	23	12986	67	1372	7	1081	1	967			3	56	1	231	2	621	10	233	1	192	0	0	false	false	
14155	131	83															107	4815	65	6843	16	7359	585	10259	24	3558	4	1532	false	true	
14454			6	309	5	387	5	1393	54	681	5	374	1	263			10	499	3	312	2	640	16	375	1	161	2	351	false	false	
14650	28	98													12	63													true	true	
14753	18	52													35	266													true	true	
14865			63	2583	67	9055	41	21999	206	4147	36	4011	28	8614			36	1778	68	8783	36	10293	232	5158	109	9952	37	6999	false	false	
14977	7	28															26	791	11	782	2	329	111	2341	20	1796	4	658	false	true	
16458			20	768	40	5050	49	17151	214	4232	39	4290	17	5668			4	211	4	368	2	735	3	24	5	524	2	111	false	false	
16551			53	2236	42	4865	26	10078	166	3851	34	3057	13	4171			12	439	12	1615	9	2609	36	618	4	615	3	828	false	false	
16748			17	614	11	1436	3	994	30	327	6	641	4	1071			10	349	10	1381	4	1255	28	686	7	634	1	463	false	false	
16944	28	22															7	345	5	810	1	355	8	145	0	0	0	0	false	true	
16953	26	134													21	373	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
17110			0	0	0	0	0	0	1	12	5	641	6	3222															false	false	
17147			710	28597	617	78355	745	307306	2212	47924	615	61084	617	174918			373	14545	297	36102	138	38119	562	14848	158	17882	76	17636	false	false	
17259			23	1110	10	1575	3	1874	19	1412	5	719	5	1535	113	31													true	false	
17464			109	4147	248	31801	370	156722	1277	27167	331	32048	199	50874			11	552	10	1361	4	1073	63	996	14	1085	2	28	false	false	
17950			82	3193	76	9904	48	16053	298	5434	42	3843	18	6486			49	1782	41	5874	29	7844	294	5598	34	2625	15	4239	false	false	
18050			66	2645	63	8181	55	22581	384	5420	35	3935	11	3125			116	4839	36	5046	9	2568	165	2137	8	862	0	0	false	false	
18135			5	202	4	365	11	3039	81	2487	65	8823	61	19103															false	false	
18377			7	463	12	1438	0	0	0	0	0	0	0	0			0	0	6	894	1	215	0	0	0	0	0	0	false	false	
18827			61	2428	49	5723	48	15063	121	2974	24	1944	31	7978			0	0	2	155	0	0	3	52	0	0	0	0	false	false	
18836			34	1650	27	3231	33	9165	44	851	3	288	1	779			26	751	16	1818	9	1809	34	539	4	405	0	0	false	false	
18854			21	1035	20	2781	20	12907	120	2798	32	4648	41	24686			48	1710	20	2883	8	2488	66	1655	12	1523	8	2880	false	false	
18957			20	564	5	602	9	2291	42	729	12	1738	7	2202	69	21	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
19356			7	279	3	362	4	2423	4	46	7	855	7	2850			3	101	1	82	0	0	10	198	0	0	2	340	false	false	
19730			136	6863	243	31728	380	158031	195	5669	82	9691	140	53458			15	504	14	1927	8	2348	31	843	11	1458	8	2733	false	false	
19936			74	3357	53	8056	41	18015	177	2107	31	4269	19	7524			67	4266	25	3754	15	5095	74	1484	14	1772	4	1185	false	false	
19972			0	0	0	0	0	0	2	19	1	127	0	0			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
20053			21	910	13	1923	9	2765	67	1327	7	583	2	373			13	719	11	1622	3	826	83	2063	9	1095	0	0	false	false	
20370			16	734	28	3514	60	21517	65	1192	26	2097	19	2580			0	0	0	0	0	0	0	0	1	50	0	0	false	false	
20512	6	28																											false	true	
