"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ651	RCONJ652	RCONJ944	RCONJ945	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AVG DAILY AMT NONINT ACTS GT 250K	AVG DAILY NBR NONINT ACT GT 250K	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	PB/PSA FDIC CERTIFICATE NUMBER	
37																0	4484	360	0	0	58226	5172	3911	6	66622	0			0	0	0	0	0	0	0	0	0			338	1		
242																0	1719	136	0	0	21553	2769	326	1	23598	0			0	0	0	0	0	0	0	0	0	337	1.00	326	1		
279																0	11683	359	401	1	86270	7061	4492	14	102846	0			0	0	0	0	0	0	0	0	0	0	0.00	730	2		
354																0	0	0	0	0	7481	781	1366	3	8847	0			0	0	0	0	0	0	0	0	0	533	1.30	811	2		
457																0	1755	116	252	1	24228	2571	4487	10	30722	0			0	0	0	0	0	0	0	0	0			669	1		
505																0	8683	475	0	0	197966	19563	101373	92	308022	0			0	0	0	0	0	0	0	0	1518			9489	18		
1155																0	13629	628	886	3	133063	12606	24887	46	172465	0	176462	0	0	0	0	0	0	0	0	0	0	15220	13.52	5639	10		
1351																0	8166	267	640	1	71030	5030	52519	108	132355	0			0	0	0	0	0	0	0	0	0			0	0		
1454																0	21321	1557	1518	5	287130	31827	124537	182	434506	0			0	0	0	0	0	0	0	0	0			40989	63		
1557																0	1988	344	0	0	34914	2581	10633	26	47535	0			0	0	0	0	0	0	0	0	0			1269	2		
1669																0	12401	520	0	0	134596	12383	55105	46	202102	0			0	0	0	0	0	0	0	0	0	6878	15.14	6300	14		
1829																0	20315	1721	3749	6	244258	25059	68275	106	336597	0			0	0	0	0	0	0	0	0	2649	16454	24.00	18812	26		
1856																0	0	0	0	0	90165	902	3578	5	93743	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
2040																0	8318	502	0	0	115564	8580	38395	51	162277	0	160802	0	0	0	0	0	0	0	0	0	715			14772	11		
2161																0	7501	316	354	1	73794	7120	31973	35	113624	0			0	0	0	0	0	0	0	0	0			8374	8		
2376															109000	0	78506	3900	2097	7	1011345	56901	208897	401	1300845	0	1287122	0	0	0	0	0	0	0	0	0	0	13908	19.51	11941	21		
2554																0	121	2	0	0	8079	525	1652	2	9892	40			0	0	0	0	0	0	0	0	0			902	1		
2732																0	14721	570	283	1	232003	10575	197602	212	444609	0			0	0	0	0	0	0	0	0	0	28611	46.73	23136	42		
2750																0	1950	114	0	0	32700	2205	9110	18	43760	0			0	0	0	0	0	0	0	0	0			0	0		
3252																0	5828	261	0	0	61926	6441	57061	53	124815	0			0	0	0	0	0	0	0	0	0	47010	37.98	37242	33		
3458																0	621	24	0	0	19501	1746	4956	8	25078	0			0	0	0	0	0	0	0	0	0			274	1		
3720																0	7464	301	635	2	105824	12217	37836	52	151758	0			0	0	0	0	0	0	0	0	0	8192	17.00	9232	19		
3953																0	343	18	0	0	90570	6676	16382	30	107296	0			0	0	0	0	0	0	0	0	0	5809	9.96	11707	22		
4138																0	10885	379	585	2	130873	11840	30638	52	172981	0			0	0	0	0	0	0	0	0	0	6745	14.00	0	0		
4156																0	6538	289	265	1	117677	9258	22997	29	147477	0			0	0	0	0	0	0	0	0	9563			3956	8		
4231																0	12554	326	7577	21	80357	6852	14331	31	114819	0			0	0	0	0	0	0	0	0	0	1889	4.66	1628	5		
4437																0	11909	576	336	1	171367	14837	43206	72	226818	0	226271	0	0	0	0	0	0	0	0	0	4824			5895	8		
4839																0	9420	393	1638	2	99458	10145	140477	478	251110	116			0	0	0	0	0	0	0	0	0	6683	13.12	7790	15		
5005																0	22906	1236	526	1	236870	18564	37045	73	297347	0			0	0	0	0	0	0	0	0	0	5459	11.67	1986	6		
5069																0	773	25	545	2	246498	2299	116972	195	364788	0			0	0	0	0	0	0	0	0	0			5471	10		
5135																0	12788	941	805	3	160121	12824	89168	99	262882	0			0	0	0	0	0	0	0	0	0	12222	14.10	11153	14		
5210																0	59391	7938	1671	6	604479	14155	83420	154	748960	0			0	0	0	0	0	0	0	0	2297			17149	34		
5331																0	8144	763	260	1	180830	11216	43134	85	233816	1448			0	0	0	0	0	0	0	0	8094	7852	11.00	7621	12		
5461																0	4719	210	1177	1	188403	12522	213076	234	407375	0			0	0	0	0	0	0	0	0	12140			42836	74		
5751																0	5239	222	0	0	49666	3418	38797	37	93702	0			0	0	0	0	0	0	0	0	0	2619	5.66	595	2		
6039																0	7673	574	289	1	50770	4804	12598	22	71330	0			0	0	0	0	0	0	0	0	0	1418	5.00	1606	4		
6141																0	1040	50	0	0	26596	2286	18406	28	46042	0			0	0	0	0	0	0	0	0	0			0	0		
6329																0	13784	614	1965	5	356935	27801	64328	151	437012	0			0	0	0	0	0	0	0	0	0			14093	30		
6972																0	28876	1485	778	3	453984	40272	221263	329	704901	0			0	0	0	0	0	0	0	0	22075	82090	111.50	62979	80		
7009																0	656	22	18355	6	153345	4373	406449	397	578805	0			0	0	0	0	0	0	0	0	0	55568	3.50	66444	3		
7045																0	5312	397	943	2	68800	14761	43551	43	118606	0			0	0	0	0	0	0	0	0	0			5397	9		
7157																0	3592	111	278	1	32916	3103	9490	14	46276	0			0	0	0	0	0	0	0	0	0	1469	1.90	1470	2		
7456																0	2701	381	0	0	36881	4003	9770	16	49352	0			0	0	0	0	0	0	0	0	0			2656	5		
7634																0	4082	167	264	1	53306	2790	3538	6	61190	0			0	0	0	0	0	0	0	0	0			0	0		
8033																0	5169	179	0	0	92861	4861	28150	31	126180	0			0	0	0	0	0	0	0	0	0			10536	14		
8462																0	4032	168	0	0	52573	4971	51569	64	108174	0			0	0	0	0	0	0	0	0	0			5062	17		
8631																0	2849	113	415	1	41099	3797	7427	15	51790	0			0	0	0	0	0	0	0	0	0	2884	6.73	2796	6		
9357																0	736	93	0	0	74512	3923	161675	203	236923	0			0	0	0	0	0	0	0	0	0	45670	79.0000	46944	75		
9553																0	7162	312	0	0	52723	4376	11833	25	71718	0			1701	64	5	461	0	0	0	0	0			3593	5		
9807															301264	0	79639	4423	4345	13	1175550	56662	554548	535	1814082	0	1879472	0	0	45998	0	0	0	0	0	0	0	95761	128.00	90805	144		
9955																0	2077	205	0	0	63629	6375	24793	34	90499	0			0	0	0	0	0	0	0	0	0			4123	8		
10250																0	53095	2525	3097	11	256632	29915	68089	119	380913	0			0	0	0	0	0	0	0	0	11620	11722	23.45	11458	21		
10849																0	9849	366	0	0	195569	10167	35214	59	240632	0			0	0	0	0	0	0	0	0	0	12039	13.01	0	0		
10858																0	7408	74	280	1	186919	20745	108062	131	302669	0			0	0	0	0	0	0	0	0	12802	15469	32.97	18690	34		
11145																0	6703	371	1622	3	97126	13894	35480	54	140931	0			0	0	0	0	0	0	0	0	0	2093	4.00	3797	6		
11640																0	13540	543	2037	6	136666	9772	98609	122	250852	0			0	0	0	0	0	0	0	0	0	14999	25.80	12674	25		
11837																0	3826	241	0	0	52761	3702	38390	22	94977	0			0	0	0	0	0	0	0	0	0	844	3.06	562	2		
12030																0	23210	1213	2125	7	210991	18179	51589	85	287915	0			0	0	0	0	0	0	0	0	0	3906	4.00	14501	21		
12142																0	7771	303	0	0	105298	10037	36301	72	149370	0			0	0	0	0	0	0	0	0	0	1165	1.80	11092	16		
12245																0	7670	349	0	0	77475	9483	12631	25	97776	0			0	0	0	0	0	0	0	0	2635	4140	4.00	417	1		
12311	51121230	9613791	46218345	4982712	52939	0	0	35000	0	64910	146638	1265501	9613791	4982712	10513970	0	1496874	99888	25643	82	26097690	2613298	13887232	12886													728175			3310196	3392		
12647																0	4783	204	258	1	42113	3793	34642	21	81796	0			0	0	0	0	0	0	0	0	0	1715	4.00	608	2		
12656																0	721	41	0	0	14775	1632	327	1	15823	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
12937																0	4063	225	2399	4	75839	4688	84331	84	166632	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
12946																0	28604	994	2827	7	347461	26303	214957	213	593849	0			0	0	0	0	0	0	0	0	605	36097	37.00	40450	50		
12955																0	5195	270	0	0	63887	7537	34312	41	103393	0			0	0	0	0	0	0	0	0	0			0	0		
13037																0	9194	568	0	0	112168	11897	11955	29	133317	0			0	0	0	0	0	0	0	0	0	5866	12.82	4358	10		
13103															152549	0	56818	3294	6428	16	555485	47791	312065	402	930796	0	949081	0	0	0	0	0	0	0	0	0	0	42702	76.00	42221	70		
13251																0	2205	121	568	1	26618	2165	6989	17	36380	0			0	0	0	0	0	0	0	0	0			380	1		
13457																0	979	59	0	0	11329	1295	2153	5	14461	0			0	0	0	0	0	0	0	0	0			0	0		
14052																0	2623	120	527	2	45023	5956	11258	18	59431	0			0	0	0	0	0	0	0	0	789	2162	3.00	2862	4		
14155																0	4531	309	266	1	68934	8924	20664	27	94633	238			0	0	0	0	0	0	0	0	2580	4752	4.80	4844	5		
14454																0	895	85	0	0	13229	2425	1576	2	15700	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
14650																0	1370	64	0	0	17903	2495	3680	4	22953	0			0	0	0	0	0	0	0	0	0			0	0		
14753																0	3915	147	0	0	26978	3327	5302	7	36195	0			0	0	0	0	0	0	0	0	0	2375	5.00	1716	3		
14865																0	9642	517	0	0	165442	17337	48994	81	224079	0			0	0	0	0	0	0	0	0	14922	16043	22.18	9168	16		
14977																0	2764	112	0	0	27947	385	4329	7	35040	0	35037	0	0	0	0	0	0	0	0	0	0			0	0		
16458																0	9811	668	1589	4	153029	14903	86564	92	250993	0			258	0	0	0	0	0	0	0	0	29153	29.22	12533	20		
16551																0	16598	645	2288	8	84873	11019	28346	36	132105	0			0	0	0	0	0	0	0	0	0	4155	9.15	3649	6		
16748																0	4785	273	409	1	39264	4371	5841	10	50299	0			0	0	0	0	0	0	0	0	0	2004	5.00	1008	3		
16944																0	1202	59	0	0	27945	2940	4827	9	33974	0			0	0	0	0	0	0	0	0	0	803	2.16	1253	3		
16953																0	624	26	0	0	24914	2988	3006	8	28544	0			0	0	0	0	0	0	0	0	0	1065	2.29	1684	4		
17110																0	2453	40	2292	4	44991	566	35923	50	85659	0			0	0	0	0	0	0	0	0	0			0	0		
17147															479856	0	152950	9184	7830	25	1497709	220355	1644891	4224	3304363	983	3362920	953	0	0	0	0	0	0	0	0	7702	193196	235.00	213486	228		
17259																0	22903	305	0	0	29311	3168	0	0	52215	0			0	0	0	0	0	0	0	0	0			0	0		
17464															35089	0	23741	1373	1723	6	1015384	64455	337176	503	1378024	0	1420219	0	0	0	0	0	0	0	0	0	0	67227	94.66	90000	126		
17950																0	8426	369	991	3	144349	14146	90029	113	243795	0	243599	0	0	0	0	0	0	0	0	0	0	4665	9.6700	6217	12		
18050																0	10440	647	512	1	216712	31585	69767	89	297448	16			0	0	0	0	0	0	0	0	0	10877	31.42	24070	24		
18135																0	3493	251	981	3	126193	6728	49666	78	180333	0			0	0	0	0	0	0	0	0	10429	17170	34.57	16529	33		
18377																0	4398	368	764	2	33423	2341	2147	7	40732	0			0	0	0	0	0	0	0	0	0			0	0		
18827																0	13347	1577	814	3	193716	21514	143569	121	351446	0			0	0	0	0	0	0	0	0	0	3725	6.00	8384	10		
18836																0	13744	553	1219	4	114526	12458	7002	21	136491	0			0	0	0	0	0	0	0	0	3178	1752	5.30	1935	6		
18854																0	1627	75	535	2	89528	3839	31293	51	122984	0	112459	0	0	0	0	0	0	0	0	0	0	10989	13.0000	9504	11		
18957																0	3287	198	257	1	20292	1805	3153	9	26989	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
19356																0	3091	429	0	0	56503	4636	6248	11	65842	0			0	0	0	0	0	0	0	0	0			650	2		
19730															486120	0	63750	3650	1536	5	1341642	90816	554991	631	1961919	0	2008129	0	0	0	0	0	0	0	0	0	22578	206080	223.00	122814	154		
19936																0	11333	378	1281	4	135457	11851	71074	85	219145	0			0	0	0	0	0	0	0	0	0	5482	11.07	5634	11		
19972																0	0	0	0	0	58670	3133	5836	17	64507	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
20053																0	8284	577	0	0	44797	6895	5730	12	58811	0			0	0	0	0	0	0	0	0	0	1093	3.00	567	2		
20370																0	6796	265	0	0	150388	9332	11922	31	169106	0			0	0	0	0	0	0	0	0	0			0	0		
20512																0	5485	430	415	1	74604	11543	7812	15	88317	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
20633																0	18649	777	556	2	217710	12784	48618	84	294781	9248			0	0	0	0	0	0	0	0	0	5555	7.77	3900	3		
20857																0	939	89	0	0	36766	2884	117173	41	154878	0			0	0	0	0	0	0	0	0	0	109416	14.27	98750	13		
21256																0	1990	58	0	0	4909	516	921	1	7821	0			0	0	0	0	0	0	0	0	0			0	0		
21359																0	1762	79	394	1	16713	1869	2280	4	21149	0			29	76	78	144	0	0	0	0	0	0	0.00	0	0		
21630																0	2350	94	0	0	42425	4734	18789	31	63564	0			0	0	0	0	0	0	0	0	0	2432	6.00	0	0		
21658																0	12968	1148	935	3	105340	11616	7774	21	127024	7			0	0	0	0	0	0	0	0	0			1060	3		
22048																0	5931	322	1087	2	109849	13545	27699	53	144566	0			0	0	0	0	0	0	0	0	0			0	0		
22356																0	6669	630	513	2	165254	15844	86206	119	258642	0			0	0	0	0	0	0	0	0	50	10927	29.00	10365	26		
22459																0	4636	718	0	0	70941	7526	9995	18	85572	0			0	0	0	0	0	0	0	0	0	4688	7.00	5102	6		
22543																0	3859	184	0	0	48681	6283	14434	20	66974	0			0	0	0	0	0	0	0	0	0	3937	5.47	5165	5		
22552																0	2017	126	0	0	44756	3696	7331	13	54104	0			0	0	0	0	0	0	0	0	0			971	3		
22730																0	4423	267	0	0	75814	9914	12701	28	92938	0			0	0	0	0	0	0	0	0	0	3611	8.61	3988	9		
22936																0	13322	604	1198	4	197478	14211	37238	80	249236	0			0	0	0	0	0	0	0	0	0	8599	12.97	10086	14		
22954																0	2615	179	0	0	50905	4482	18466	28	71986	0			0	0	0	0	0	0	0	0	1000	2144	5.00	1601	4		
23045																0	1115	53	0	0	15106	1474	15582	13	31803	0			0	0	0	0	0	0	0	0	0			0	0		
23241															128698	0	73373	4518	1701	6	1608659	141270	766254	383	2449987	0	2546477	0	0	50000	0	0	0	0	0	0	0	124213	153.47	92535	111		
23456																0	6992	758	782	2	63419	6992	8095	20	79288	0			0	0	31	0	0	0	0	0	0	431	1.50	266	1		
23504																0	8857	622	1669	5	395035	26351	520161	466	925722	0	911408	0	0	0	0	0	0	0	0	0	28505	128590	182.92	95151	146		
23540																0	12905	688	1030	3	117642	20076	41944	46	173523	0	173523	0	0	0	0	0	0	0	0	0	0	1679	4.75	1387	4		
23643																0	8077	285	297	1	98419	10880	38473	64	145266	0			0	0	0	0	0	0	0	0	0			0	0		
23755																0	8965	527	530	2	87251	9001	40034	64	136780	0	137723	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0		
24006																0	57423	3581	1539	5	631851	47653	138398	260	829211	0			0	0	0	0	0	0	0	0	0	14845	25.00	16487	29		
24453																0	2859	77	928	3	185353	3983	45259	80	234400	0			0	0	0	0	0	0	0	0	42253	15107	23.00	8828	16		
24659																0	2953	143	496	1	27258	2680	4088	9	34795	0			0	0	0	0	0	0	0	0	0			1974	2		
24668																0	11060	544	705	2	117285	13050	33615	49	162665	0			0	0	0	0	0	0	0	0	0			7384	14		
24855																0	0	0	0	0	9276	882	1393	3	10669	0			0	0	0	0	0	0	0	0	0			0	0		
24949																0	40459	2094	854	3	559799	44925	106218	174	707330	0			0	0	0	0	0	0	0	0	42611	40481	64.00	20778	35		
25357																0	1521	89	0	0	80951	6963	8873	13	91345	0			0	0	0	0	0	0	0	0	0	0	0.00	2290	4		
25647																0	5441	212	923	2	49254	2413	8492	19	64110	0			0	0	0	0	0	0	0	0	0			0	0		
26149																0	2325	95	436	1	73454	4626	7989	20	84204	0	84663	0	0	0	0	0	0	0	0	0	0	861	3	954	3		
26242																0	18474	802	252	1	230671	23675	70692	83	320089	0			0	0	0	0	0	0	0	0	0			0	0		
26457																0	604	68	0	0	17985	1537	2222	3	20811	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
26765																0	1968	71	0	0	82785	7805	109858	122	194611	0			0	0	0	0	0	0	0	0	0	8572	16.59	8823	13		
26859																0	11530	827	285	1	161483	11870	169697	175	342995	0			0	0	0	0	0	0	0	0	0	46993	59.51	41678	52		
27548																0	20229	1172	1475	4	300285	32854	153416	159	475405	0			0	0	0	0	0	0	0	0	11351	14292	37.00	13971	31		
27614																0	27452	1685	3930	8	175886	27236	47106	59	254374	0			0	0	0	0	0	0	0	0	0			13822	13		
27847																0	25989	1303	4663	14	284487	26566	77572	117	392711	0			0	0	0	0	0	0	0	0	0	17329	21.00	0	0		
28152																0	6340	523	0	0	46768	6989	13760	17	66870	0	62357	0	0	0	0	0	0	0	0	0	0	1893	3.48	3972	3		
28255																0	3486	247	465	1	140597	8338	76632	119	221180	0			0	0	0	0	0	0	0	0	0			0	0		
28349																0	10355	515	691	2	113011	7119	33542	59	157600	0			0	0	0	0	0	0	0	0	0	3461	6.66	3502	7		
28406															87914	0	43710	3102	3856	9	620193	40495	88685	226	756444	0			0	0	0	0	0	0	0	0	0			1790	5		
28572																0	4731	165	251	1	32863	2136	3185	8	41032	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
28732																0	2542	107	0	0	51066	4362	10250	21	63858	0			0	0	0	0	0	0	0	0	0			2886	7		
29104															223461	0	19993	910	3626	10	519127	33433	327088	412	869834	0	860314	0	0	0	0	0	0	0	0	0	102627	61925	93.01	62682	93		
29636																0	24576	1010	2514	7	366408	36375	145570	157	539068	0			0	0	0	0	0	0	0	0	0	16408	26.17	17055	31		
29953																0	3107	157	0	0	42505	3561	10162	18	55774	0			0	0	0	0	0	0	0	0	1011	4882	11.50	4749	8		
30052																0	262	11	0	0	11334	2165	3063	7	14660	0			0	0	0	0	0	0	0	0	0	1051	2.00	251	1		
30258																0	16990	1108	1008	3	296922	29687	63129	87	378049	0			0	0	0	0	0	0	0	0	25	70969	94.7100	36629	35		
30418																0	1735	153	0	0	346284	17131	1351	2	349370	0			0	0	0	0	0	0	0	0	0			0	0		
30502																0	28669	1903	1359	5	470164	46516	150553	235	650745	0			0	0	0	0	0	0	0	0	0	18104	42.00	12272	24		
30650																0	7046	460	0	0	88553	6294	17214	35	112813	0			0	0	0	0	0	0	0	0	0	5850	11.83	4170	8		
30810	34662971	0	34716828	0	15507	0	436317	0	0	0	0	1195178	0	0	1121757	0	1490567	47228	80135	284	30389897	14816272	2702372	6359													0	2343	7.30	12938	5		
31134																0	5939	365	522	1	59828	7747	14128	19	80488	71			0	0	0	0	0	0	0	0	0	6711	6.23	4884	6		
31255																0	12266	379	1381	3	193764	6746	129240	162	336652	0			0	0	0	0	0	0	0	0	5225	18220	30.00	22807	39		
31657																0	5197	165	550	2	72850	5115	13211	23	91808	0			0	0	0	0	0	0	0	0	0			0	0		
31826																0	18172	500	1670	5	148147	14718	29546	52	197535	0			0	0	0	0	0	0	0	0	0	9131	17.00	8394	18		
31835																0	2737	135	271	1	51899	5120	25063	42	79970	0			0	0	0	0	0	0	0	0	0	7017	14.22	7286	15		
32234																0	3297	135	0	0	45337	4345	21122	21	69755	0			0	0	0	0	0	0	0	0	0	3254	6.00	3119	7		
32766																0	1950	113	0	0	38227	2917	9607	20	49784	0			0	0	0	0	0	0	0	0	0			0	0		
33147																0	16917	822	256	1	219918	24430	84173	188	321264	0			0	0	0	0	0	0	0	0	2981	6580	13.00	11493	25		
33259																0	37682	2469	579	2	404454	25143	101093	179	543808	0			0	0	0	0	0	0	0	0	0	31636	41.67	23372	24		
33268																0	4580	175	999	2	68780	6475	26493	43	100852	0	100682	0	0	0	0	0	0	0	0	0	0			6289	11		
33727																0	23170	1385	860	3	214107	23083	55150	107	293287	0			11	0	0	0	0	0	0	0	0	29243	45.00	24775	35		
33754																0	936	52	0	0	26434	2505	1699	4	29069	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
33839																0	1494	141	0	0	22726	1941	710	1	24930	0			0	0	0	0	0	0	0	0	0	579	1.66	0	0		
33857																0	4741	306	0	0	73137	3920	13738	24	91616	0			0	0	0	0	0	0	0	0	0	1663	3.74	2475	7		
34153																0	31144	2017	885	3	349980	23167	52156	44	434165	0			0	0	0	0	0	0	0	0	0	47101	46.00	52156	44		
34359																0	2200	100	0	0	18959	1495	1131	4	22290	0			0	0	0	0	0	0	0	0	0	1035	3.00	344	1		
34425																0	11246	614	295	1	222550	18026	26988	57	261079	0			0	0	0	0	0	0	0	0	0	12022	24.75	5005	9		
34434																0	15269	576	3039	6	135845	11581	58193	98	212346	0			0	0	0	0	0	0	0	0	0	10200	12.15	9791	18		
34452																0	4638	187	783	1	64746	5909	19762	28	89929	0			0	0	0	0	0	0	0	0	0	700	1.00	830	2		
34537															259386	0	53912	3489	2437	7	1230957	106324	369772	494	1657078	0	1659152	0	0	0	0	0	0	0	0	0	6195	63752	117.00	71794	118		
34555																0	18399	1047	1863	5	118443	9829	37461	46	176166	0			0	0	0	0	0	0	0	0	5934			4294	7		
34742																0	12403	519	259	1	184754	14922	49168	96	246584	0			0	0	0	0	0	0	0	0	0	10039	13.00	4195	7		
34836																0	2286	128	252	1	22808	1979	2515	4	27861	0			0	0	0	0	0	0	0	0	0			0	0		
35057																0	2519	138	0	0	80189	7310	20384	40	103092	0			0	0	0	0	0	0	0	0	0	836	3.00	1616	4		
35301	104316164	79373740	103162313	80155026	0	0	0	0	0	0	200000	862209	79373740	80155026	6653940	0	0	0	0	0	267952	10431	24674472	2867													0			17317782	2751		
35570															388032	0	525698	26766	24933	74	4660253	260249	1618554	1947	6829438	0	6773389	0	0	0	0	0	0	0	0	0	0	242561	227.00	153224	155		
35646																0	1389	146	254	1	33267	3210	3405	8	38315	0			0	0	0	0	0	0	0	0	0	754	1.4200	640	1		
35842																0	4628	265	505	2	98126	8255	32419	55	135678	0			0	0	0	0	0	0	0	0	0			3638	5		
36054															348439	0	24139	3083	1418	4	548603	25433	511052	458	1085212	0	1083766	0	0	0	0	0	0	0	0	0	0	104348	142.00	124661	179		
36344																0	18072	1221	620	2	237135	20593	60263	106	316090	0			0	0	0	0	0	0	0	0	0	25659	41.3800	10327	19		
36456																0	4583	192	999	3	61955	4202	20681	32	88218	0			0	0	0	0	0	0	0	0	0	1406	0.50	1806	5		
36858																0	5189	325	252	1	110993	10077	32006	57	148440	0	151760	0	0	0	0	0	0	0	0	0	0	9226	21.33	10932	17		
36933																0	6081	367	258	1	59648	7990	19890	18	85877	0			0	0	0	0	0	0	0	0	1119	3172	4.00	0	0		
37051																0	3305	167	344	1	47503	3726	5107	12	56452	193			0	0	0	0	0	0	0	0	0	293	1.01	280	1		
37341																0	2740	143	0	0	24875	3165	1206	4	28821	0			0	0	0	0	0	0	0	0	0	302	1.00	0	0		
37378																0	1770	95	0	0	107980	6604	37211	72	146961	0			0	0	0	0	0	0	0	0	0	11769	22.00	6293	13		
37435															11431	0	93418	4264	6072	19	623417	81706	211140	257	934047	0			0	0	0	0	0	0	0	0	0	44193	50.63	27487	45		
37640															290624	0	48439	3805	1253	3	717704	73776	343783	322	1115380	4202	1146827	3746	0	0	0	0	0	0	0	0	0	54757	105.87	46458	82		
37659																0	812	127	552	1	29753	2615	3117	6	34234	0			0	0	0	0	0	0	0	0	0			0	0		
37743																0	6584	285	1353	3	48259	4646	25103	35	81299	0			0	0	0	0	0	0	0	0	0	1862	4.17	2771	4		
37949																0	6232	264	0	0	122338	7381	40034	46	168604	0			0	0	0	0	0	0	0	0	0	23923	13.67	1718	3		
38535																0	26546	1654	844	3	282254	24651	57729	90	367373	0			0	0	0	0	0	0	0	0	0	2098	5.67	2919	5		
38740																0	13386	794	0	0	105617	11313	29014	39	148018	0			0	0	0	0	0	0	0	0	0	1447	4.17	2185	5		
39327																0	14033	851	0	0	260425	24552	52508	114	326966	0			0	0	0	0	0	0	0	0	0	0	0.00	16430	35		
39420															44276	0	43965	2669	1629	5	773142	69005	162856	228	981592	0	983320	0	0	0	0	0	0	0	0	4000	0	64116	81.48	34667	59		
39475															62295	0	35256	1718	1323	5	1141117	87760	226382	376	1404078	0	1441262	0	0	0	0	0	0	0	0	0	0	132127	168.00	124844	162		
39756																0	9473	387	290	1	238196	13202	139106	221	387065	0			0	0	0	0	0	0	0	0	8230	37723	59.00	42309	63		
40033																0	5827	311	590	2	47580	6083	18324	13	72321	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
40350																0	3265	236	0	0	27550	2714	3046	8	33861	0			0	0	0	0	0	0	0	0	0	1070	3.00	260	1		
40707																0	12582	614	1153	4	181516	20986	42460	81	237711	0			0	0	0	0	0	0	0	0	0	16851	33.00	17880	34		
40855																0	2202	22	271	1	46372	2937	10666	22	59511	0			0	0	0	0	0	0	0	0	0			863	2		
41245																0	3324	178	0	0	29796	4499	1567	4	34687	0			0	0	0	0	0	0	0	0	0			0	0		
41553																0	2238	123	0	0	45266	4373	23925	24	71429	0			0	0	0	0	0	0	0	0	0			1673	5		
41629																0	5297	505	507	2	108786	10159	21642	24	136232	0	134149	0	0	0	0	0	0	0	0	0	2362	3914	5.00	3764	4		
41759																0	2372	129	0	0	28817	2810	6849	13	38038	0			0	0	0	0	0	0	0	0	0	1186	2.85	798	2		
41825																0	5792	477	0	0	101156	12161	19537	25	126485	0			0	0	0	0	0	0	0	0	0			0	0		
