"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ651	RCONJ652	RCONJ944	RCONJ945	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AVG DAILY AMT NONINT ACTS GT 250K	AVG DAILY NBR NONINT ACT GT 250K	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	PB/PSA FDIC CERTIFICATE NUMBER	
189129																0	25307	1799	904	3	257271	64196	70530	108	354012	0			0	0	0	0	0	0	0	0	0			17453	21		
189352															274703	0	17174	1702	694	2	641857	41995	329242	461	988967	0	989337	0	0	0	0	0	0	0	0	0	7023	67174	98.04	70955	91		
189549																0	10773	531	451	1	77512	8445	14391	31	103127	0			0	0	0	0	0	0	0	0	0	3300	6.00	2753	5		
189745															198297	0	45008	1702	3223	6	622034	23242	337162	415	1007427	0	1034507	0	0	0	0	0	0	0	0	0	99525	24987	42.87	20016	38		
189820																0	11519	575	298	1	138402	31989	28629	63	178848	0			0	0	0	0	0	0	0	0	0			0	0		
189950																0	2492	228	0	0	45631	3466	30956	61	79079	0			0	0	0	0	0	0	0	0	0	374	0.10	382	1		
190246																0	1284	65	0	0	16264	1591	0	0	17548	0			0	0	0	0	0	0	0	0	0	269	1.00	0	0		
190451																0	12593	799	625	2	164665	11196	40629	72	218512	0			0	0	0	0	0	0	0	0	0	2517	4.13	4322	7		
190554																0	8091	403	0	0	110571	7948	39178	48	157840	0			0	0	0	0	0	0	0	0	0			2816	4		
190563																0	2146	278	0	0	57721	5563	35927	43	95794	0			0	0	0	0	0	0	0	0	0	1551	4.00	2753	6		
190639																0	0	0	0	0	101086	668	101387	92	211381	8908			0	0	0	0	0	0	0	0	0	113555	106.00	100387	89		
190648																0	11335	872	989	2	96018	12263	33318	54	141660	0			0	0	0	0	0	0	0	0	0	4356	9.68	6862	15		
190947																0	7826	846	290	1	63302	6400	13827	19	85245	0			0	0	0	0	0	0	0	0	0	888	2.70	6348	5		
190956																0	4269	556	755	2	79783	6955	5860	11	90667	0			0	0	0	0	0	0	0	0	0	1593	3.95	1599	5		
191355																0	7952	344	261	1	115075	10759	29980	56	153268	0			0	0	0	0	0	0	0	0	0			3082	6		
191449																0	4888	198	266	1	29540	3670	2861	5	37555	0			0	0	0	0	0	0	0	0	0	606	2.14	799	2		
191935																0	22934	1431	1780	5	354763	27058	169781	255	549258	0			0	0	0	0	0	0	0	0	0	12626	32.00	17954	45		
192147																0	17065	799	1671	5	188747	21089	116573	126	324056	0			0	0	0	0	0	0	0	0	3892	7428	14.26	32914	35		
192156																0	3696	338	253	1	155569	17420	82438	120	242229	274			0	0	0	0	0	0	0	0	0			0	0		
192558																0	16913	813	774	3	169724	17214	23988	50	211399	0			0	0	0	0	0	0	0	0	0			8068	14		
192651															0	0	1490	47	0	0	18122	1691	4130	7	23742	0			0	0	0	0	0	0	0	0	0	2034	2.00	3301	4		
192857																0	3176	151	0	0	60142	5325	28254	52	91572	0			0	0	0	0	0	0	0	0	0	5115	14.30	3721	10		
193162																0	1740	74	0	0	34203	2856	4840	10	40783	0			0	0	0	0	0	0	0	0	0	3504	7.21	3700	6		
193247																0	950	43	0	0	31794	4294	8183	8	40927	0			0	0	0	0	0	0	0	0	0	2287	9.00	0	0		
193461																0	10177	258	798	3	234281	6577	166157	253	411413	0			0	0	0	0	0	0	0	0	0	46062	69.21	37414	57		
193537																0	6987	217	565	2	75322	5305	6075	14	88949	0			0	0	0	0	0	0	0	0	0	359	1.00	683	2		
193649																0	11663	861	941	3	115877	12031	35545	57	164026	0	165859	0	0	0	0	0	0	0	0	0	0			3776	7		
193809															62210	0	91705	4568	14632	43	688476	53865	108740	264	903553	0	903947	0	393	0	0	0	0	0	0	0	0	14680	29.36	7613	14		
194253																0	6560	327	0	0	54236	3877	9967	20	70763	0			0	0	0	0	0	0	0	0	0	4099	10.66	2842	4		
194440																0	4679	164	1373	2	71813	6529	18532	33	96397	0			0	0	0	0	0	0	0	0	0	10521	19.00	4929	13		
194936																0	3839	178	622	2	84655	2923	88993	288	178109	0			0	0	0	0	0	0	0	0	0			3594	6		
