"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RIADG377	
700430																																																										0	9364	3452		715	532			7976	857	21090	0	267	98559	980	0	0	24901	1178	867	40481	2534	6927	10717	3897	500	94	14588	18064	25917	12732	849	690								95	0			0	0	1022	5028	19963	2051			0			354	88																									0	0	0	0	0	0	0	0	0	0	0	0		22391		1505	75	0	0	0	0	0	0		
700458																																																										0	3363	784		11495	0			4382	0	1909	0	1289	25594	0	0	0	1327	293	0	9740	167	174	564	422	0	0	12863	2425	3403	3752	1319	505								0	34			0	0	29	0	0	686			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	3	0	0	0	0	0	0		
700672																																																										0	1398	14749	0	0	7228	21564	0	21564	22280	3549	0	2718	317018	0	795	0	125277	2683	40238	33359	30642	17199	20472	13962	35702	2802	58939	45356	31144	23058	11103	15452	0	0	0	0	0	0	0	0	369	0		0	0	5418	21399	45721	49056	0	795	0			1165	4397																									0	0	0	0	0	0	0	0	0	0	0	0		165254	42	0	42	0	0	0	0	0	0		
700739																																																										0	178	4286		0	327			5149	0	17511	0	3521	116513	233	0	0	53728	31	40699	11951	6782	6697	20978	1402	7284	8054	12005	8670	10978	7473	8183	9713								0	0		0	0	0	9811	0	13207	9324			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0		
701062																																																										0	2307	53862	0	0	0	207069	0	207069	142445	78554	0	0	2239192	3598	28163	13984	572591	11032	153781	320130	26818	86715	27860	14139	40651	337813	624137	170654	299593	237987	120088	11031	0	0	0	0	0	0	0	0	34396	18969		5448	5188	130519	219311	241084	520626	0	28163	559			14222	8754																									0	0	0	0	0	0	0	0	0	0	0	0	263307	1314577	831	0	831	0	0	0	0	0	0	909	
701222																																																										0	67130	6506	610	15449	2402	29332	0	29332	14573	22636	0	3498	439699	0	0	0	151653	11554	93218	55173	2212	14674	33023	35505	39198	22575	35737	44202	53914	77559	62272	10828	0	0	0	0	0	0	0	207	133	0		3791	3077	2666	9532	79305	24915	0	0	0			717	1298																									0	0	0	0	0	0	0	0	0	0	0	0		255873	0	0	610	0	0	0	0	0	0		
701259																																																										0	29672	5285	0	7951	679	15762	0	15762	5592	4979	0	0	225228	0	4038	0	60508	1911	6940	7196	8967	14877	22510	7185	6098	72	14626	43863	51364	33955	14816	2558	0	0	0	0	0	0	0	0	78	0		0	0	17528	4616	49161	18147	0	4038	0			0	206																									0	0	0	0	0	0	0	0	0	0	0	0	0	128305	0	0	0	0	0	0	0	0	0	0	
701736																																																										0	18133	12546	0	0	5417	132357	0	132357	55964	15504	0	0	837503	0	0	0	171140	12433	67761	369618	73091	10998	12795	35772	23143	10270	294347	79452	93155	30898	33705	4646	0	0	0	0	0	0	0	0	5	0		0	0	38707	211749	96126	72681	0	0	0			3764	499																									0	0	0	0	0	0	0	0	0	0	0	0	48184	644766	158	0	158	0	0	0	0	0	0	219	
701839																																																										0	6767	1391	0	130	9027	21808	0	21808	16061	20950	0	873	326988	0	0	0	94179	2513	3217	71173	5749	4339	8819	8969	7864	56721	50376	34919	55863	51056	28950	8468	0	0	0	0	0	0	0	0	310	183		0	0	7267	22919	96437	35383	0	0	0			3304	1231																									0	0	0	0	0	0	0	0	0	0	0	0		152639	0	0	0	0	0	0	0	0	0		
701857																																																										0	3629	0		4534	0			1901	0	2668	0	0	17703	0	0	0	2804	0	0	4446	112	753	1350	153	436	0	2377	7213	3130	1842	299	0								0	0			0	0	284	0	0	1789			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	94	0	0	0	0	0	0		
